年次,Year,原因,Cause,総件数 Accidents total,死傷者数 Killed or injured／総数 Total,死傷者数 Killed or injured／死者 Killed,死傷者数 Killed or injured／重傷者 Serious injury,死傷者数 Killed or injured／軽傷者 Minor injury
平成23,2011,総数,Total,51311,58179,187,582,57410
平成24,2012,総数,Total,47202,54784,154,400,54230
平成25,2013,総数,Total,41825,48780,145,286,48349
平成26,2014,総数,Total,37005,43191,157,220,42814
平成27,2015,総数,Total,34084,39890,130,227,39533
平成27,2015,信号無視,Ignoring traffic light signals,888,1122,9,23,1090
平成27,2015,通行区分違反,Lane violation,51,55,1,-,54
平成27,2015,最高速度違反,Speed violation,8,15,4,-,11
平成27,2015,横断等禁止違反,Crossing， etc. violation,26,29,-,-,29
平成27,2015,車間距離不保持,Tailgating,73,90,-,1,89
平成27,2015,進路変更禁止違反,Lane change violation ,20,21,-,-,21
平成27,2015,通行妨害,Obstruction of traffic ,8,8,-,-,8
平成27,2015,追越違反,Overtaking violation,16,18,-,-,18
平成27,2015,右折違反,Right turn violation,23,28,2,1,25
平成27,2015,左折違反,Left turn violation,42,43,-,-,43
平成27,2015,優先通行妨害等,Obstruction of priority lanes， etc.,66,74,1,-,73
平成27,2015,交差点安全進行義務違反,Violation of duty to use caution at intersections,5020,5444,2,35,5407
平成27,2015,歩行者妨害等,Obstruction of pedestrians， etc.,1251,1277,17,31,1229
平成27,2015,横断自転車妨害等,Obstruction of crossing bicycles， etc.,244,245,3,2,240
平成27,2015,徐行場所違反,Slow down violation ,48,53,-,-,53
平成27,2015,指定場所一時不停止等,Stop sign， etc. violation,729,888,1,7,880
平成27,2015,酒酔い運転,Driving while intoxicated,13,16,2,1,13
平成27,2015,過労・薬物,Driving while drowsy or under the influence of drugs,42,79,2,3,74
平成27,2015,安全運転義務違反,Violation of safe driving obligations,24551,29347,83,113,29151
平成27,2015,安全不確認ドア開放等,Opening of door without checking for safety， etc.,364,366,-,2,364
平成27,2015,その他,Others,565,635,3,7,625
平成27,2015,調査不能,Cause undetermined,36,37,-,1,36
,,,,,,,,
東京都統計年鑑（平成27年）TOKYO STATISTICAL YEARBOOK ( 2015 ) 20  司法・警察・消防 20  JUSTICE， POLICE， AND FIRE FIGHTING SERVICES,,,,,,,,
20-13  車両がわの事故原因による人身事故発生件数及び死傷者数 （平成23～27年) 20-13 TRAFFIC ACCIDENTS CAUSED BY VEHICLES RESULTING IN INJURY OR DEATH AND PERSONS KILLED OR INJURED IN THE ACCIDENTS ( 2011-2015 ),,,,,,,,
資料：警視庁総務部文書課 「警視庁の統計」 Source: Metropolitan Police Department， TMG,,,,,,,,
