地域階層,地域コード,地域,District,昼間人口Daytime population／昭和55年1980,昼間人口Daytime population／昭和60年1985,昼間人口Daytime population／平成 2年1990,昼間人口Daytime population／平成 7年1995,昼間人口Daytime population／平成 12年2000,昼間人口Daytime population／平成 17年2005,昼間人口Daytime population／平成22年2010,昼間人口Daytime population／平成22年2010／男Male,昼間人口Daytime population／平成22年2010／女Female,夜間人口Nighttime population／昭和55年1980,夜間人口Nighttime population／昭和60年1985,夜間人口Nighttime population／平成2年1990,夜間人口Nighttime population／平成7年1995,夜間人口Nighttime population／平成12年2000,夜間人口Nighttime population／平成17年2005,夜間人口Nighttime population／平成22年2010,夜間人口Nighttime population／平成22年2010／男Male,夜間人口Nighttime population／平成22年2010／女Female
0,13000,総数,Tokyo-to,13493885,13997649,14483495,14571809,14666899,14977580,15576130,8173306,7402824,11597211,11819486,11762030,11734920,12017253,12415786,13159388,6512110,6647278
1,13100,区部,All ku,10613454,10958178,11287948,11191345,11125135,11284699,11711537,6326578,5384959,8336303,8346709,8099153,7935211,8092268,8351955,8945695,4412050,4533645
2,13101,千代田区,Chiyoda-ku,936542,1009291,1036609,949900,855172,853382,819247,531198,288049,54777,50493,39305,34758,36016,41683,47115,23394,23721
2,13102,中央区,Chuo-ku,656029,693960,748288,700865,648366,647733,605926,380020,225906,82664,79936,67621,63807,72233,98220,122762,59046,63716
2,13103,港区,Minato-ku,706427,819495,883952,849786,837658,908940,886173,556845,329328,200223,192615,156325,144233,159336,185732,205131,96025,109106
2,13104,新宿区,Shinjuku-ku,688601,756362,817095,806095,798611,770094,750120,429257,320863,342724,332564,291152,276011,286173,303808,326309,161921,164388
2,13105,文京区,Bunkyo-ku,324165,325391,339161,345087,342603,336229,345423,182659,162764,202332,195855,180322,172332,175872,189564,206626,98849,107777
2,13106,台東区,Taito-ku,337509,332227,347738,342681,317700,303522,294756,173444,121312,186001,176720,162345,152961,156073,163528,175928,92188,83740
2,13107,墨田区,Sumida-ku,272678,269029,267595,270261,257972,262514,279272,150262,129010,232397,229911,222270,215421,215865,231092,247606,123385,124221
2,13108,江東区,Koto-ku,372919,384438,412935,438253,454680,490708,548976,309999,238977,362029,388923,384904,365575,376784,420827,460819,228681,232138
