年次,Year,月次,Month,調布飛行場 Chofu Airport／旅客数 Passengers／乗客 Boarding,調布飛行場 Chofu Airport／旅客数 Passengers／降客 Deboarding,大島空港 Oshima Airport／旅客数 Passengers／乗客 Boarding,大島空港 Oshima Airport／旅客数 Passengers／降客 Deboarding,大島空港 Oshima Airport／貨物 Freight／積荷 Loaded(t),大島空港 Oshima Airport／貨物 Freight／降荷 Unloaded(t),大島空港 Oshima Airport／郵便物 Mail／積荷 Loaded(t),大島空港 Oshima Airport／郵便物 Mail／降荷 Unloaded(t),三宅島空港 Miyakejima Airport／旅客数 Passengers／乗客 Boarding,三宅島空港 Miyakejima Airport／旅客数 Passengers／降客 Deboarding,三宅島空港 Miyakejima Airport／貨物 Freight／積荷 Loaded(t),三宅島空港 Miyakejima Airport／貨物 Freight／降荷 Unloaded(t),三宅島空港 Miyakejima Airport／郵便物 Mail／積荷 Loaded(t),三宅島空港 Miyakejima Airport／郵便物 Mail／降荷 Unloaded(t),八丈島空港 Hachijojima Airport／旅客数 Passengers／乗客 Boarding,八丈島空港 Hachijojima Airport／旅客数 Passengers／降客 Deboarding,八丈島空港 Hachijojima Airport／貨物 Freight／積荷 Loaded(t),八丈島空港 Hachijojima Airport／貨物 Freight／降荷 Unloaded(t),八丈島空港 Hachijojima Airport／郵便物 Mail／積荷 Loaded(t),八丈島空港 Hachijojima Airport／郵便物 Mail／降荷 Unloaded(t),新島空港 Niijima Airport／旅客数 Passengers／乗客 Boarding,新島空港 Niijima Airport／旅客数 Passengers／降客 Deboarding,新島空港 Niijima Airport／貨物 Freight／積荷 Loaded(t),新島空港 Niijima Airport／貨物 Freight／降荷 Unloaded(t),新島空港 Niijima Airport／郵便物 Mail／積荷 Loaded(t),新島空港 Niijima Airport／郵便物 Mail／降荷 Unloaded(t),神津島空港 Kozushima Airport／旅客数 Passengers／乗客 Boarding,神津島空港 Kozushima Airport／旅客数 Passengers／降客 Deboarding,神津島空港 Kozushima Airport／貨物 Freight／積荷 Loaded(t),神津島空港 Kozushima Airport／貨物 Freight／降荷 Unloaded(t),神津島空港 Kozushima Airport／郵便物 Mail／積荷 Loaded(t),神津島空港 Kozushima Airport／郵便物 Mail／降荷 Unloaded(t)
平成23,2011,,,26550,33646,15481,13407,5,23,5,37,4559,1026,0,0,-,-,91404,85458,862,424,16,48,13424,10763,3,26,-,-,9548,7461,1,0,-,-
平成24,2012,,,29555,36764,15765,13732,4,25,5,33,5176,1049,0,0,-,-,97592,91175,867,396,16,46,15067,12045,6,25,-,-,10812,8982,1,0,-,-
平成25,2013,,,31218,38116,16085,14900,3,20,4,29,4420,831,0,0,-,-,99027,92402,903,342,16,46,16076,13163,6,25,-,-,10838,9016,1,1,-,-
平成26,2014,,,38171,49353,17369,16914,4,21,5,33,10940,5423,4,0,-,-,90734,83949,867,317,16,45,16413,13757,6,24,-,-,11206,9419,1,0,-,-
平成27,2015,,,41129,53387,15246,14521,4,19,4,24,14211,7942,8,1,-,-,89784,82129,768,304,16,39,14759,17412,5,24,-,-,11279,9175,2,1,-,-
平成27,2015,1,Jan.,3114,4090,1240,1012,223,1658,329,2518,1040,612,132,132,-,-,6928,5870,54620,22722,1354,3486,1082,1272,194,1912,-,-,945,742,111,3,-,-
平成27,2015,2,Feb.,2872,3759,1175,1200,627,1888,362,2005,988,571,56,59,-,-,5358,5152,51502,20728,1100,3116,919,1143,311,1752,-,-,838,679,420,32,-,-
平成27,2015,3,Mar.,3728,4981,1629,1554,186,1576,346,2632,1189,711,1,185,-,-,8217,7562,72317,32580,1342,3989,1233,1611,492,2225,-,-,1037,766,75,146,-,-
平成27,2015,4,Apr.,2980,3668,980,948,339,2318,446,2810,987,496,357,3,-,-,5702,5654,53528,22370,1126,3238,1143,1259,332,1895,-,-,745,706,104,138,-,-
平成27,2015,5,May,3495,4514,1456,1401,297,1847,426,2239,1251,684,753,20,-,-,7284,6739,61494,28988,1194,3007,1243,1464,419,2137,-,-,869,738,147,80,-,-
平成27,2015,6,June,3117,3958,1099,1027,357,1549,475,2478,1073,596,1344,17,-,-,5131,4672,58118,19742,1221,3318,1243,1377,411,1976,-,-,772,646,110,95,-,-
平成27,2015,7,July,3731,4346,1236,1316,492,1387,551,2508,1228,768,624,13,-,-,8071,7745,62821,26475,1378,3032,1277,1439,565,2052,-,-,865,877,134,166,-,-
平成27,2015,8,Aug.,4864,5969,2008,2041,296,1512,493,2098,1462,883,92,85,-,-,14303,12316,81224,24793,1392,3329,1563,1727,390,1988,-,-,1497,1299,73,16,-,-
平成27,2015,9,Sept.,3004,4070,1230,1201,240,1409,459,1949,1178,636,1012,55,-,-,8656,7374,61273,22172,1255,2451,1094,1359,447,1880,-,-,850,646,172,17,-,-
平成27,2015,10,Oct.,3392,5015,1556,1391,271,1771,384,2309,1318,701,1591,39,-,-,7173,6900,58048,33716,1430,3335,1429,1745,325,2147,-,-,994,491,222,83,-,-
平成27,2015,11,Nov.,3373,4480,836,712,164,1176,0,0,1202,621,1088,24,-,-,7211,6099,55692,20976,1254,2601,1227,1461,287,1915,-,-,981,813,110,6,-,-
平成27,2015,12,Dec.,3459,4537,801,718,200,1212,0,0,1295,663,670,66,-,-,5750,6046,97585,28677,1725,3808,1306,1555,426,2356,-,-,886,772,173,20,-,-
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成27年）TOKYO STATISTICAL YEARBOOK ( 2015 ) 4　運輸 4　TRANSPORT ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-23　航空輸送量 (3)  その他の空港 （国内線）（平成23～27年） 4-23 TRANSPORTATION BY ＡIR (3) OTHER AIRPORTS ( DOMESTIC )  ( 2011-2015 ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
資料： 都港湾局離島港湾部管理課 Source: Bureau of  Port and Harbor， TMG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
（単位：月別貨物郵便物取扱量（kg）） (Unit: Monthly amount of  freight／mail handled in kg),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
