年度,Fiscal year,区分,Classification,都電 Toei Streetcar／使用車両数 Vehicles used(両 vehicles),都電 Toei Streetcar／走行キロ数 Distance traveled(1000km),都電 Toei Streetcar／乗車人員 Boarding passengers／総数 Total(千人 in thousands),都電 Toei Streetcar／乗車人員 Boarding passengers／定期 Commuter Pass(千人 in thousands),都電 Toei Streetcar／乗車人員 Boarding passengers／普通 Tickets(千人 in thousands),都電 Toei Streetcar／乗車料収入 Passenger fare／総数 Total(千円 in 1000yen),都電 Toei Streetcar／乗車料収入 Passenger fare／定期 Commuter Pass(千円 in 1000yen),都電 Toei Streetcar／乗車料収入 Passenger fare／普通 Tickets(千円  in 1000yen),都電 Toei Streetcar／使用電力量 Electric power used(1000kWh),都電 Toei Streetcar／1日1車平均 Average per vehicle per day／走行キロ数 Distance traveled(km),都電 Toei Streetcar／1日1車平均 Average per vehicle per day／乗車人員 Boarding passengers(人 passengers),都電 Toei Streetcar／1日1車平均  Average per vehicle per day／乗車料収入 Passenger fare revenue(円 yen)
平成23,2011,,,12602,1524,17981,8638,9343,2316716,953300,1363416,4104,121,1427,183837
平成23,2011,消費税差引後,Exclude consumption tax,,,,,,2236587,938096,1298491,,,,177479
平成24,2012,,,12480,1582,16445,7177,9268,2136872,784612,1352260,4295,127,1318,171224
平成24,2012,消費税差引後,Exclude consumption tax,,,,,,2056879,769012,1287867,,,,164814
平成25,2013,,,12049,1566,16626,7362,9264,2153738,802908,1350830,4259,130,1380,178748
平成25,2013,消費税差引後,Exclude consumption tax,,,,,,2072942,786437,1286505,,,,172043
平成26,2014,,,12183,1484,16608,7547,9061,2181619,815076,1366543,3930,122,1363,179071
平成26,2014,消費税差引後,Exclude consumption tax,,,,,,2054590,789273,1265317,,,,170576
平成27,2015,,,11823,1491,16711,7693,9018,2187232,830375,1356857,3827,126,1413,184998
平成27,2015,消費税差引後,Exclude consumption tax,,,,,,2058326,801977,1256349,,,,175745
,,,,,,,,,,,,,,,
東京都統計年鑑（平成27年）TOKYO STATISTICAL YEARBOOK ( 2015 ) 4　運輸 4　TRANSPORT ,,,,,,,,,,,,,,,
4-9  都営交通の営業設備及び運輸成績 (2)　都電の運輸成績 (平成23～27年度) 4-9  OPERATIONS OF TOEI TRANSPORTATION (2)  OPERATIONS OF TOEI STREETCAR ( Fiscal Years 2011-2015 ),,,,,,,,,,,,,,,
資料：都交通局総務部企画調整課 Source: Bureau of Transportation， TMG,,,,,,,,,,,,,,,
