学校,School,総数 Total,教員数 Teachers／本務者 Full-time／計 Total,教員数 Teachers／本務者 Full-time／男 Male,教員数 Teachers／本務者 Full-time／女 Female,教員数 Teachers／兼務者 Part-time／計 Total,教員数 Teachers／兼務者 Part-time／男 Male,教員数 Teachers／兼務者 Part-time／女 Female,職員 General Personnel／計 Total,職員 General Personnel／男 Male,職員 General Personnel／女 Female
総数,Total,…,64406,29794,34612,…,…,…,8282,…,…
幼稚園,Kindergartens,1150,837,25,812,268,58,210,45,12,33
幼保連携型認定こども園,Accredited Kodomo-en (Daycare-kindergarten),138,137,3,134,1,-,1,-,-,-
小学校,Elementary schools,40241,31590,11826,19764,4578,1233,3345,4073,1735,2338
中学校,Junior high schools,21533,15266,8538,6728,4678,2048,2630,1589,754,835
高等学校,Senior high schools,13724,9435,6113,3322,2884,1516,1368,1405,771,634
中等教育学校,Secondary education schools,601,441,287,154,110,51,59,50,26,24
大学,Colleges and universities,…,717,589,128,…,…,…,330,163,167
高等専門学校,Colleges of technology,…,135,123,12,…,…,…,50,…,…
特別支援学校,Special needs schools,6823,5640,2256,3384,506,169,337,677,307,370
高等学校（通信制）,Senior high schools (Correspondence course),87,43,29,14,41,22,19,3,1,2
専修学校,Specialized training schools,1028,165,5,160,803,389,414,60,13,47
,,,,,,,,,,,
東京都統計年鑑（平成27年）TOKYO STATISTICAL YEARBOOK ( 2015 )　22  選挙・職員 22  ELECTION AND GOVERNMENT EMPLOYEES,,,,,,,,,,,
22-5  職員数 (5) 教職員 (平成27年5月1日) 22-5  GOVERNMENT EMPLOYEES (5) EDUCATIONAL PERSONNEL ( May. 1， 2015 ),,,,,,,,,,,
資料：文部科学省 「学校基本調査報告書」 Source: Ministry of Education， Culture， Sports， Science and Technology,,,,,,,,,,,
