年次,Year,地域階層,地域コード,項番 Item number,地域,District,総数 Total ,宅地 Land for buildings／計  Total ,宅地 Land for buildings／商業地区 Commercial district ,宅地 Land for buildings／工業地区 Industrial district ,宅地 Land for buildings／住宅地区 Residential district ,宅地 Land for buildings／その他  Others  ,田 Paddy fields  ,畑 Ordinary fields  ,山林 Forests  ,原野 Waste land  ,池沼 Ponds and swamps  ,雑種地 Miscellaneous land  ,免税点未満 Land under the legal tax exemption limit  
平成24,2012,0,13000,,東京都,Tokyo-to,103826.38,56991.26,2779.65,3450.35,49445.92,1315.33,317.77,8485.92,25274.01,1824.45,12.39,4749.91,6170.68
平成25,2013,0,13000,,東京都,Tokyo-to,103775.38,57109.69,2785,3468.18,49445.24,1411.28,314,8395.62,25222.55,1818.48,12.08,4713.5,6189.46
平成26,2014,0,13000,,東京都,Tokyo-to,103696.91,57225.47,2789.95,3473.18,49546.69,1415.66,308.97,8296.87,25175.99,1790.12,11.95,4713.8,6173.74
平成27,2015,0,13000,,東京都,Tokyo-to,103546.68,57319.36,2825.52,3430.57,49649.54,1413.76,298.8,8193.64,25102.55,1795.72,11.94,4681.15,6143.58
平成28,2016,0,13000,,東京都,Tokyo-to,103375.81,57451.2,2830.37,3443.88,49759.38,1417.59,295.63,8099.22,24955.02,1792.09,11.84,4625.57,6145.16
平成28,2016,1,13100,,区部,All ku          　,33279.38,31553.23,2006.14,1645.6,27900.54,0.95,0.42,525.74,15.98,-,5.52,1164.46,14.03
平成28,2016,3,13101,1,千代田区,Chiyoda-ku,405.83,364.83,317.02,-,47.82,-,-,-,-,-,-,40.99,0.01
平成28,2016,3,13102,2,中央区,Chuo-ku,394.56,393.81,248.6,11.99,133.23,-,-,-,-,-,-,0.73,0.02
平成28,2016,3,13103,3,港区,Minato-ku,995.69,925.02,294.13,21.39,609.49,-,-,-,-,-,0.06,70.56,0.05
平成28,2016,3,13104,4,新宿区,Shinjuku-ku,1019.46,988.94,113.26,14.67,861.01,-,-,-,-,-,-,30.28,0.24
平成28,2016,3,13105,5,文京区,Bunkyo-ku,595.66,588.36,81.14,19.45,487.78,-,-,-,-,-,-,7.04,0.26
平成28,2016,3,13106,6,台東区,Taito-ku,480.49,453.61,249.91,-,203.7,-,-,-,-,-,-,26.74,0.14
平成28,2016,3,13107,7,墨田区,Sumida-ku,709.71,685.34,45.73,118.91,520.7,-,-,-,-,-,-,24.09,0.28
平成28,2016,3,13108,8,江東区,Koto-ku,1553.89,1486.16,67.5,418.45,1000.22,-,-,-,-,-,4.27,63.11,0.35
平成28,2016,3,13109,9,品川区,Shinagawa-ku,1365.65,1153.69,79.56,145.42,928.7,-,-,-,-,-,-,211.58,0.38
平成28,2016,3,13110,10,目黒区,Meguro-ku,927.55,910.86,33.14,-,877.72,-,-,2.61,0.55,-,-,13.36,0.17
平成28,2016,3,13111,11,大田区,Ota-ku,2580.19,2503.13,32.15,240.91,2230.06,0.01,-,3.41,1.03,-,0.15,71.48,0.98
平成28,2016,3,13112,12,世田谷区,Setagaya-ku,3687.69,3479.14,18.69,-,3460.42,0.03,-,104.36,5.84,-,-,96.77,1.58
平成28,2016,3,13113,13,渋谷区,Shibuya-ku,846.72,808.85,124.34,-,684.52,-,-,-,-,-,-,37.74,0.12
平成28,2016,3,13114,14,中野区,Nakano-ku,1036.65,1006.14,14.86,-,991.28,-,-,4.01,0.15,-,-,25.78,0.57
平成28,2016,3,13115,15,杉並区,Suginami-ku,2242.48,2161.43,18.22,-,2143.17,0.04,-,38.81,1.62,-,0.16,39.5,0.96
平成28,2016,3,13116,16,豊島区,Toshima-ku,821.63,783.56,94.45,-,689.11,-,-,-,-,-,-,37.65,0.42
平成28,2016,3,13117,17,北区,Kita-ku,1048.46,957.27,21.33,66.07,869.87,-,-,0.3,0.7,-,-,89.63,0.57
平成28,2016,3,13118,18,荒川区,Arakawa-ku,591.06,541.46,15.05,72.27,454.14,-,-,-,-,-,-,49.29,0.31
平成28,2016,3,13119,19,板橋区,Itabashi-ku,1848.13,1802.13,15.77,131.9,1654.45,0.02,-,17.65,2.58,-,-,25.03,0.74
平成28,2016,3,13120,20,練馬区,Nerima-ku,3116.66,2838.82,6.61,-,2831.77,0.44,-,215.5,3.49,-,-,56.67,2.19
