年次および種類,Year and kind,月次 ,Month,第3次産業総合 Tertiary industry,第3次産業総合 Tertiary industry／電気・ガス・熱供給・水道業 Electricity， gas， heat supply and water,第3次産業総合 Tertiary industry／情報通信業 Information and communications,第3次産業総合 Tertiary industry／運輸業，郵便業 Transport and postal activities,第3次産業総合 Tertiary industry／卸売業，小売業 Wholesale and retail trade,第3次産業総合 Tertiary industry／金融業，保険業 Finance and insurance,第3次産業総合 Tertiary industry／ 不動産業，物品賃貸業 Real estate and goods rental and leasing,第3次産業総合 Tertiary industry／ 学術研究，専門・技術サービス業 Scientific research， professional and technical services,第3次産業総合 Tertiary industry／ 宿泊業，飲食サービス業 Accommodations， eating and drinking services,第3次産業総合 Tertiary industry／生活関連サービス業，娯楽業 Living-related and personal services and amusement services,第3次産業総合 Tertiary industry／学習支援業  Learning support,第3次産業総合 Tertiary industry／ 医療，福祉 Medical， health care and welfare,第3次産業総合 Tertiary industry／ 複合サービス事業 Compound services,第3次産業総合 Tertiary industry／ その他サービス業(公務等を除く) Miscellaneous services( except Government services etc. )
ウェイト ,Weight,,,10000,161.9,1457.4,618.3,2293,1489.9,1206.1,763,462.7,405.7,131.1,477.2,1.2,532.5
平成23,2011,平均,Average,99.5,93.2,109.2,121.1,86.6,104.7,99,95.7,107.3,87.3,80.8,119,102.5,86.6
平成24,2012,平均,Average,101.4,94.8,112,125.4,85.7,107.7,97.7,101.1,112.2,91.7,81.8,123.8,101.1,88
平成25,2013,平均,Average,103.6,92.8,115.9,127.3,83.6,117.9,97.1,102.1,119.6,92.2,81.2,126.9,99.7,87.6
平成26,2014,平均,Average,104.5,90.6,118.4,150.3,81.4,118.7,95.4,100.1,111.6,90.9,80.5,129.7,98.6,91.1
平成27,2015,平均,Average,107.4,89.1,122.4,162.8,81.9,125.2,96.1,99.4,118.6,88.6,82.2,134.3,97.8,92.1
平成27,2015,1,Jan.,106,91.5,120.8,157.4,80.3,121.9,95.4,100.4,120.8,89.3,79.7,132.6,98,87.8
平成27,2015,2,Feb.,107.2,90.4,120.3,166,81.1,122.5,95.6,100.7,121.4,89.4,80.8,132.4,97.9,91.7
平成27,2015,3,Mar.,107.5,89.5,122.1,163.4,81.6,123.2,96,98.6,128.3,89.4,81.4,132.8,97.8,93.1
平成27,2015,4,Apr.,107,92,122.3,160.7,81.9,124.4,96.2,100.6,111.1,88.3,81.8,133.7,97.8,90.7
平成27,2015,5,May,107.3,88.9,122.1,161.6,81.9,125.6,95.9,99.1,122.7,89.7,81.9,133.7,97.8,93.2
平成27,2015,6,June,107.6,89.5,122.8,161.3,82.2,125.7,96.4,99.8,118.2,90.1,81.3,134.5,97.8,94.3
平成27,2015,7,July,107.9,88.1,123.4,161.2,82.9,127.2,96.1,99,123,90.5,82.3,134.6,97.8,88.7
平成27,2015,8,Aug.,107.9,90,123.3,161.1,82.6,130,96.3,99.9,116.7,88.5,82.3,134.7,97.8,90.8
平成27,2015,9,Sept.,107.6,84.7,119.6,165.4,82.2,126.1,96.1,100.5,117.5,88.8,82.4,135.7,97.8,93.3
平成27,2015,10,Oct.,108,88.6,123.6,164.6,83.4,126.7,96.6,97.5,115.1,87.7,82.5,137,97.8,92.9
平成27,2015,11,Nov.,107.9,88,124.4,164,81.8,126.7,96.9,99.7,116.5,86.1,82.6,135.8,97.8,95.2
平成27,2015,12,Dec.,107.7,87.4,124.7,166.7,81.3,124.5,96,98.6,113.9,85.8,82.8,137.3,97.8,93
,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成27年）TOKYO STATISTICAL YEARBOOK ( 2015 )　12  商業・サービス・貿易 12  COMMERCE，SERVICES，AND FOREIGN TRADE,,,,,,,,,,,,,,,,,
12-4  第３次産業活動指数 (平成23～27年) 12-4  INDICES OF TERTIARY INDUSTRY ACTIVITY ( 2011-2015 ),,,,,,,,,,,,,,,,,
(1) ウェイト………平成17年の粗付加価値額,,,,,,,,,,,,,,,,,
(2) 算式………固定ウェイトによる加重算術平均式 ,,,,,,,,,,,,,,,,,
(1) Weight  ……… Gross value added in 2005,,,,,,,,,,,,,,,,,
(2) Formula……… A weighted arithmetic mean formula based on weights fixed in the base period,,,,,,,,,,,,,,,,,
注 1) 月別の値は，季節調整済指数である。 ,,,,,,,,,,,,,,,,,
2) 暦年の値は月別原指数の平均値である。 ,,,,,,,,,,,,,,,,,
3) 指数値は，最新のデータ入手に伴い遡及して変更されることがある。 ,,,,,,,,,,,,,,,,,
Note: 1) Monthly figures are seasonally adjusted indices.,,,,,,,,,,,,,,,,,
2) Yearly figures are the averages of original monthly indices.,,,,,,,,,,,,,,,,,
3) Indices may be retroactively revised  to reflect the latest available data.,,,,,,,,,,,,,,,,,
資料：都総務局統計部調整課 「東京都第３次産業活動指数」 Source: Bureau of General Affairs， TMG,,,,,,,,,,,,,,,,,
（平成 17年平均＝100） ( 2005  Average=100 ),,,,,,,,,,,,,,,,,
