種類１,Kind １,種類２,Kind ２,種類３,Kind ３,平成23年　2011,平成24年　2012,平成25年　2013,平成26年　2014,平成27年　2015
総数,Total,,,,,74211390,74685896,73570409,70416400,68043166
電灯,Lighting,,,,,30139690,29983975,29783733,28508632,28096902
電灯,Fixed rate lighting service,定額電灯,Fixed rate lighting service,,,78156,74181,73656,73938,73819
電灯,Fixed rate lighting service,従量電灯Ａ.Ｂ,Meter-rate lighting service AB,,,21293270,21042136,20823186,19774408,19443972
電灯,Fixed rate lighting service,従量電灯Ｃ,Meter-rate lighting service C,,,5384555,5279531,5062109,4782691,4630791
電灯,Fixed rate lighting service,時間帯別電灯,Time-of-day lighting service,,,2544881,2754009,3016322,3108970,3207185
電灯,Fixed rate lighting service,その他電灯,Others,,,838829,834118,808461,768626,741135
電力,Power,,,,,44071700,44701921,43786676,41907768,39946264
電力,Power,小口電力,Small industrial power,,,3086128,3022583,2919634,2733898,2654091
電力,Power,小口電力,Small industrial power,低圧電力,Low voltage power service,2659085,2608661,2527364,2355292,2289764
電力,Power,小口電力,Small industrial power,その他電力,Others,427043,413922,392270,378606,364327
電力,Power,特定規模需要,Specified demand  ,,,40985572,41679337,40867042,39173871,37292173
,,,,,,,,,,
東京都統計年鑑（平成27年）TOKYO STATISTICAL YEARBOOK ( 2015 )　6  電気・上下水道 6  ELECTRICITY， WATERWORKS， AND SEWERAGE,,,,,,,,,,
6-1 電灯及び電力使用量  （平成23～27年） 6-1   CONSUMPTION OF ELECTRIC LIGHT AND POWER ( Fiscal Years 2011-2015 ),,,,,,,,,,
定額電灯 ： 電灯又は小型機器を使用する需要で，その総容量（入力）が400VA以下であるもの（電話ボックス等）,,,,,,,,,,
Fixed rate lighting service : Total capacity of 400 VA or lower (e.g. telephone box)．,,,,,,,,,,
従量電灯A，B ： 契約電流が5～60A以下で，電灯，小型機器を使用する需要（住宅，商店等）,,,,,,,,,,
Meter-rate lighting service A.B: Using electric light or small equipment of electric current contracts in the 5～60A range (e.g.dwellings， stores)．,,,,,,,,,,
従量電灯C ：  契約電流が6～50kVAで，電灯，小型機器を使用する需要（住宅，商店等）,,,,,,,,,,
Meter-rate lighting service C : Using electric light or small equipment of contracted capacity in the 6～lower than 50kVA range (e.g.dwellings， stores)． ,,,,,,,,,,
低圧電力 ： 低圧で電気の供給を受けて動力を使用する需要で，契約電力が原則として50kW未満であるもの（商店等）,,,,,,,,,,
Low voltage power service : lower than 50kW (e.g. stores)．,,,,,,,,,,
特定規模需要 ： 高圧および特別高圧で電気の供給を受ける需要で，契約電力が50kW以上であるもの,,,,,,,,,,
Specified demand ： supplied with extra high voltage or high voltage (50kW of demand or higher)．,,,,,,,,,,
資料 ： 東京電力株式会社 Source : Tokyo Electric Power Co.， Ltd.,,,,,,,,,,
（単位　1000キロワット時）(In 1000kWh),,,,,,,,,,
