年齢階層,年齢 (歳) ,Age (years old),計 Total,男 Male,女 Female
0,総数,Total,111673,59164,52509
2,0～9,0-9,300,171,129
3,0,0,189,101,88
3,1,1,38,24,14
3,2,2,14,9,5
3,3,3,8,5,3
3,4,4,7,3,4
3,5,5,11,7,4
3,6,6,13,10,3
3,7,7,7,4,3
3,8,8,6,4,2
3,9,9,7,4,3
2,10～19,10--19,128,92,36
3,10,10,5,4,1
3,11,11,4,2,2
3,12,12,10,8,2
3,13,13,6,5,1
3,14,14,10,8,2
3,15,15,13,10,3
3,16,16,18,11,7
3,17,17,12,10,2
3,18,18,28,18,10
3,19,19,22,16,6
2,20～29,20-29,497,325,172
3,20,20,35,26,9
3,21,21,39,30,9
3,22,22,42,27,15
3,23,23,48,32,16
3,24,24,51,33,18
3,25,25,59,38,21
3,26,26,53,37,16
3,27,27,64,39,25
3,28,28,51,30,21
3,29,29,55,33,22
2,30～39,30-39,925,615,310
3,30,30,67,46,21
3,31,31,67,46,21
3,32,32,66,43,23
3,33,33,81,58,23
3,34,34,99,60,39
3,35,35,108,77,31
3,36,36,75,51,24
3,37,37,119,82,37
3,38,38,126,75,51
3,39,39,117,77,40
2,40～49,40-49,2638,1680,958
3,40,40,185,112,73
3,41,41,199,131,68
3,42,42,222,131,91
3,43,43,226,140,86
3,44,44,242,162,80
3,45,45,277,178,99
3,46,46,310,202,108
3,47,47,329,211,118
3,48,48,284,175,109
3,49,49,364,238,126
2,50～59,50-59,4884,3323,1561
3,50,50,381,259,122
3,51,51,405,270,135
3,52,52,440,280,160
3,53,53,441,289,152
3,54,54,479,309,170
3,55,55,473,312,161
3,56,56,532,383,149
3,57,57,568,403,165
3,58,58,561,392,169
3,59,59,604,426,178
2,60～69,60-69,12708,8924,3784
3,60,60,715,493,222
3,61,61,776,530,246
3,62,62,851,592,259
3,63,63,1006,730,276
3,64,64,1191,834,357
3,65,65,1449,1030,419
3,66,66,1686,1185,501
3,67,67,1904,1312,592
3,68,68,1717,1249,468
3,69,69,1413,969,444
2,70～79,70-79,24832,16087,8745
3,70,70,1652,1127,525
3,71,71,2067,1439,628
3,72,72,2153,1499,654
3,73,73,2371,1555,816
3,74,74,2490,1636,854
3,75,75,2424,1523,901
3,76,76,2368,1535,833
3,77,77,2877,1798,1079
3,78,78,2972,1844,1128
3,79,79,3458,2131,1327
2,80～89,80-89,39801,20531,19270
3,80,80,3414,2097,1317
3,81,81,3652,2146,1506
3,82,82,4031,2261,1770
3,83,83,3971,2193,1778
3,84,84,4063,2129,1934
3,85,85,4118,2048,2070
3,86,86,4162,2023,2139
3,87,87,4164,2017,2147
3,88,88,4101,1848,2253
3,89,89,4125,1769,2356
2,90～99,90-99,22880,7061,15819
3,90,90,3834,1538,2296
3,91,91,3406,1263,2143
3,92,92,3101,1043,2058
3,93,93,2855,882,1973
3,94,94,2549,711,1838
3,95,95,2166,547,1619
3,96,96,1562,345,1217
3,97,97,1352,302,1050
3,98,98,1112,245,867
3,99,99,943,185,758
2,100～109,100-109,2068,352,1716
3,100,100,708,130,578
3,101,101,490,87,403
3,102,102,326,60,266
3,103,103,224,34,190
3,104,104,148,25,123
3,105,105,69,10,59
3,106,106,51,4,47
3,107,107,28,1,27
3,108,108,14,1,13
3,109,109,10,-,10
2,110～113,110-113,9,1,8
3,110,110,2,1,1
3,111,111,5,-,5
3,112,112,-,-,-
3,113,113,1,-,1
3,114～,114- and over,1,0,1
3,不詳,Unknown age,3,2,1
1,（再掲) 0～14,(relisted) 0-14,335,198,137
1,（再掲) 15～64,(relisted) 15-64,13576,9187,4389
1,（再掲) 65～ 1),(relisted) 65 and over 1),97762,49779,47983
,,,,,
東京都統計年鑑（平成27年）TOKYO STATISTICAL YEARBOOK ( 2015 )　2  人口・世帯 2  POPULATION AND HOUSEHOLDS,,,,,
2-7  人口動態  (4) 年齢，男女別死亡者数（平成27年） 2-7  VITAL STATISTICS  (4) DEATHS BY SINGLE YEARS OF AGE AND GENDER ( 2015 ),,,,,
注 1) （再掲）の「65～」は不詳分を含む。,,,,,
"Note: 1) In the ""relisted"" section， figures for ages 65 and up include those of unknown age.",,,,,
資料：都福祉保健局総務部総務課 Source: Bureau of Social Welfare and Public Health， TMG,,,,,
年齢階層（0:総数　1:再掲　2:年齢区分　3:各年齢）,,,,,
