年度,Fiscal year,系統,Line,駅,Station,マーク Mark,乗車人員 Boarding passengers／総数 Total,乗車人員 Boarding passengers／定期 Commuter Pass,乗車人員 Boarding passengers／普通 Tickets
平成27,2015,中央本線,Chuo Line,吉祥寺,Kichijoji,,51718,29479,22240
平成27,2015,中央本線,Chuo Line,三鷹,Mitaka,,34699,23154,11545
平成27,2015,中央本線,Chuo Line,武蔵境,Musashi-sakai,,24439,16643,7796
平成27,2015,中央本線,Chuo Line,東小金井,Higashi-koganei,,10994,7618,3376
平成27,2015,中央本線,Chuo Line,武蔵小金井,Musashi-koganei,,22131,14953,7177
平成27,2015,中央本線,Chuo Line,国分寺,Kokubunji,,40745,27399,13347
平成27,2015,中央本線,Chuo Line,西国分寺,Nishi-kokubunji,,10659,5958,4702
平成27,2015,中央本線,Chuo Line,国立,Kunitachi,,19498,12929,6569
平成27,2015,中央本線,Chuo Line,立川,Tachikawa,,59989,32512,27477
平成27,2015,中央本線,Chuo Line,日野,Hino,,9948,7020,2928
平成27,2015,中央本線,Chuo Line,豊田,Toyoda,,12171,8628,3543
平成27,2015,中央本線,Chuo Line,八王子,Hachioji,,31541,18120,13422
平成27,2015,中央本線,Chuo Line,西八王子,Nishi-hachioji,,11744,8240,3504
平成27,2015,中央本線,Chuo Line,高尾,Takao,,10655,6888,3767
平成27,2015,南武線,Nambu Line,,,,43857,28022,15835
平成27,2015,南武線,Nambu Line,矢野口,Yanokuchi,,3662,2479,1183
平成27,2015,南武線,Nambu Line,稲城長沼,Inaginaganuma,,2597,1808,789
平成27,2015,南武線,Nambu Line,南多摩,Minamitama,,2500,1617,883
平成27,2015,南武線,Nambu Line,府中本町,Fuchu-hommachi,,6299,2829,3469
平成27,2015,南武線,Nambu Line,分倍河原,Bubaigawara,,14653,9535,5118
平成27,2015,南武線,Nambu Line,西府,Nishifu,,3756,2687,1069
平成27,2015,南武線,Nambu Line,谷保,Yaho,,3755,2553,1202
平成27,2015,南武線,Nambu Line,矢川,Yagawa,,2950,1947,1002
平成27,2015,南武線,Nambu Line,西国立,Nishi-kunitachi,,3686,2566,1120
平成27,2015,横浜線,Yokohama Line,,,,60350,38243,22107
平成27,2015,横浜線,Yokohama Line,成瀬,Naruse,,7040,4536,2504
平成27,2015,横浜線,Yokohama Line,町田,Machida,,41051,25129,15922
平成27,2015,横浜線,Yokohama Line,相原,Aihara,,3777,2691,1087
平成27,2015,横浜線,Yokohama Line,八王子みなみ野,Hachiojiminamino,,6574,4698,1875
平成27,2015,横浜線,Yokohama Line,片倉,Katakura,,1908,1190,718
平成27,2015,青梅線,Ome Line,,,,59139,38383,20756
平成27,2015,青梅線,Ome Line,西立川,Nishi-tachikawa,,2499,1332,1167
平成27,2015,青梅線,Ome Line,東中神,Higashi-nakagami,,2591,1751,840
平成27,2015,青梅線,Ome Line,中神,Nakagami,,3988,2690,1298
平成27,2015,青梅線,Ome Line,昭島,Akishima,,9664,6157,3507
平成27,2015,青梅線,Ome Line,拝島,Haijima,,10936,7029,3907
平成27,2015,青梅線,Ome Line,牛浜,Ushihama,,1630,905,725
平成27,2015,青梅線,Ome Line,福生,Fussa,,6090,3792,2298
平成27,2015,青梅線,Ome Line,羽村,Hamura,,5093,3418,1675
平成27,2015,青梅線,Ome Line,小作,Ozaku,,6371,4407,1965
平成27,2015,青梅線,Ome Line,河辺,Kabe,,4951,3273,1677
平成27,2015,青梅線,Ome Line,東青梅,Higashi-ome,,2462,1746,715
平成27,2015,青梅線,Ome Line,青梅,Ome,,2511,1775,736
平成27,2015,青梅線,Ome Line,宮ノ平,Miyanohira,○,…,…,…
平成27,2015,青梅線,Ome Line,日向和田,Hinatawada,○,…,…,…
平成27,2015,青梅線,Ome Line,石神前,Ishigamimae,○,…,…,…
平成27,2015,青梅線,Ome Line,二俣尾,Futamatao,○,…,…,…
平成27,2015,青梅線,Ome Line,軍畑,Ikusabata,○,…,…,…
平成27,2015,青梅線,Ome Line,沢井,Sawai,○,…,…,…
平成27,2015,青梅線,Ome Line,御嶽,Mitake,○,…,…,…
平成27,2015,青梅線,Ome Line,川井,Kawai,○,…,…,…
平成27,2015,青梅線,Ome Line,古里,Kori,○,…,…,…
平成27,2015,青梅線,Ome Line,鳩ノ巣,Hatonosu,○,…,…,…
平成27,2015,青梅線,Ome Line,白丸,Shiromaru,○,…,…,…
平成27,2015,青梅線,Ome Line,奥多摩,Okutama,,354,108,246
平成27,2015,五日市線,Itsukaichi Line,,,,8334,5805,2529
平成27,2015,五日市線,Itsukaichi Line,熊川,Kumagawa,○,…,…,…
平成27,2015,五日市線,Itsukaichi Line,東秋留,Higashi-akiru,,1763,1258,505
平成27,2015,五日市線,Itsukaichi Line,秋川,Akigawa,,2655,1876,779
平成27,2015,五日市線,Itsukaichi Line,武蔵引田,Musashi-hikida,,1295,929,366
平成27,2015,五日市線,Itsukaichi Line,武蔵増戸,Musashi-masuko,,964,666,298
平成27,2015,五日市線,Itsukaichi Line,武蔵五日市,Musashi-itsukaichi,,1658,1077,581
平成27,2015,武蔵野線,Musashino Line,,,,23721,16237,7484
平成27,2015,武蔵野線,Musashino Line,北府中,Kita-fuchu,,5523,4284,1239
平成27,2015,武蔵野線,Musashino Line,新小平,Shin-kodaira,,4183,2800,1383
平成27,2015,武蔵野線,Musashino Line,新秋津,Shin-akitsu,,14014,9153,4861
平成27,2015,八高線,Hachiko Line,,,,6017,4659,1358
平成27,2015,八高線,Hachiko Line,北八王子,Kita-hachioji,,3235,2661,574
平成27,2015,八高線,Hachiko Line,小宮,Komiya,,1164,832,332
平成27,2015,八高線,Hachiko Line,東福生,Higashi-fussa,○,…,…,…
平成27,2015,八高線,Hachiko Line,箱根ケ崎,Hakonegasaki,,1618,1166,452
平成27,2015,東北本線,Tohoku Line,,,※,352118,186010,166108
平成27,2015,東北本線,Tohoku Line,秋葉原,Akihabara,,89275,40602,48673
平成27,2015,東北本線,Tohoku Line,御徒町,Okachimachi,,24451,13103,11347
平成27,2015,東北本線,Tohoku Line,上野,Ueno,,66461,31272,35189
平成27,2015,東北本線,Tohoku Line,鶯谷,Uguisudani,,8948,4032,4916
平成27,2015,東北本線,Tohoku Line,日暮里,Nippori,,39308,21821,17487
平成27,2015,東北本線,Tohoku Line,西日暮里,Nishi-nippori,,36117,22284,13834
平成27,2015,東北本線,Tohoku Line,田端,Tabata,,16819,9614,7205
平成27,2015,東北本線,Tohoku Line,上中里,Kami-nakazato,,2712,1723,989
平成27,2015,東北本線,Tohoku Line,王子,Oji,,22763,14889,7873
平成27,2015,東北本線,Tohoku Line,東十条,Higashi-jujo,,8290,5188,3102
平成27,2015,東北本線,Tohoku Line,赤羽,Akabane,,33726,19342,14384
平成27,2015,東北本線,Tohoku Line,尾久,Oku,,3247,2139,1108
平成27,2015,山手線,Yamanote Line,,,※,1010472,560338,450133
平成27,2015,山手線,Yamanote Line,大崎,Osaki,,56563,36733,19830
平成27,2015,山手線,Yamanote Line,五反田,Gotanda,,48976,29310,19666
平成27,2015,山手線,Yamanote Line,目黒,Meguro,,39588,21982,17606
平成27,2015,山手線,Yamanote Line,恵比寿,Ebisu,,51197,27175,24021
平成27,2015,山手線,Yamanote Line,渋谷,Shibuya,,136238,71599,64639
平成27,2015,山手線,Yamanote Line,原宿,Harajuku,,26986,8512,18474
平成27,2015,山手線,Yamanote Line,新宿,Shinjuku,,278176,147885,130291
平成27,2015,山手線,Yamanote Line,新大久保,Shin-okubo,,15279,6532,8747
平成27,2015,山手線,Yamanote Line,高田馬場,Takadanobaba,,74135,45566,28569
平成27,2015,山手線,Yamanote Line,目白,Mejiro,,13911,8625,5286
平成27,2015,山手線,Yamanote Line,池袋,Ikebukuro,,203782,118274,85507
平成27,2015,山手線,Yamanote Line,大塚,Otsuka,,20396,11279,9117
平成27,2015,山手線,Yamanote Line,巣鴨,Sugamo,,28043,16691,11353
平成27,2015,山手線,Yamanote Line,駒込,Komagome,,17202,10175,7026
平成27,2015,埼京線,Saikyo Line,,,※,39435,26210,13225
平成27,2015,埼京線,Saikyo Line,板橋,Itabashi,,12099,7312,4787
平成27,2015,埼京線,Saikyo Line,十条,Jujo,,13140,9126,4014
平成27,2015,埼京線,Saikyo Line,北赤羽,Kita-akabane,,6624,4616,2008
平成27,2015,埼京線,Saikyo Line,浮間舟渡,Ukimafunado,,7572,5156,2416
平成27,2015,常磐線,Joban Line,,,※,125376,88572,36804
平成27,2015,常磐線,Joban Line,三河島,Mikawashima,,3983,2697,1286
平成27,2015,常磐線,Joban Line,南千住,Minami-senju,,6042,3973,2069
平成27,2015,常磐線,Joban Line,北千住,Kita-senju,,76858,56397,20461
平成27,2015,常磐線,Joban Line,綾瀬,Ayase,,5400,3592,1808
平成27,2015,常磐線,Joban Line,亀有,Kameari,,15027,9659,5369
平成27,2015,常磐線,Joban Line,金町,Kanamachi,,18065,12254,5810
平成27,2015,総武線,Sobu Line,,,※,171718,107573,64145
平成27,2015,総武線,Sobu Line,両国,Ryogoku,,14238,8252,5986
平成27,2015,総武線,Sobu Line,浅草橋,Asakusabashi,,19747,11991,7756
平成27,2015,総武線,Sobu Line,新日本橋,Shin-nihombashi,,6573,4736,1837
平成27,2015,総武線,Sobu Line,馬喰町,Bakurocho,,9159,6337,2822
平成27,2015,総武線,Sobu Line,錦糸町,Kinshicho,,38500,21262,17238
平成27,2015,総武線,Sobu Line,亀戸,Kameido,,20982,13391,7591
平成27,2015,総武線,Sobu Line,平井,Hirai,,11755,7887,3867
平成27,2015,総武線,Sobu Line,新小岩,Shin-koiwa,,27134,18277,8857
平成27,2015,総武線,Sobu Line,小岩,Koiwa,,23631,15440,8191
平成27,2015,京葉線,Keiyo Line,,,※,50496,30658,19838
平成27,2015,京葉線,Keiyo Line,八丁堀,Hatchobori,,11846,7160,4687
平成27,2015,京葉線,Keiyo Line,越中島,Etchujima,,1840,1209,632
平成27,2015,京葉線,Keiyo Line,潮見,Shiomi,,4793,3276,1517
平成27,2015,京葉線,Keiyo Line,新木場,Shin-kiba,,27139,16339,10800
平成27,2015,京葉線,Keiyo Line,葛西臨海公園,Kasairinkaikoen,,4877,2675,2203
,,,,,,,,,
東京都統計年鑑（平成27年）TOKYO STATISTICAL YEARBOOK ( 2015 ) 4　運輸 4　TRANSPORT ,,,,,,,,,
4-8　JRの駅別乗車人員 (平成23～27年度) 4-8  NUMBER OF PASSENGERS OF EAST JAPAN RAILWAY COMPANY TRAINS BY STATION ( Fiscal Years 2011-2015 ),,,,,,,,,
各駅はJRの基準により配列した。 またJR内の乗り継ぎを除く。 乗り換え駅は主線に載せた。,,,,,,,,,
Stations are listed according to JR standards. Figures exclude transfers between JR lines. Transit stations are listed under their main line.,,,,,,,,,
注 1) ※印は区部にある駅 （線） を示す。,,,,,,,,,
2) ○印の駅は無人駅のため，資料元において非公開としているので各々の計にも含まない。,,,,,,,,,
Note: 1) Lines and stations marked with  a ※ refer to those located in the ku area.,,,,,,,,,
2) Stations marked with a ○ are unmanned stations and are not included in the respective totals as figures are not disclosed by the data source.,,,,,,,,,
資料：東日本旅客鉄道株式会社東京支社総務部企画室 Source: East Japan Railway Company,,,,,,,,,
（単位　千人） (In thousands),,,,,,,,,
