年次,Year,区分,Classification,項番 Item number,品種,Item,総数 Total,元町港 (大島町) Motomachi Harbor (Oshima machi) ,岡田港 (大島町) Okada Harbor (Oshima machi),波浮港 (大島町) Habu Harbor   (Oshima machi),利島港 (利島村) Toshima Harbor (Toshima mura),新島港 (新島村) Niijima Harbor (Niijima mura),式根島港 (新島村) Shikinejima Harbor (Niijima mura),神津島港(神津島村) Kozushima Harbor (Kozushima mura),三池港 (三宅村) Miike Harbor (Miyake mura),御蔵島港(御蔵島村) Mikurajima Harbor (Mikurajima mura),神湊港 (八丈町) Kaminato Harbor (Hachijo machi),八重根港 (八丈町) Yaene Harbor (Hachijo machi),青ヶ島港(青ヶ島村) Aogashima Harbor (Aogashima mura) ,二見港(小笠原村)Futami Harbor(Ogasawara mura),沖港(小笠原村) Oki Harbor (Ogasawara mura) 
平成23,2011,移出 ,Leaving,,総数,Total,135824,15675,11654,6129,2132,12828,11048,8037,5148,3179,28706,1001,1665,15842,12780
平成24,2012,移出 ,Leaving,,総数,Total,157205,16864,37560,11023,1958,16813,900,5387,5500,1414,30457,528,2616,17264,8921
平成25,2013,移出 ,Leaving,,総数,Total,156828,28095,33248,9068,1911,13720,2900,4220,6085,4850,27886,330,2086,15742,6687
平成26,2014,移出 ,Leaving,,総数,Total,154808,44155,12281,4862,1916,12970,-,9478,7861,3153,29641,310,2787,17983,7411
平成27,2015,移出 ,Leaving,,総数,Total,146116,16297,11493,6620,1718,37146,-,4698,6483,6482,25598,802,2268,20560,5951
平成27,2015,移出 ,Leaving,1,農水産品,Agricultural and aquatic products,15464,1111,1682,38,281,3020,-,1509,375,325,5523,157,78,1090,275
平成27,2015,移出 ,Leaving,2,林産品,Forestry products,6186,22,3,65,-,2549,-,69,47,342,1954,58,6,915,156
平成27,2015,移出 ,Leaving,3,鉱産品,Mineral products,3865,-,-,-,-,2461,-,-,-,-,1,-,-,1403,-
平成27,2015,移出 ,Leaving,4,金属機械工業品,Metal and machinery products,25918,3055,915,1991,426,7740,-,795,1884,1876,2754,80,263,3292,847
平成27,2015,移出 ,Leaving,5,化学工業品,Chemical industrial products,13809,165,19,14,50,9808,-,49,326,2278,807,40,36,193,24
平成27,2015,移出 ,Leaving,6,軽工業品,Light industrial products,1134,-,-,-,-,201,-,51,0,276,307,19,15,250,15
平成27,2015,移出 ,Leaving,7,雑工業品,Miscellaneous industrial products,4643,561,288,8,-,1339,-,103,61,284,916,32,20,905,126
平成27,2015,移出 ,Leaving,8,特殊品,Special goods,67120,7703,7260,2554,961,9751,-,2048,3573,693,13291,416,1850,12512,4508
平成27,2015,移出 ,Leaving,9,分類不能のもの,Unclassifiable goods,7977,3680,1326,1950,-,277,-,74,217,408,45,-,-,-,-
平成23,2011,移入,Entering,,総数,Total,935320,102009,35707,94807,31303,105386,-,22587,82911,79259,272244,12948,26607,55671,13881
平成24,2012,移入,Entering,,総数,Total,812402,95962,37955,68315,35319,86670,-,22498,83987,87839,187293,14243,24964,53781,13576
平成25,2013,移入,Entering,,総数,Total,643801,131000,36744,29261,23155,109766,-,15932,19223,29773,156598,5601,23894,48931,13923
平成26,2014,移入,Entering,,総数,Total,705898,142336,46735,47629,35697,78404,-,26571,64698,41970,136573,11253,19139,44175,10718
平成27,2015,移入,Entering,,総数,Total,698534,111706,36878,65827,21736,180116,-,19384,40802,16280,126905,9721,15502,37185,16492
平成27,2015,移入,Entering,1,農水産品,Agricultural and aquatic products,27049,6687,5050,157,617,1196,-,914,1172,191,8668,246,40,1796,315
平成27,2015,移入,Entering,2,林産品,Forestry products,9282,2370,283,150,212,851,-,71,627,69,3532,107,470,455,85
平成27,2015,移入,Entering,3,鉱産品,Mineral products,337452,43128,18183,42839,15598,96342,-,1921,24983,10820,53516,7717,10001,5441,6963
平成27,2015,移入,Entering,4,金属機械工業品,Metal and machinery products,105132,11166,2329,4969,998,56533,-,3044,3537,1366,11655,345,577,5979,2634
平成27,2015,移入,Entering,5,化学工業品,Chemical industrial products,127154,30924,2722,16748,2127,18444,-,8644,6479,1096,24083,352,3216,9232,3087
平成27,2015,移入,Entering,6,軽工業品,Light industrial products,9894,1680,269,120,622,846,-,450,433,173,2208,63,320,2373,337
平成27,2015,移入,Entering,7,雑工業品,Miscellaneous industrial products,13602,2826,924,547,219,673,-,1036,521,62,2827,81,99,3205,582
平成27,2015,移入,Entering,8,特殊品,Special goods,64260,12601,7075,181,1343,2966,-,3267,2865,1726,19483,782,778,8704,2489
平成27,2015,移入,Entering,9,分類不能のもの,Unclassifiable goods,4709,324,43,116,-,2265,-,37,185,777,933,28,1,-,-
,,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成27年）TOKYO STATISTICAL YEARBOOK ( 2015 )　12  商業・サービス・貿易 12  COMMERCE，SERVICES，AND FOREIGN TRADE,,,,,,,,,,,,,,,,,,,,,
12-8  品種別出入貨物量 (島しょ港湾) (平成23～27年) 12-8  VOLUME OF ENTERING AND LEAVING CARGOES BY KIND OF GOODS ( HARBORS OF ISLANDS ) ( 2011-2015 ),,,,,,,,,,,,,,,,,,,,,
資料：都港湾局港湾経営部振興課  「東京港港勢」 Source: Bureau of Port and Harbor， TMG,,,,,,,,,,,,,,,,,,,,,
（単位　トン）(In tons) ,,,,,,,,,,,,,,,,,,,,,
