年次,Year,受理 Received／総数 Total,受理 Received／総務 General Affairs,受理 Received／財政 Finance,受理 Received／文教 Education,受理 Received／都市整備 Urban Development,受理 Received／厚生 Welfare,受理 Received／経済・港湾 Economic Affairs， Port & Harbor,受理 Received／環境・建設 Environment and Construction,受理 Received／公営企業 Public Enterprises,受理 Received／警察・消防 Police and Fire Fighting,受理 Received／議会運営 Rules and Administration of the Assembly,処理 Disposed／総数 Total,処理 Disposed／総務 General Affairs,処理 Disposed／財政 Finance,処理 Disposed／文教 Education,処理 Disposed／都市整備 Urban Development,処理 Disposed／厚生 Welfare,処理 Disposed／経済・港湾 Economic Affairs， Port & Harbor,処理 Disposed／環境・建設 Environment and Construction,処理 Disposed／公営企業 Public Enterprises,処理 Disposed／警察・消防 Police and Fire Fighting,処理 Disposed／議会運営 Rules and Administration of the Assembly,取下げ Withdrawal,審議未了 Shelved,継続審査 Continuing
平成23,2011,169,5,50,54,10,14,5,18,6,7,-,785,649,52,33,6,11,5,20,4,5,-,1,-,174
平成24,2012,192,13,53,14,37,16,-,44,4,11,-,146,8,51,33,8,14,-,16,5,11,-,5,-,215
平成25,2013,164,8,55,19,20,20,2,23,9,7,1,155,11,53,14,6,17,2,45,4,2,1,3,127,94
平成26,2014,170,12,52,23,26,11,5,29,1,2,9,168,10,52,25,17,13,5,24,5,8,9,7,-,89
平成27,2015,152,5,55,24,34,16,-,11,1,4,2,121,3,53,14,17,12,-,15,1,4,2,4,-,116
,,,,,,,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成27年）TOKYO STATISTICAL YEARBOOK ( 2015 )　22  選挙・職員 22  ELECTION AND GOVERNMENT EMPLOYEES,,,,,,,,,,,,,,,,,,,,,,,,,,
22-3  都議会委員会別請願及び陳情件数 （平成23～27年） 22-3  ACCEPTANCE AND DISPOSAL OF PETITIONS BY TOKYO METROPOLITAN ASSEMBLY COMMITTEE ( 2011-2015 ),,,,,,,,,,,,,,,,,,,,,,,,,,
資料：都議会局議事部議案法制課 Source: Secretariat to the Tokyo Metropolitan Assembly,,,,,,,,,,,,,,,,,,,,,,,,,,
