年度末,End of fiscal year,資産 Assets／貸出金 Loans and bills discounted,資産 Assets／貸出金 Loans and bills discounted／割引手形 Bills discounted,資産 Assets／貸出金 Loans and bills discounted／貸付金 Loans,資産 Assets／現金 Cash,資産 Assets／預け金 Due from banks,資産 Assets／有価証券 Securities,資産 Assets／コールローン Call loans,負債 Liabilities／預金 Deposits／総額 Total,負債 Liabilities／預金 Deposits／当座預金 Current deposits,負債 Liabilities／預金 Deposits／普通預金 Ordinary deposits,負債 Liabilities／預金 Deposits／定期預金 Time deposits,負債 Liabilities／預金 Deposits／定期積金 Installment savings,負債 Liabilities／預金 Deposits／その他の預金 Other deposits,負債 Liabilities／借用金 Borrowed money
平成23,2011,11914751,253503,11661212,261527,5620566,5235961,173128,22353332,498400,6575673,13726808,1188640,363741,62976
平成24,2012,11853376,230003,11623373,258024,5869646,5603482,111299,22691693,507828,6905653,13771538,1132268,374406,74363
平成25,2013,11969096,202583,11766479,236549,6144629,5704774,68046,23068906,506970,7257785,13839682,1070854,393549,98638
平成26,2014,12274518,195494,12078992,229434,6340728,5883369,27457,23490438,541493,7760917,13753128,1027746,407154,181178
平成27,2015,12675916,181494,12494422,229376,6492505,5788314,11545,23887443,550032,8208458,13752023,964287,412643,206538
,,,,,,,,,,,,,,,
東京都統計年鑑（平成27年）TOKYO STATISTICAL YEARBOOK ( 2015 )　15  金融 15  FINANCE,,,,,,,,,,,,,,,
15-2  中小企業金融機関の主要勘定 (1) 信用金庫  (平成23～27年度末) 15-2  MAIN ACCOUNTS OF FINANCIAL INSTITUTIONS FOR SMALL BUSINESSES (1) SHINKIN BANKS ( End of Fiscal Years 2011-2015 ),,,,,,,,,,,,,,,
注 1) 貸付金の中に当座貸越金を含む。 定期積金の中に据え置き預金を含む。,,,,,,,,,,,,,,,
"Note: 1) ""Loans"" include overdrafts. ""Installment savings"" include deferred deposits.",,,,,,,,,,,,,,,
資料：東京都信用金庫協会 Source: Tokyo Association of Shinkin Banks,,,,,,,,,,,,,,,
  (単位  百万円) (In millions of yen),,,,,,,,,,,,,,,
