海区,Sea region,区分,Classification,区分,Classification,生産金額 Value
総数,Total,総数,Total,,,3539903
総数,Total,魚類,Fish,総数,Total,2952890
総数,Total,魚類,Fish,きんめだい,Alfonsino,1410391
総数,Total,魚類,Fish,かじき類,Swordfish,207086
総数,Total,魚類,Fish,いさき,Grunt,65842
総数,Total,その他の水産動物,Other marine animals,総数,Total,361145
総数,Total,その他の水産動物,Other marine animals,いせえび,Spiny lobster,179805
総数,Total,その他の水産動物,Other marine animals,いか,Squid,112865
総数,Total,その他の水産動物,Other marine animals,かめ ,Sea turtle　,10150
総数,Total,貝類,Shellfish,総数,Total,129192
総数,Total,貝類,Shellfish,さざえ,Top shell,18680
総数,Total,貝類,Shellfish,あさり類,Shortnecked clams,81566
総数,Total,貝類,Shellfish,とこぶし,Japanese abalone,16560
総数,Total,藻類,Seaweed,総数,Total,96677
総数,Total,藻類,Seaweed,てんぐさ,Tengusa,87482
総数,Total,藻類,Seaweed,とさかのり,Comb paste,6899
東京湾海区,Tokyo bay area,総数,Total,,,244940
東京湾海区,Tokyo bay area,魚類,Fish,総数,Total,159058
東京湾海区,Tokyo bay area,魚類,Fish,あなご,Conger,15522
東京湾海区,Tokyo bay area,魚類,Fish,すずき,Sea bass,101775
東京湾海区,Tokyo bay area,魚類,Fish,かれい類,Flounder,23075
東京湾海区,Tokyo bay area,その他の水産動物,Other marine animals,総数,Total,645
東京湾海区,Tokyo bay area,貝類,Shellfish,総数,Total,85209
東京湾海区,Tokyo bay area,貝類,Shellfish,あさり類,Shortnecked clams,81566
東京湾海区,Tokyo bay area,貝類,Shellfish,その他,Others,3643
東京湾海区,Tokyo bay area,藻類,Seaweed,総数,Total,28
大島海区,Oshima sea area,総数,Total,,,1571029
大島海区,Oshima sea area,魚類,Fish,総数,Total,1188091
大島海区,Oshima sea area,魚類,Fish,きんめだい,Alfonsino,733976
大島海区,Oshima sea area,魚類,Fish,いさき,Grunt,65725
大島海区,Oshima sea area,魚類,Fish,たかべ,Yellow striped butterfish,65446
