年次,Year,総数 Total／一戸建 Detached／戸数 Number,総数 Total／一戸建 Detached／床面積の合計 Total floor space,総数 Total／長屋建 Tenement／戸数 Number,総数 Total／長屋建 Tenement／床面積の合計 Total floor space,総数 Total／共同 Apartment／戸数 Number,総数 Total／共同 Apartment／床面積の合計 Total floor space,専用住宅 Exclusive dwellings／一戸建 Detached／戸数 Number,専用住宅 Exclusive dwellings／一戸建 Detached／床面積の合計 Total floor space,専用住宅 Exclusive dwellings／長屋建 Tenement／戸数 Number,専用住宅 Exclusive dwellings／長屋建 Tenement／床面積の合計 Total floor space,専用住宅 Exclusive dwellings／共同 Apartment／戸数 Number,専用住宅 Exclusive dwellings／共同 Apartment／床面積の合計 Total floor space,併用住宅 Multi-use dwellings／一戸建 Detached／戸数 Number,併用住宅 Multi-use dwellings／一戸建 Detached／床面積の合計 Total floor space,併用住宅 Multi-use dwellings／長屋建 Tenement／戸数 Number,併用住宅 Multi-use dwellings／長屋建 Tenement／床面積の合計 Total floor space,併用住宅 Multi-use dwellings／共同 Apartment／戸数 Number,併用住宅 Multi-use dwellings／共同 Apartment／床面積の合計 Total floor space,その他の住宅 Others／一戸建 Detached／戸数 Number,その他の住宅 Others／一戸建 Detached／床面積の合計 Total floor space,その他の住宅 Others／長屋建 Tenement／戸数 Number,その他の住宅 Others／長屋建 Tenement／床面積の合計 Total floor space,その他の住宅 Others／共同 Apartment／戸数 Number,その他の住宅 Others／共同 Apartment／床面積の合計 Total floor space
平成23,2011,37990,4041418,10648,527865,82062,4912537,37495,3982256,10482,510557,75990,4518382,474,56930,112,7635,5870,355714,21,2232,54,9673,202,38441
平成24,2012,38391,4071613,10825,534800,91646,5436565,37855,4007054,10714,528807,84291,4935670,519,62988,106,5341,7227,492911,17,1571,5,652,128,7984
平成25,2013,41955,4477565,13060,640546,89547,4964656,41413,4414034,13002,636581,82703,4538677,534,62417,58,3965,6705,401705,8,1114,-,-,139,24274
平成26,2014,37319,3963140,12358,583132,92740,5145260,36853,3908554,12276,578628,87638,4907571,461,54169,82,4504,5076,236130,5,417,-,-,26,1559
平成27,2015,34456,3669279,14076,646910,93446,4933459,34077,3625833,13985,641101,88551,4681643,379,43446,91,5809,4892,251711,-,-,-,-,3,105
,,,,,,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成27年）TOKYO STATISTICAL YEARBOOK ( 2015 )　3  建設・住居 3  CONSTRUCTION AND HOUSING,,,,,,,,,,,,,,,,,,,,,,,,,
3-10  着  工  新  設  住  宅  数 （平成23～27年） 3-10  NEW DWELLING CONSTRUCTION STARTS （ 2011～2015 ）,,,,,,,,,,,,,,,,,,,,,,,,,
　　（単位　面積　平方メートル） (Space in m2) ,,,,,,,,,,,,,,,,,,,,,,,,,
　　資料：国土交通省 「住宅着工統計調査報告」 Source: Ministry of Land， Infrastructure， Transport and Tourism ,,,,,,,,,,,,,,,,,,,,,,,,,
