海区,Sea region,区分,Classification,区分,Classification,生産量 Quantity
総数,Total,総数,Total,,,3572371
総数,Total,魚類,Fish,総数,Total,2974106
総数,Total,魚類,Fish,きんめだい,Alfonsino,1006750
総数,Total,魚類,Fish,とびうお,Flying fish,275314
総数,Total,魚類,Fish,むろあじ,Mackerel scad,162359
総数,Total,その他の水産動物,Other marine animals,総数,Total,144295
総数,Total,その他の水産動物,Other marine animals,いか,Squid,84771
総数,Total,その他の水産動物,Other marine animals,いせえび,Spiny lobster,39930
総数,Total,その他の水産動物,Other marine animals,かめ ,Sea turtle　,15319
総数,Total,貝類,Shellfish,総数,Total,235751
総数,Total,貝類,Shellfish,あさり類,Shortnecked clams,200089
総数,Total,貝類,Shellfish,さざえ,Top shell,16973
総数,Total,貝類,Shellfish,とこぶし,Japanese abalone,6552
総数,Total,藻類,Seaweed,総数,Total,218220
総数,Total,藻類,Seaweed,てんぐさ,Tengusa,183613
総数,Total,藻類,Seaweed,とさかのり,Comb paste,33587
東京湾海区,Tokyo bay area,総数,Total,,,429933
東京湾海区,Tokyo bay area,魚類,Fish,総数,Total,225150
東京湾海区,Tokyo bay area,魚類,Fish,すずき,Sea bass,140962
東京湾海区,Tokyo bay area,魚類,Fish,かれい類,Flounder,30534
東京湾海区,Tokyo bay area,魚類,Fish,あなご,Conger,8159
東京湾海区,Tokyo bay area,その他の水産動物,Other marine animals,総数,Total,491
東京湾海区,Tokyo bay area,貝類,Shellfish,総数,Total,204237
東京湾海区,Tokyo bay area,貝類,Shellfish,あさり類,Shortnecked clams,200089
東京湾海区,Tokyo bay area,藻類,Seaweed,総数,Total,55
大島海区,Oshima sea area,総数,Total,,,1316244
大島海区,Oshima sea area,魚類,Fish,総数,Total,989040
大島海区,Oshima sea area,魚類,Fish,きんめだい,Alfonsino,518041
大島海区,Oshima sea area,魚類,Fish,いさき,Grunt,91370
大島海区,Oshima sea area,魚類,Fish,めだい,Doderlein,126023
大島海区,Oshima sea area,その他の水産動物,Other marine animals,総数,Total,95733
大島海区,Oshima sea area,その他の水産動物,Other marine animals,いか,Squid,58092
大島海区,Oshima sea area,その他の水産動物,Other marine animals,いせえび,Spiny lobster,34426
大島海区,Oshima sea area,貝類,Shellfish,総数,Total,29750
大島海区,Oshima sea area,貝類,Shellfish,さざえ,Top shell,16217
大島海区,Oshima sea area,貝類,Shellfish,とこぶし,Japanese abalone,5864
大島海区,Oshima sea area,貝類,Shellfish,くぼがい,Chlorostoma lischkei ,5906
大島海区,Oshima sea area,藻類,Seaweed,総数,Total,201721
大島海区,Oshima sea area,藻類,Seaweed,てんぐさ,Tengusa,167681
大島海区,Oshima sea area,藻類,Seaweed,とさかのり,Comb paste,33587
三宅海区,Miyake sea area,総数,Total,,,219093
三宅海区,Miyake sea area,魚類,Fish,総数,Total,196641
三宅海区,Miyake sea area,魚類,Fish,きんめだい,Alfonsino,61070
三宅海区,Miyake sea area,魚類,Fish,まぐろ類,Tuna,46216
三宅海区,Miyake sea area,魚類,Fish,かつお類,Skipjack,6874
三宅海区,Miyake sea area,その他の水産動物,Other marine animals,総数,Total,4625
三宅海区,Miyake sea area,その他の水産動物,Other marine animals,いせえび,Spiny lobster,2362
三宅海区,Miyake sea area,その他の水産動物,Other marine animals,いか,Squid,2196
三宅海区,Miyake sea area,貝類,Shellfish,総数,Total,1383
三宅海区,Miyake sea area,貝類,Shellfish,さざえ,Top shell,756
三宅海区,Miyake sea area,貝類,Shellfish,とこぶし,Japanese abalone,307
三宅海区,Miyake sea area,藻類,Seaweed,総数,Total,16444
三宅海区,Miyake sea area,藻類,Seaweed,てんぐさ,Tengusa,15932
三宅海区,Miyake sea area,藻類,Seaweed,いわのり,Spontaneous purple,308
八丈海区,Hachijo sea area,総数,Total,,,1072268
八丈海区,Hachijo sea area,魚類,Fish,総数,Total,1069529
八丈海区,Hachijo sea area,魚類,Fish,きんめだい,Alfonsino,427637
八丈海区,Hachijo sea area,魚類,Fish,とびうお,Flying fish,265656
八丈海区,Hachijo sea area,魚類,Fish,むろあじ,Mackerel scad,123311
八丈海区,Hachijo sea area,その他の水産動物,Other marine animals,総数,Total,2360
八丈海区,Hachijo sea area,その他の水産動物,Other marine animals,いか,Squid,2067
八丈海区,Hachijo sea area,その他の水産動物,Other marine animals,いせえび,Spiny lobster,279
八丈海区,Hachijo sea area,貝類,Shellfish,総数,Total,380
八丈海区,Hachijo sea area,貝類,Shellfish,とこぶし,Japanese abalone,380
八丈海区,Hachijo sea area,藻類,Seaweed,総数,Total,-
八丈海区,Hachijo sea area,藻類,Seaweed,とさかのり,Comb paste,-
小笠原海区,Ogasawara sea area,総数,Total,,,534832
小笠原海区,Ogasawara sea area,魚類,Fish,総数,Total,493746
小笠原海区,Ogasawara sea area,魚類,Fish,かじき類,Swordfish,222513
小笠原海区,Ogasawara sea area,魚類,Fish,はまだい,Ruby snapper,110116
小笠原海区,Ogasawara sea area,魚類,Fish,まぐろ類,Tuna,70308
小笠原海区,Ogasawara sea area,その他の水産動物,Other marine animals,総数,Total,41086
小笠原海区,Ogasawara sea area,その他の水産動物,Other marine animals,かめ ,Sea turtle　,15319
小笠原海区,Ogasawara sea area,その他の水産動物,Other marine animals,いか,Squid,22416
小笠原海区,Ogasawara sea area,その他の水産動物,Other marine animals,いせえび,Spinylobster,2863
小笠原海区,Ogasawara sea area,貝類,Shellfish,総数,Total,-
小笠原海区,Ogasawara sea area,藻類,Seaweed,総数,Total,-
,,,,,,
東京都統計年鑑（平成27年）TOKYO STATISTICAL YEARBOOK ( 2015 ) 9　農林水産業 9 AGRICULTURE， FORESTRY， AND FISHERIES,,,,,,
9-7  海区別生産量（平成26年）9-7 CATCHES ( QUANTITY ) BY SEA REGION ( 2014 ),,,,,,
"大手水産会社による遠洋・沖合漁業を除く。						",,,,,,
"Excluding deep sea and offshore activities by large fishery companies.						",,,,,,
"注) 数値は，主要生産量のみを掲げてあるので，内訳の合計は総数に一致しない。						",,,,,,
"Note: The total is not the sum of the details as detailed figures are given for key quantities only.						",,,,,,
"資料：都産業労働局農林水産部水産課 「東京都の水産」 Source: Bureau of Industrial and Labor Affairs， TMG						",,,,,,
"（単位　キログラム） (Quantity in kg)						",,,,,,
