地域階層,地域コード,項番 Item number,地域,District,総数 Total／計 Total,総数 Total／男 Male,総数 Total／女 Female,15歳～19歳 15-19years old／計 Total,15歳～19歳 15-19years old／男 Male,15歳～19歳 15-19years old／女 Female,20歳～24歳 20-24years old／計 Total,20歳～24歳 20-24years old／男 Male,20歳～24歳 20-24years old／女 Female,25歳～29歳 25-29years old／計 Total,25歳～29歳 25-29years old／男 Male,25歳～29歳 25-29years old／女 Female,30歳～34歳 30-34years old／計 Total,30歳～34歳 30-34years old／男 Male,30歳～34歳 30-34years old／女 Female,35歳～39歳 35-39years old／計 Total,35歳～39歳 35-39years old／男 Male,35歳～39歳 35-39years old／女 Female,40歳～44歳 40-44years old／計 Total,40歳～44歳 40-44years old／男 Male,40歳～44歳 40-44years old／女 Female,45歳～49歳 45-49years old／計 Total,45歳～49歳 45-49years old／男 Male,45歳～49歳 45-49years old／女 Female,50歳～54歳 50-54years old／計 Total,50歳～54歳 50-54years old／男 Male,50歳～54歳 50-54years old／女 Female,55歳～59歳 55-59years old／計 Total,55歳～59歳 55-59years old／男 Male,55歳～59歳 55-59years old／女 Female,60歳～64歳 60-64years old／計 Total,60歳～64歳 60-64years old／男 Male,60歳～64歳 60-64years old／女 Female,65歳～69歳 65-69years old／計 Total,65歳～69歳 65-69years old／男 Male,65歳～69歳 65-69years old／女 Female,70歳～74歳 70-74years old／計 Total,70歳～74歳 70-74years old／男 Male,70歳～74歳 70-74years old／女 Female,75歳～79歳 75-79years old／計 Total,75歳～79歳 75-79years old／男 Male,75歳～79歳 75-79years old／女 Female,80歳～84歳 80-84years old／計 Total,80歳～84歳 80-84years old／男 Male,80歳～84歳 80-84years old／女 Female,85歳以上 85years old and over／計 Total,85歳以上 85years old and over／男 Male,85歳以上 85years old and over／女 Female
0,13000,,総数,Tokyo-to,9681,5992,3689,1,-,1,37,31,6,159,130,29,222,181,41,266,213,53,408,287,121,507,346,161,747,478,269,920,566,354,1181,735,446,1198,733,465,1137,628,509,1182,651,531,1024,601,423,692,412,280
1,13100,,区部,All ku          　,1660,1012,648,-,-,-,7,6,1,29,23,6,41,36,5,58,46,12,79,51,28,104,69,35,139,86,53,172,106,66,195,124,71,179,106,73,171,87,84,196,105,91,163,94,69,127,73,54
2,13101,1,千代田区,Chiyoda-ku,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,13102,2,中央区,Chuo-ku,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,13103,3,港区,Minato-ku,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
2,13104,4,新宿区,Shinjuku-ku,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,13105,5,文京区,Bunkyo-ku,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,13106,6,台東区,Taito-ku,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,13107,7,墨田区,Sumida-ku,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,13108,8,江東区,Koto-ku,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,13109,9,品川区,Shinagawa-ku,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,13110,10,目黒区,Meguro-ku,12,7,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,1,1,-,2,1,1,1,1,-,-,-,-,1,-,1,2,1,1,-,-,-,4,3,1
2,13111,11,大田区,Ota-ku,13,7,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,5,4,1,-,-,-,-,-,-,-,-,-,1,-,1,2,-,2,4,3,1,-,-,-
2,13112,12,世田谷区,Setagaya-ku,344,224,120,-,-,-,2,2,-,8,7,1,10,8,2,17,13,4,8,8,-,21,14,7,22,15,7,44,27,17,46,34,12,50,29,21,28,18,10,41,23,18,22,11,11,25,15,10
2,13113,13,渋谷区,Shibuya-ku,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,13114,14,中野区,Nakano-ku,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
2,13115,15,杉並区,Suginami-ku,104,69,35,-,-,-,-,-,-,1,1,-,4,4,-,1,1,-,12,9,3,1,1,-,7,5,2,8,5,3,14,9,5,13,9,4,10,3,7,18,12,6,9,6,3,6,4,2
2,13116,16,豊島区,Toshima-ku,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,13117,17,北区,Kita-ku,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,13118,18,荒川区,Arakawa-ku,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,13119,19,板橋区,Itabashi-ku,54,32,22,-,-,-,1,1,-,1,-,1,1,-,1,4,3,1,2,2,-,2,2,-,4,2,2,3,1,2,6,3,3,5,3,2,5,3,2,6,2,4,5,5,-,9,5,4
2,13120,20,練馬区,Nerima-ku,563,341,222,-,-,-,2,2,-,15,12,3,12,11,1,14,13,1,13,9,4,35,22,13,49,30,19,67,40,27,68,46,22,59,36,23,54,30,24,68,33,35,68,42,26,39,15,24
2,13121,21,足立区,Adachi-ku,167,98,69,-,-,-,-,-,-,1,-,1,2,2,-,6,5,1,16,9,7,9,5,4,15,7,8,12,10,2,20,13,7,18,8,10,19,11,8,17,10,7,20,9,11,12,9,3
2,13122,22,葛飾区,Katsushika-ku,173,97,76,-,-,-,-,-,-,3,3,-,4,4,-,6,5,1,10,6,4,11,8,3,14,8,6,18,9,9,21,11,10,15,9,6,17,7,10,17,5,12,19,10,9,18,12,6
2,13123,23,江戸川区,Edogawa-ku,226,133,93,-,-,-,2,1,1,-,-,-,8,7,1,9,5,4,16,8,8,25,17,8,22,14,8,17,12,5,19,7,12,19,12,7,34,13,21,25,19,6,16,8,8,14,10,4
1,13200,,市部,All shi,7041,4369,2672,1,-,1,27,23,4,120,98,22,173,140,33,190,154,36,305,218,87,376,258,118,554,357,197,685,421,264,859,537,322,840,524,316,841,461,380,830,455,375,732,421,311,508,302,206
2,13201,1,八王子市,Hachioji-shi,595,387,208,-,-,-,-,-,-,4,4,-,11,9,2,11,8,3,19,12,7,32,21,11,48,34,14,56,35,21,70,45,25,74,54,20,75,45,30,62,34,28,78,45,33,55,41,14
2,13202,2,立川市,Tachikawa-shi,494,308,186,-,-,-,4,4,-,12,6,6,23,17,6,25,18,7,29,18,11,38,26,12,46,34,12,33,18,15,57,37,20,57,34,23,62,32,30,46,27,19,44,28,16,18,9,9
2,13203,3,武蔵野市,Musashino-shi,123,79,44,-,-,-,1,1,-,4,3,1,-,-,-,5,5,-,5,5,-,5,4,1,11,9,2,12,8,4,25,18,7,9,3,6,9,7,2,16,7,9,16,7,9,5,2,3
2,13204,4,三鷹市,Mitaka-shi,384,239,145,-,-,-,-,-,-,9,8,1,13,12,1,11,8,3,25,18,7,28,19,9,39,25,14,35,22,13,41,29,12,51,29,22,47,26,21,36,17,19,28,14,14,21,12,9
2,13205,5,青梅市,Ome-shi,240,158,82,-,-,-,1,1,-,1,1,-,3,2,1,3,3,-,8,7,1,5,4,1,8,5,3,14,8,6,30,18,12,37,29,8,39,19,20,32,23,9,36,22,14,23,16,7
2,13206,6,府中市,Fuchu-shi,312,182,130,-,-,-,3,2,1,5,3,2,10,7,3,10,6,4,14,11,3,20,12,8,24,14,10,33,18,15,32,21,11,43,22,21,26,14,12,41,23,18,22,15,7,29,14,15
2,13207,7,昭島市,Akishima-shi,101,69,32,-,-,-,-,-,-,-,-,-,5,5,-,3,3,-,8,4,4,5,5,-,3,1,2,7,4,3,16,11,5,9,8,1,11,8,3,15,9,6,12,7,5,7,4,3
2,13208,8,調布市,Chofu-shi,283,194,89,-,-,-,2,2,-,5,5,-,7,6,1,8,8,-,15,12,3,13,8,5,28,22,6,27,19,8,40,28,12,37,21,16,32,21,11,32,20,12,22,13,9,15,9,6
2,13209,9,町田市,Machida-shi,576,350,226,-,-,-,4,4,-,3,3,-,6,5,1,11,9,2,21,15,6,17,14,3,30,16,14,54,37,17,64,37,27,82,49,33,73,39,34,84,47,37,72,44,28,55,31,24
2,13210,10,小金井市,Koganei-shi,159,106,53,-,-,-,-,-,-,3,3,-,3,3,-,6,6,-,4,2,2,9,6,3,13,11,2,15,10,5,21,16,5,17,10,7,13,8,5,20,10,10,21,15,6,14,6,8
