地域階層,国名,Country,マーク Mark,総数 Total／輸出 Exports,総数 Total／輸入 Imports,海上 By sea／輸出 Exports,海上 By sea／輸入 Imports,航空 By air／輸出 Exports,航空 By air／輸入 Imports
0,総額,Total,,15560713,24575096,6245640,11366245,9315073,13208851
1,アジア,Asia,,9121042,13713323,3429657,7918343,5691385,5794980
2,大韓民国,Republic of Korea,,980317,808194,360921,496262,619396,311932
2,中華人民共和国,China,,2408600,7846237,1034977,4683086,1373623,3163151
2,台湾,Taiwan,,1134720,1282630,316477,505550,818244,777081
2,香港,Hong Kong,,1703984,121069,471127,33776,1232857,87293
2,ベトナム,Vietnam,※,289780,596763,194736,483565,95045,113198
2,タイ,Thailand,,777000,810517,356505,522738,420495,287779
2,シンガポール,Singapore,,854206,581216,228726,192000,625480,389216
2,マレーシア,Malaysia,,339654,679243,143057,325235,196597,354008
2,フィリピン,Philippines,※,274843,356999,116097,221876,158746,135124
2,インドネシア,Indonesia,※,180483,294452,116332,243101,64152,51351
2,カンボジア,Cambodia,※,2416,47599,1425,41657,991,5941
2,ミャンマー,Myanmar,※,2552,41392,1505,35721,1047,5671
2,インド,India,※,142995,163159,72430,69594,70565,93565
2,パキスタン,Pakistan,※,5966,5175,5966,5175,-,-
2,スリランカ,Sri Lanka,※,1908,8644,1908,8644,-,-
2,バングラデシュ,Bangladesh,※,7398,54411,3611,43588,3786,10823
2,マカオ,Macau,※,5811,174,-,-,5811,174
1,中東,Middle East,,133512,148866,62073,23709,71439,125157
2,サウジアラビア,Saudi Arabia,※,29880,2223,16267,2144,13613,80
2,イスラエル,Israel,※,31079,135023,8418,14478,22660,120545
2,アラブ首長国連邦,United Arab Emirates,※,55009,4896,31372,2495,23637,2402
1,西欧,Western Europe,,2218448,4890104,918525,1382060,1299923,3508044
2,ノルウェー,Norway,※,8557,65315,3114,36765,5442,28550
2,スウェーデン,Sweden,※,23698,69287,11486,29130,12212,40157
2,デンマーク,Denmark,※,15379,132065,9612,67446,5767,64619
2,英国,Britain,,335084,359768,107921,110262,227163,249506
2,アイルランド,Ireland,※,69918,760191,25553,22570,44365,737621
2,オランダ,Netherlands,※,419445,141782,242776,57041,176669,84741
2,ベルギー,Belgium,※,97827,117627,51371,37793,46456,79833
2,ルクセンブルク,Luxembourg,※,51256,2060,51256,2060,-,-
2,フランス,France,,167453,662237,74912,234584,92541,427653
2,ドイツ,Germany,,622482,982628,242275,306230,380207,676398
2,スイス,Switzerland,,223759,650347,16827,163402,206932,486946
2,ポルトガル,Portugal,※,2882,10530,-,-,2882,10530
2,スペイン,Spain,※,28335,221479,15467,75531,12868,145947
2,イタリア,Italy,※,77308,522875,37169,135636,40139,387239
2,フィンランド,Finland,※,7979,42486,3370,24141,4608,18345
2,オーストリア,Austria,,37760,88540,9659,39945,28101,48595
2,セルビア,Republic of Serbia,※,92,11171,92,11171,-,-
2,トルコ,Turkey,※,20268,24959,9842,11363,10425,13596
1,中東欧・ロシア等,Inside East Europe， Russia， etc.,,118567,331540,63042,175212,55526,156329
2,ポーランド,Poland,※,30670,58439,18093,38278,12577,20161
2,ロシア,Russia,※,30515,92369,13437,37384,17078,54986
2,ハンガリー,Hungary,※,19741,52991,11079,22688,8663,30302
2,ルーマニア,Romania,※,2151,15967,-,-,2151,15967
2,リトアニア,Lithuania,※,1177,19279,1177,19279,-,-
2,ウクライナ,Ukraine,※,417,18906,417,18906,-,-
2,ブルガリア,Bulgaria,※,1392,5066,-,-,1392,5066
2,チェコ,Czech,※,18927,36785,11349,20464,7577,16321
2,欧州連合,European Union,※,2006003,4296556,937116,1270480,1068887,3026076
1,北米,Noth Amarica,,3574733,4326458,1615738,1366473,1958994,2959985
2,カナダ,Canada,※,120255,251832,66779,166223,53477,85609
1,アメリカ合衆国,United States of America,,3454476,4068205,1548959,1193829,1905517,2874376
1,中南米,Central America,,177114,572482,85763,301562,91351,270920
2,メキシコ,Mexico,※,94345,245661,45679,93873,48665,151787
2,コスタリカ,Costa Rica,※,1715,15355,-,-,1715,15355
2,プエルトリコ（米）,Puerto Rico(U.S.A.),※,3321,74303,-,-,3321,74303
2,コロンビア,Colombia,※,2463,7428,-,-,2463,7428
2,チリ,Chile,※,5626,105362,1721,102255,3905,3106
2,ブラジル,Brazil,※,46921,60781,26633,54567,20288,6214
2,アルゼンチン,Argentina,※,3003,16914,3003,16914,-,-
1,アフリカ,Africa,,46274,339752,23213,44081,23061,295671
2,チュニジア,Tunisia,※,579,4661,-,-,579,4661
2,モーリタニア,Mauritania,※,1,11668,1,11668,-,-
2,南アフリカ共和国,Republic of South Africa,※,16679,291823,9725,9967,6955,281856
1,大洋州,Oceania,,140952,201463,47629,154804,93324,46659
