年度,Fiscal year,系統,Line,駅,Station,マーク Mark,乗車人員 Boarding passengers／総数 Total,乗車人員 Boarding passengers／定期 Commuter Pass,乗車人員 Boarding passengers／普通 Tickets,降車人員 Deboarding passengers／総数 Total,降車人員 Deboarding passengers／定期 Commuter Pass,降車人員 Deboarding passengers／普通 Tickets
平成23,2011,総数,Total,,,,22269,14766,7503,22269,14766,7503
平成24,2012,総数,Total,,,,22850,14813,8037,22850,14813,8037
平成25,2013,総数,Total,,,,24368,16034,8334,24368,16034,8334
平成26,2014,総数,Total,,,,25778,17085,8693,25778,17085,8693
平成27,2015,総数,Total,,,,27731,18520,9211,27731,18520,9211
平成27,2015,日暮里・舎人ライナー,Nippori-Toneri Liner,日暮里,Nippori,※,8330,6013,2317,8322,6013,2309
平成27,2015,日暮里・舎人ライナー,Nippori-Toneri Liner,西日暮里,Nishi-Nippori,※,4497,2834,1663,4826,2834,1992
平成27,2015,日暮里・舎人ライナー,Nippori-Toneri Liner,赤土小学校前,Akado-Shogakkomae,※,862,421,441,803,421,382
平成27,2015,日暮里・舎人ライナー,Nippori-Toneri Liner,熊野前,Kumanomae,※,1587,853,734,1512,853,659
平成27,2015,日暮里・舎人ライナー,Nippori-Toneri Liner,足立小台,Adachi-Odai,※,635,393,242,628,393,235
平成27,2015,日暮里・舎人ライナー,Nippori-Toneri Liner,扇大橋,Ogi-Ohashi,※,1486,956,530,1454,956,498
平成27,2015,日暮里・舎人ライナー,Nippori-Toneri Liner,高野,Koya,※,994,702,292,971,702,269
平成27,2015,日暮里・舎人ライナー,Nippori-Toneri Liner,江北,Kohoku,※,1659,1088,571,1641,1088,553
平成27,2015,日暮里・舎人ライナー,Nippori-Toneri Liner,西新井大師西,Nishiaraidaishi-Nishi,※,1887,1281,606,1868,1281,587
平成27,2015,日暮里・舎人ライナー,Nippori-Toneri Liner,谷在家,Yazaike,※,1600,1105,495,1560,1105,455
平成27,2015,日暮里・舎人ライナー,Nippori-Toneri Liner,舎人公園,Toneri-Koen,※,762,405,357,754,405,349
平成27,2015,日暮里・舎人ライナー,Nippori-Toneri Liner,舎人,Toneri,※,1288,901,387,1277,901,376
平成27,2015,日暮里・舎人ライナー,Nippori-Toneri Liner,見沼代親水公園,Minumadai-Shinsuikoen,※,2144,1568,576,2115,1568,547
,,,,,,,,,,,,
東京都統計年鑑（平成27年）TOKYO STATISTICAL YEARBOOK ( 2015 ) 4　運輸 4　TRANSPORT ,,,,,,,,,,,,
4-11  都営日暮里・舎人ライナーの駅別乗降車人員 (平成23～27年度） 4-11 NUMBER OF PASSENGERS ON TOEI NIPPORI-TONERI LINER TRAINS BY STATION ( Fiscal Years 2011-2015 ),,,,,,,,,,,,
同一会社内の乗り継ぎは除く。  ※印は区部にある駅 (線) を示す。,,,,,,,,,,,,
Figures exclude transits between lines of the same company. The lines and stations marked with ※ refer to the ones located in the ku area.,,,,,,,,,,,,
資料：都交通局総務部企画調整課  Source: Bureau of Transportation， TMG,,,,,,,,,,,,
（単位　千人） (In thousands),,,,,,,,,,,,
