年次,Year,月次 ,Month,件数 Total,うち法人(業種別) of which corporation (by industry)／計 Total,件数 Total／うち法人 (業種別) of which corporation (by industry)／製造 Manufacturing／繊維品 Textile products,件数 Total／うち法人 (業種別) of which corporation (by industry)／製造 Manufacturing／出版・印刷 Publishing and printing,件数 Total／うち法人 (業種別) of which corporation (by industry)／製造 Manufacturing／金属製品 Metal products,件数 Total／うち法人 (業種別) of which corporation (by industry)／製造 Manufacturing／機械 Machinary,件数 Total／うち法人 (業種別) of which corporation (by industry)／製造 Manufacturing／その他 Others,件数 Total／うち法人(業種別) of which corporation (by industry)／卸売 Wholesale,件数 Total／うち法人(業種別) of which corporation (by industry)／小売 Retail,件数 Total／うち法人(業種別) of which corporation (by industry)／建設 Construction,件数 Total／うち法人(業種別) of which corporation (by industry)／サービス Services,件数 Total／うち法人(業種別) of which corporation (by industry)／不動産 Real estate,件数 Total／うち法人(業種別) of which corporation (by industry)／運輸・通信 Transportation & communications,件数 Total／うち法人(業種別) of which corporation (by industry)／その他 Others,枚数 Number,金額 Value
平成23,2011,総数,Total,665,626,15,59,28,19,89,69,72,164,69,7,27,8,1821,6260431
平成24,2012,総数,Total,569,544,9,48,25,7,84,62,86,126,50,8,33,6,1493,3686400
平成25,2013,総数,Total,460,439,11,35,15,9,76,59,63,97,44,9,20,1,1115,2507145
平成26,2014,総数,Total,382,371,3,40,12,8,58,65,61,76,22,9,17,-,971,2054754
平成27,2015,総数,Total,318,303,3,16,21,9,54,62,31,40,14,7,15,31,740,5086292
平成27,2015,1,Jan.,29,27,-,4,1,3,3,-,6,4,2,-,4,-,56,49082
平成27,2015,2,Feb.,24,21,-,1,1,-,2,4,4,2,-,-,1,6,45,74963
平成27,2015,3,Mar.,27,26,-,1,1,1,4,3,3,2,3,1,2,5,52,261865
平成27,2015,4,Apr.,30,30,1,-,2,-,8,7,3,3,2,1,-,3,99,162195
平成27,2015,5,May,40,36,2,-,3,1,10,5,1,6,2,1,2,3,128,147704
平成27,2015,6,June,27,27,-,4,1,-,4,5,1,5,1,1,2,3,54,2923520
平成27,2015,7,July,26,25,-,1,1,1,4,7,2,4,1,2,2,-,50,93636
平成27,2015,8,Aug.,18,17,-,1,3,-,3,7,1,-,-,-,-,2,43,36785
平成27,2015,9,Sept.,18,18,-,1,2,-,2,7,2,1,1,-,-,2,37,117086
平成27,2015,10,Oct.,35,34,-,1,3,2,5,10,3,3,-,1,2,4,67,209365
平成27,2015,11,Nov.,20,19,-,-,1,1,5,3,3,4,1,-,-,1,40,896107
平成27,2015,12,Dec.,24,23,-,2,2,-,4,4,2,6,1,-,-,2,69,113984
,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成27年）TOKYO STATISTICAL YEARBOOK ( 2015 )　15  金融 15  FINANCE,,,,,,,,,,,,,,,,,,,
15-9  東京手形交換所扱い銀行取引停止処分数 (平成23～27年) 15-9  SUSPENSION OF TRANSACTIONS WITH THE TOKYO CLEARING HOUSE MEMBER BANKS ( 2011-2015 )  ,,,,,,,,,,,,,,,,,,,
資料：（一社）全国銀行協会 「決済統計年報」，「全国手形交換高・不渡手形実数・取引停止処分数調」 Source: Japanese Bankers Association,,,,,,,,,,,,,,,,,,,
（単位  金額  千円）(Value in thousands of yen),,,,,,,,,,,,,,,,,,,
