年次,Year,月次,Month,旅客数 Passengers／国内線 Domestic／乗客 Boarding,旅客数 Passengers／国内線 Domestic／降客 Deboarding,旅客数 Passengers／国際線 International／乗客 Boarding,旅客数 Passengers／国際線 International／降客 Deboarding,旅客数 Passengers／国際線 International／通過 Direct transit,貨物 Freight／国内線 Domestic／積荷 Loaded(t),貨物 Freight／国内線 Domestic／降荷 Unloaded(t),貨物 Freight／国際線 International／積荷 Loaded(t),貨物 Freight／国際線 International／降荷 Unloaded(t),郵便物 Mail／国内線 Domestic／積荷 Loaded(t),郵便物 Mail／国内線 Domestic／降荷 Unloaded(t),郵便物 Mail／国際線 International／積荷 Loaded(t),郵便物 Mail／国際線 International／降荷 Unloaded(t)
平成23,2011,,,847642,877120,10535609,10481180,2635887,3021,3248,860038,1038847,2270,582,10341,27001
平成24,2012,,,1592417,1643848,11960505,11952789,2852766,5200,7007,868618,1083589,2229,468,10743,28318
平成25,2013,,,2360226,2464980,12394023,12413746,2832464,19319,19978,861788,1078840,2450,977,12255,24236
平成26,2014,,,2914555,3029015,12098300,12148567,2676461,29729,25899,938797,1104602,3119,1066,12663,19122
平成27,2015,,,3325095,3395648,12710355,12791426,2528697,28004,21304,960847,1075121,2931,302,18195,15614
平成27,2015,1,Jan.,220783,243897,907536,951689,233815,2381,1790,73258,84941,213,40,1497,1396
平成27,2015,2,Feb.,227915,235534,984501,935201,196858,1975,1536,83583,84805,188,29,1148,1179
平成27,2015,3,Mar.,285205,292246,1096554,1215078,189014,2510,1861,97964,101116,228,38,1468,1359
平成27,2015,4,Apr.,247732,249499,1096006,1031988,183890,2440,1902,78633,91057,211,30,1543,1312
平成27,2015,5,May,282900,292755,1008330,1054952,232220,2033,1551,75852,85342,205,27,1566,1288
平成27,2015,6,June,274830,275009,983043,1002417,253347,2381,1680,78705,84125,182,31,1504,1232
平成27,2015,7,July,300648,298547,1128743,1097864,240138,2316,1820,80131,90779,251,29,1497,1247
平成27,2015,8,Aug.,346963,355931,1275356,1225603,211398,2145,1773,76579,89014,245,15,1405,1090
平成27,2015,9,Sept.,308500,316850,1098051,1151608,170395,2581,1986,77522,90485,266,16,1417,1113
平成27,2015,10,Oct.,290221,296389,1099731,1101289,202917,2409,1796,81456,91796,298,14,1530,1249
平成27,2015,11,Nov.,261520,270199,1002984,1006967,189552,2403,1781,80165,93166,285,15,1602,1353
平成27,2015,12,Dec.,277878,268792,1029520,1016770,225153,2430,1828,76999,88495,358,19,2017,1794
,,,,,,,,,,,,,,,,
東京都統計年鑑（平成27年）TOKYO STATISTICAL YEARBOOK ( 2015 ) 4　運輸 4　TRANSPORT ,,,,,,,,,,,,,,,,
4-23　航空輸送量 (2)　成田国際空港 （平成23～27年） 4-23 TRANSPORTATION BY ＡIR (2) NARITA INTERNATIONAL AIRPORT ( 2011-2015 ),,,,,,,,,,,,,,,,
資料：国土交通省航空局空港ネットワーク部空港ネットワーク企画課「空港管理状況調書」 Source: Ministry of Land， Infrastructure， Transport and Tourism,,,,,,,,,,,,,,,,
