年次,Year,区分階層,検察庁,PublicProsecutor'sOffice,受理Received／総数Total,受理Received／旧受Previouslyreceived,受理Received／新受Newlyreceived,処理Handled／総数Total,処理Handled／起訴Prosecuted,処理Handled／不起訴Dismissed,処理Handled／中止Suspended,処理Handled／移送Transferred,処理Handled／家裁に送致ReferredtoFamilyCourt,未済Pending
平成23,2011,0,総数,Total,174253,3022,171231,170969,39616,96757,275,24072,10249,3284
平成24,2012,0,総数,Total,172756,3284,169472,167628,37324,95501,322,25979,8502,5128
平成25,2013,0,総数,Total,158576,5127,153449,154577,33529,91272,340,21545,7891,3999
平成26,2014,0,総数,Total,149419,3999,145420,145171,32983,84975,262,20480,6471,4248
平成27,2015,0,総数,Total,147589,4248,143341,143447,33913,82685,241,20639,5969,4142
平成27,2015,1,東京地方検察庁,TokyoDistrictPublicProsecutor'sOffice,79957,3255,76702,76698,10958,50409,209,9153,5969,3259
平成27,2015,2,本庁,MainOffice,57848,2322,55526,55101,8986,35583,158,6643,3731,2747
平成27,2015,2,立川支部,TachikawaBranch,22109,933,21176,21597,1972,14826,51,2510,2238,512
平成27,2015,1,区検察庁,LocalPublicProsecutor'sOffice,67632,993,66639,66749,22955,32276,32,11486,-,883
平成27,2015,2,東京,Tokyo,53766,758,53008,52991,16655,26570,27,9739,-,775
平成27,2015,2,八丈島,Hachijojima,64,2,62,63,9,9,-,45,-,1
平成27,2015,2,伊豆大島,Izu-oshima,22,-,22,22,1,2,-,19,-,-
平成27,2015,2,新島,Niijima,8,-,8,8,-,-,-,8,-,-
平成27,2015,2,八王子,Hachioji,1227,20,1207,1181,591,539,-,51,-,46
平成27,2015,2,立川,Tachikawa,9428,99,9329,9410,4366,3522,3,1519,-,18
平成27,2015,2,武蔵野,Musashino,1715,56,1659,1687,673,958,1,55,-,28
平成27,2015,2,青梅,Ome,517,17,500,517,255,247,-,15,-,-
平成27,2015,2,町田,Machida,885,41,844,870,405,429,1,35,-,15
,,,,,,,,,,,,,,
東京都統計年鑑（平成27年）TOKYOSTATISTICALYEARBOOK(2015)20司法・警察・消防20JUSTICE，POLICE，ANDFIREFIGHTINGSERVICES,,,,,,,,,,,,,,
20-4検察事件の検察庁別受理，処理人員（平成23～27年）20-4CASES(PERSONS)RECEIVED／HANDLEDBYTHEPUBLICPROSECUTOR'SOFFICEBYOFFICE(2011-2015),,,,,,,,,,,,,,
資料：法務省「検察統計」（ホームページ）Source:MinistryofJustice,,,,,,,,,,,,,,
区分階層(0:総数1:区分2:区分内訳),,,,,,,,,,,,,,
