品目階層,品目,Item,平成25年 2013／数量 Quantity,平成25年 2013／金額 Value,平成26年 2014／数量 Quantity,平成26年 2014／金額 Value,平成27年 2015／数量 Quantity,平成27年 2015／金額 Value
0,総数,Total,514829,448946144,479424,462273130,463976,467929079
1,鮮魚,Fresh fish,163534,139688662,160043,148839648,158524,158035501
2,まぐろ類,Tuna,9869,20012341,10305,21638740,9814,23281214
2,かじき類,Swordfish,1282,1767647,1274,1860798,1383,2097032
2,かつお類,Skipjack,11267,6110026,8291,5383901,9307,5442325
2,ぶり類,Yellowtail,33873,18359073,30890,19378734,31802,19876377
2,あじ類,Horse mackerel,17457,9082665,16094,9488284,15100,9168377
2,さわら類,King mackerel,1791,1710957,2015,2055310,2323,2338036
2,いわし類,Sardine,7328,2421894,6904,2695468,8052,3234211
2,いか類,Squid,11940,6839412,10679,6584973,9692,6662035
2,かれい類,Flounder,3501,2463341,3707,2686579,3632,2752887
2,たい類,Sea bream,10999,12258291,12083,12449451,12706,13611712
2,めぬけ類,Rock fish,888,1641726,859,1639692,975,1806457
2,さめ類,Shark,399,154956,478,180004,430,181545
2,さけ・ます類,Salmon and trout,7162,7167583,7555,9203887,8681,10514329
2,たら類,Cod,5552,3368037,5698,3982265,5035,4166414
2,えび類,Shrimp and lobster,1986,5374540,1778,5684564,1675,6202762
2,かに類,Crab,1607,3192018,1531,3301230,1309,3311632
2,あなご類,Conger eel,280,444248,282,461164,314,507899
2,ふぐ類,Puffer,669,1987067,690,1981197,646,2183625
2,その他鮮魚類,Other fresh fish,35683,35332840,38932,38183406,35650,40696632
1,活魚類,Live fish ,14513,18829006,15125,19696176,15260,20896526
1,貝類,Shellfish,31369,33034610,30638,35465464,30596,37448602
2,生鮮貝類,Fresh shellfish,26190,26158085,26330,28000543,26119,29340763
2,冷凍貝類,Frozen shellfish,5179,6876525,4308,7464921,4476,8107838
1,冷凍魚,Frozen fish,129573,122135033,107212,121878707,97012,113034461
2,冷まぐろ類,Frozen tuna,36837,46363212,33157,46701219,32003,46103137
2,冷かじき類,Frozen swordfish,2348,1926649,2184,1987090,2032,1907180
2,冷いか類,Frozen squid,7408,4422995,7986,4872888,6224,4230028
2,冷かれい類,Frozen flounder,5427,3819242,4361,3399516,3711,3198455
2,冷たい類,Frozen sea bream,130,144932,69,112357,42,55072
2,冷さめ類,Frozen shark,3,1454,2,793,1,568
2,冷さけ・ます類,Frozen salmon and trout,34818,21095745,24464,20788093,21190,16124378
2,冷えび類,Frozen shrimp and lobster,11599,16441500,9537,15937886,8158,14104364
2,冷かに類,Frozen crab,2749,5061868,2255,5342635,2008,5646211
2,その他冷凍魚類,Other frozen fish,28253,22857434,23197,22736231,21643,21665068
1,淡水魚,Freshwater fish,1476,2436214,1359,2419654,1429,2573226
2,生鮮淡水魚類,Fresh freshwater fish,1360,2346768,1261,2332157,1326,2475976
2,冷凍淡水魚類,Frozen freshwater fish,116,89446,98,87497,103,97250
1,海そう類,Seaweed,7470,3476137,6858,3351496,7007,3471417
1,加工品,Processed foods,166895,129346482,158190,130621984,154148,132469346
2,塩蔵品類,Salted,22291,29173963,20026,28649888,18913,28111323
2,塩干品類,Salted and dried,25733,14094308,25110,14570323,23010,14224994
2,煮干製品類,Boiled and dried,12459,11497181,11647,12309864,11372,13466009
2,練製品類,"""Surimi""",25621,13755972,22995,13244737,21474,13082130
2,その他,Other,80791,60825058,78412,61847173,79379,63584891
,,,,,,,,
東京都統計年鑑（平成27年）TOKYO STATISTICAL YEARBOOK ( 2015 ) 10　卸売市場取引 10  WHOLESALE MARKET TRANSACTIONS,,,,,,,,
10-2  品目別水産物の入荷数量 （平成25～27年） 10-2 RECEIVED FISHERY PRODUCTS BY ITEM（ 2013-2015 ）,,,,,,,,
資料：都中央卸売市場事業部業務課 「東京都中央卸売市場年報」 Source: Tokyo Metropolitan Central Wholesale Market,,,,,,,,
品目階層(0:総数　1:鮮魚・活魚類・貝類・冷凍魚・淡水魚・海そう類・加工品　2:水産物種類別　3:品目),,,,,,,,
（単位　数量　トン， 金額　千円） (Quantity in tons， Value in thousands of yen)  ,,,,,,,,
