年度,Fiscal year,系統,Line,駅,Station,マーク Mark,総数 Total／発 Departure,総数 Total／着 Arrival,車扱貨物 Carload freight／発 Departure,車扱貨物 Carload freight／着 Arrival,コンテナ貨物 Container freight／発 Departure,コンテナ貨物 Container freight／着 Arrival
平成23,2011,総数,Total,,,,1899436,2765152,59525,447492,1839911,2317660
平成24,2012,総数,Total,,,,1968053,3072475,69839,580634,1898214,2491841
平成25,2013,総数,Total,,,,2162100,3202455,70596,572661,2091504,2629794
平成26,2014,総数,Total,,,,2116735,3121561,82638,677877,2034097,2443684
平成27,2015,総数,Total,,,,2272453,3155631,76876,656521,2195577,2499110
平成27,2015,うち区部,Ku area only,,,,2176740,2454506,11364,4696,2165376,2449810
平成27,2015,東海道本線,Tokaido Line,,,※,1434236,1553361,105,1496,1434131,1551865
平成27,2015,東海道本線,Tokaido Line,品川,Shinagawa,,-,-,-,-,-,-
平成27,2015,東海道本線,Tokaido Line,東京貨物ターミナル,Tokyo freight terminal,,1434236,1553361,105,1496,1434131,1551865
平成27,2015,中央線,Chuo Line,,,,87813,659445,57612,610145,30201,49300
平成27,2015,中央線,Chuo Line,中野,Nakano,※,-,-,-,-,-,-
平成27,2015,中央線,Chuo Line,八王子,Hachioji,,87813,659445,57612,610145,30201,49300
平成27,2015,青梅線,Ome Line,,,,7900,41680,7900,41680,-,-
平成27,2015,青梅線,Ome Line,拝島,Haijima,,7900,41680,7900,41680,-,-
平成27,2015,東北本線,Tohoku Line,,,※,-,-,-,-,-,-
平成27,2015,東北本線,Tohoku Line,田端操,Tabataso,,-,-,-,-,-,-
平成27,2015,東北本線,Tohoku Line,北王子,Kitaoji,,-,-,-,-,-,-
平成27,2015,常磐線,Joban Line,,,※,731245,901145,-,3200,731245,897945
平成27,2015,常磐線,Joban Line,金町,Kanamachi,,-,-,-,-,-,-
平成27,2015,常磐線,Joban Line,綾瀬,Ayase,,-,3200,-,3200,-,-
平成27,2015,常磐線,Joban Line,隅田川,Sumidagawa,,731245,897945,-,-,731245,897945
平成27,2015,総武線,Sobu Line,,,※,11259,-,11259,-,-,-
平成27,2015,総武線,Sobu Line,新小岩操,Shinkoiwaso,,10282,-,10282,-,-,-
平成27,2015,総武線,Sobu Line,越中島,Etchujima,,977,-,977,-,-,-
,,,,,,,,,,,,
東京都統計年鑑（平成27年）TOKYO STATISTICAL YEARBOOK ( 2015 ) 4　運輸 4　TRANSPORT ,,,,,,,,,,,,
4-16  J R 貨物の駅別貨物発着量 (平成23～27年度) 4-16  VOLUME OF FREIGHT TRANSPORTED BY JAPAN FREIGHT RAILWAY COMPANY BY STATION ( Fiscal Years 2011-2015 ),,,,,,,,,,,,
注) ※印は区部にある駅 （線） を示す。,,,,,,,,,,,,
Note: Lines and stations marked with  a ※ refer to those located in the ku area.,,,,,,,,,,,,
資料：日本貨物鉄道株式会社関東支社 Source: Japan Freight Railway Company,,,,,,,,,,,,
（単位　トン） (In metric tons),,,,,,,,,,,,
