産業（大分類） Industry (Division),男女及び産業 (大分類),Gender and industry (Division),項番 Item number,産業（中分類） ,Industry (Major groups),総数 Total／事業所数 Number of establishments,総数 Total／従業者数 Number of employees 1),1～4人 1-4 Persons／事業所数 Number of establishments,1～4人 1-4 Persons／従業者数 Number of employees 1),5～9人 5-9 Persons／事業所数 Number of establishments,5～9人 5-9 Persons／従業者数 Number of employees 1),10～19人 10-19 Persons／事業所数 Number of establishments,10～19人 10-19 Persons／従業者数 Number of employees 1),20～29人 20-29 Persons／事業所数 Number of establishments,20～29人 20-29 Persons／従業者数 Number of employees 1),30～49人 30-49 Persons／事業所数 Number of establishments,30～49人 30-49 Persons／従業者数 Number of employees 1),50～99人 50-99 Persons／事業所数 Number of establishments,50～99人 50-99 Persons／従業者数 Number of employees 1),100～199人 100-199 Persons／事業所数 Number of establishments,100～199人 100-199 Persons／従業者数 Number of employees 1),200～299人 200-299 Persons／事業所数 Number of establishments,200～299人 200-299 Persons／従業者数 Number of employees 1) ,300人以上 300 Persons and over／事業所数 Number of establishments,300人以上 300 Persons and over／従業者数 Number of employees 1) ,出向・派遣従業者のみの事業所数 Number of establishments where all workers are on loan or dispatched from other places
,総数,Total,,,,662360,9657306,357898,792573,136566,893377,81486,1102257,31470,748512,24395,917206,15050,1028936,6938,948209,2083,506217,3283,2720019,3191
,男,Male,,,,-,5723089,-,437841,-,480319,-,625006,-,422362,-,508286,-,618221,-,597556,-,324891,-,1708607,-
,女,Female,,,,-,3910501,-,354625,-,412604,-,476371,-,325477,-,408293,-,408832,-,348113,-,180186,-,996000,-
Ａ,農業，林業,Agriculture and forestry,,,,491,4026,226,585,153,1003,79,1005,10,238,10,353,7,419,1,195,1,228,-,-,4
Ａ,農業，林業,Agriculture and forestry,1,農業,Agriculture,449,3763,209,549,135,891,73,927,10,238,9,316,7,419,1,195,1,228,-,-,4
Ａ,農業，林業,Agriculture and forestry,2,林業,Forestry,42,263,17,36,18,112,6,78,-,-,1,37,-,-,-,-,-,-,-,-,-
Ｂ,漁業,Fisheries,,,,19,125,10,30,4,28,5,67,-,-,-,-,-,-,-,-,-,-,-,-,-
Ｂ,漁業,Fisheries,1,漁業 (水産養殖業を除く) ,Fisheries， except aquaculture,10,72,4,12,3,21,3,39,-,-,-,-,-,-,-,-,-,-,-,-,-
Ｂ,漁業,Fisheries,2,水産養殖業,Aquaculture,9,53,6,18,1,7,2,28,-,-,-,-,-,-,-,-,-,-,-,-,-
Ｃ,鉱業，採石業，砂利採取業,Mining and quarrying of stone and gravel,,,,101,2090,54,88,20,122,11,136,4,92,3,106,-,-,1,170,1,230,2,1146,5
Ｃ,鉱業，採石業，砂利採取業,Mining and quarrying of stone and gravel,1,鉱業，採石業，砂利採取業,Mining and quarrying of stone and gravel,101,2090,54,88,20,122,11,136,4,92,3,106,-,-,1,170,1,230,2,1146,5
Ｄ,建設業,Construction,,,,42340,465553,22794,54126,10323,67411,5291,70229,1507,35824,1133,42829,769,52620,277,38033,95,22811,112,81670,39
Ｄ,建設業,Construction,1,総合工事業,Construction work， general including public and private construction work,14514,195302,7719,18438,3460,22679,1798,24106,559,13257,422,15898,325,22091,95,13331,52,12639,65,52863,19
Ｄ,建設業,Construction,2,職別工事業 (設備工事業を除く),Construction work by specialist contractors， except equipment installation work,15152,108148,8882,20539,3576,23160,1729,22591,454,10795,287,10738,145,9937,55,7196,11,2514,2,678,11
Ｄ,建設業,Construction,3,設備工事業,Equipment installation work,12674,162103,6193,15149,3287,21572,1764,23532,494,11772,424,16193,299,20592,127,17506,32,7658,45,28129,9
Ｅ,製造業,Manufacturing,,,,49238,713594,28104,64662,10091,65584,5425,72980,2023,48198,1558,58853,1054,72204,460,62472,151,37083,262,231558,110
Ｅ,製造業,Manufacturing,1,食料品製造業,Food,2511,68402,905,2232,610,4070,385,5225,176,4214,159,5948,131,8900,66,8898,26,6418,44,22497,9
