年,Year,項目,Item,総数 Total／頭数 Number（頭 Number）,総数 Total／重量 Weight（kg）,総数 Total／金額 Value（千円 in thousands of yen）
平成25,2013,総数,Total,375081,84445625,110152208
平成26,2014,総数,Total,378172,87254000,122205524
平成27,2015,総数,Total,360796,81598655,137341172
平成27,2015,牛,Cattle,141080,63722249,127894401
平成27,2015,豚,Pig,219560,17833976,9277530
平成27,2015,馬,Horse,3,753,574
平成27,2015,こ牛,Calf,153,14253,8011
平成27,2015,山羊・緬羊,Goat and sheep,-,-,-
平成27,2015,その他,Others,…,27424,160655
,,,,,,
東京都統計年鑑（平成27年）TOKYO STATISTICAL YEARBOOK ( 2015 ) 10　卸売市場取引 10  WHOLESALE MARKET TRANSACTIONS,,,,,,
10-3  畜産物の畜種別取扱高 （平成25～27年） 10-3 TOTAL TRANSACTIONS IN LIVESTOCK PRODUCTS BY TYPE OF LIVESTOCK （ 2013-2015 ）,,,,,,
資料：都中央卸売市場事業部業務課 「東京都中央卸売市場年報」 Source: Tokyo Metropolitan Central Wholesale Market,,,,,,
（単位　重量　kg，金額　千円） （Weight in kg ， Value in thousands of yen),,,,,,
