年,Year,区分,Classification,数量 Number,金額 Value（千円 in thousands of yen）
平成25,2013,総数,Total,…,86177982
平成26,2014,総数,Total,…,85487278
平成27,2015,総数,Total,…,88368365
平成27,2015,切花（本）,Cut flowers (stems),895082879,59401427
平成27,2015,切葉（枚）,Cut leaves (pieces),71586414,2259201
平成27,2015,切枝（束）,Cut tree branches (bundles),27713472,4926949
平成27,2015,鉢物（鉢）,Potted flowers (pots),31955556,16312356
平成27,2015,苗物（箱）,Bedding plants (boxes),3169650,4881504
平成27,2015,その他花き（箱）,Others (boxes),748053,586927
,,,,,
東京都統計年鑑（平成27年）TOKYO STATISTICAL YEARBOOK ( 2015 ) 10　卸売市場取引 10  WHOLESALE MARKET TRANSACTIONS,,,,,
10-4  花きの部類別取扱高 （平成25～27年） 10-4 TOTAL TRANSACTIONS IN FLOWERS BY TYPE（ 2013-2015 ）,,,,,
資料：都中央卸売市場事業部業務課 「東京都中央卸売市場年報」 Source: Tokyo Metropolitan Central Wholesale Market,,,,,
（単位　金額　千円） （Value in thousands of yen),,,,,
