年次,Year,月次 ,Month,店舗数  Stores,営業日数 (日) Business Days (days),従業者数 (人) Number of Employees (persons),売場面積 Sales Floor Area (1000m2),販売額 Sales／総額 Total,販売額 Sales／紳士服・洋品 Men's Clothes,販売額 Sales／婦人・子供服・洋品 Women's and Children's Clothes,販売額 Sales／その他の衣料品 Other Clothing,販売額 Sales／身の回り品 Accessories,販売額 Sales／飲食料品 Food and Beverages,販売額 Sales／家具 Furniture,販売額 Sales／家庭用電気機械器具 Household Electric Appliances,販売額 Sales／家庭用品 Household Equipment,販売額 Sales／その他の商品 Others,販売額 Sales／食堂・喫茶 Restaurants and Cafe,商品券 Gift Certificate
平成23,2011,総数,Total,332,362.9,38589,1518,1197752,24921,65218,21375,18369,753074,4945,34345,39322,233790,2394,3020
平成24,2012,総数,Total,334,363.6,37915,1517,1185116,27639,63626,13973,22963,754924,7670,28621,34199,229373,2129,3050
平成25,2013,総数,Total,339,363.4,37779,1517,1168461,27754,60553,12107,22775,754688,6120,22554,34005,225941,1964,2974
平成26,2014,総数,Total,343,363.3,38359,1498,1198226,26608,57493,11251,23107,788503,5193,19251,33466,231731,1623,2957
平成27,2015,総数,Total,326,363.1,37471,1395,1190351,25430,55132,10841,22658,813702,4398,18287,29382,209391,1130,3029
平成27,2015,1,Jan.,342,30.4,37069,1492,97225,2241,4348,904,1842,64798,374,1756,2494,18380,88,247
平成27,2015,2,Feb.,340,27.7,35822,1485,89553,1514,3463,622,1439,61965,290,1299,2099,16782,80,200
平成27,2015,3,Mar.,338,30.8,36354,1467,101641,1952,5055,816,2010,67229,391,1588,2776,19731,93,318
平成27,2015,4,Apr.,339,29.8,36262,1455,98156,2040,4749,728,2015,65286,343,1340,2439,19124,92,229
平成27,2015,5,May,338,30.9,36736,1456,103449,2396,5324,919,2051,68456,426,1375,2625,19782,96,214
平成27,2015,6,June,338,30,36879,1453,99742,2321,4742,864,1946,67124,352,1330,2574,18398,90,227
平成27,2015,7,July,322,30.9,35839,1385,99940,2183,5114,1045,2041,69153,372,1671,2337,15921,103,271
平成27,2015,8,Aug.,321,31,35591,1383,96107,1774,4101,797,1942,67657,301,1543,2209,15681,102,217
平成27,2015,9,Sept.,322,29.9,35248,1380,91925,1537,3662,792,1897,65699,299,1310,2244,14388,94,206
平成27,2015,10,Oct.,322,30.9,35520,1381,97254,2311,4865,1040,1870,67455,376,1346,2330,15567,93,207
平成27,2015,11,Nov.,323,29.8,35736,1388,96338,2437,4690,1069,1716,66901,392,1537,2229,15276,91,256
平成27,2015,12,Dec.,326,31,37471,1395,119020,2723,5018,1244,1889,81979,483,2191,3025,20360,107,438
平成27,2015,区部(再掲),All ku ( Relisted ),216,363,23883,860,795662,16604,35503,7602,14527,531800,3073,13340,20276,152014,924,2155
,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成27年）TOKYO STATISTICAL YEARBOOK ( 2015 )　12  商業・サービス・貿易 12  COMMERCE，SERVICES，AND FOREIGN TRADE,,,,,,,,,,,,,,,,,,,
12-3  大型小売店販売額 (2) スーパー (平成23～27年) 12-3  LARGE-SCALE RETAIL STORE SALES (2) SUPERMARKETS ( 2011-2015 ),,,,,,,,,,,,,,,,,,,
「大型小売店」とは，従業者50人以上の百貨店及びスーパーをいう。 ,,,,,,,,,,,,,,,,,,,
売場面積の50％以上についてセルフサービス方式を採用している事業所であって，売場面積が1，500m2以上の事業所をいう。 ,,,,,,,,,,,,,,,,,,,
Large-scale retail stores refer to department stores and supermarkets with 50 or more employees.,,,,,,,,,,,,,,,,,,,
Supermarkets are establishments adopting a self-service system on 50 percent or more of their floor space and have a floor space of 1，500m2 or more.,,,,,,,,,,,,,,,,,,,
注 1) 年計の事業所数，  従業者及び売場面積の数値は， 12月末の数である。,,,,,,,,,,,,,,,,,,,
Note: 1) Annual figures for the number of establishments， employees， and sales floor space are year-end numbers.,,,,,,,,,,,,,,,,,,,
資料：経済産業省 「商業動態統計年報」 Source: Ministry of Economy， Trade and Industry,,,,,,,,,,,,,,,,,,,
（単位  金額　百万円）(Value in millions of yen),,,,,,,,,,,,,,,,,,,
