地域階層,地域コード,地域,District,一般世帯Private households／総数Total,一般世帯Private households／世帯人員別世帯数Households by number of household members／1人1person,一般世帯Private households／世帯人員別世帯数Households by number of household members／2人2persons,一般世帯Private households／世帯人員別世帯数Households by number of household members／3人3persons,一般世帯Private households／世帯人員別世帯数Households by number of household members／4人4persons,一般世帯Private households／世帯人員別世帯数Households by number of household members／5人以上5persons and over,一般世帯Private households／1世帯当たり人員Members per household,一般世帯Private households／総数Total,一般世帯Private households／親族のみの世帯Relative households／総数Total,一般世帯Private households／親族のみの世帯Relative households／1核家族世帯Nuclear family／計Total,一般世帯Private households／親族のみの世帯Relative households／1核家族世帯Nuclear family／夫婦のみの世帯Married couple only,一般世帯Private households／親族のみの世帯Relative households／1核家族世帯Nuclear family／夫婦と子供から成る世帯Married couple and child(ren),一般世帯Private households／親族のみの世帯Relative households／1核家族世帯Nuclear family／男親と子供から成る世帯Single-father family,一般世帯Private households／親族のみの世帯Relative households／1核家族世帯Nuclear family／女親と子供から成る世帯Single-mother family ,一般世帯Private households／親族のみの世帯Relative households／2その他の親族世帯Other relative households,一般世帯Private households／非親族を含む世帯Non-Relative households,一般世帯Private households／単独世帯One-person households
2,13210,小金井市,Koganei-shi,59692,28111,13898,9133,6764,1786,2,59692,31000,29263,10177,15236,592,3258,1737,455,28111
2,13211,小平市,Kodaira-shi,82768,31095,21706,14835,11570,3562,2.22,82768,50938,47896,15757,25182,968,5989,3042,666,31095
2,13212,日野市,Hino-shi,84823,34270,22038,13988,11036,3491,2.15,84823,49696,46582,16184,23964,1003,5431,3114,766,34270
2,13213,東村山市,Higashimurayama-shi,64521,22478,18339,11688,8880,3136,2.27,64521,41398,38630,12991,19313,962,5364,2768,504,22478
2,13214,国分寺市,Kokubunji-shi,59089,26469,14310,9365,7040,1905,2.05,59089,32001,30180,10525,15635,576,3444,1821,570,26469
2,13215,国立市,Kunitachi-shi,34019,13906,8839,5896,4186,1192,2.13,34019,19835,18643,6338,9472,405,2428,1192,266,13906
2,13218,福生市,Fussa-shi,27220,11247,7518,4285,3064,1106,2.1,27220,13667,12565,4602,5751,313,1899,1102,196,11247
2,13219,狛江市,Komae-shi,39434,17943,9887,6208,4279,1117,2.01,39434,21098,19828,7142,9822,434,2430,1270,388,17943
2,13220,東大和市,Higashiyamato-shi,35524,10556,10776,7059,5199,1934,2.37,35524,24567,22935,7794,11611,541,2989,1632,345,10556
2,13221,清瀬市,Kiyose-shi,32290,11627,9085,5692,4364,1522,2.24,32290,20338,18996,6403,9397,476,2720,1342,290,11627
2,13222,東久留米市,Higashikurume-shi,49859,16281,14695,9370,6996,2517,2.31,49859,32931,30693,10437,15432,761,4063,2238,562,16281
2,13223,武蔵村山市,Musashimurayama-shi,28277,7913,8286,5492,4463,2123,2.48,28277,19962,18155,5743,9327,535,2550,1807,342,7913
2,13224,多摩市,Tama-shi,65406,23104,19728,11851,8316,2407,2.2,65406,41829,39772,14624,19249,884,5015,2057,371,23104
2,13225,稲城市,Inagi-shi,36510,11964,9653,6971,6027,1895,2.36,36510,24203,22848,7269,12794,484,2301,1355,336,11964
2,13227,羽村市,Hamura-shi,23435,7683,6495,4480,3446,1331,2.35,23435,15453,14263,4555,7416,391,1901,1190,281,7683
2,13228,あきる野市,Akiruno-shi,30758,7551,9358,6328,5010,2511,2.56,30758,22870,20470,6902,10534,564,2470,2400,290,7551
2,13229,西東京市,Nishitokyo-shi,89605,34280,24053,15814,11939,3519,2.19,89605,54190,50660,16987,26005,1077,6591,3530,1095,34280
1,13300,郡部,All gun,21816,5726,6764,4316,3211,1799,2.51,21816,15831,13892,4911,6665,397,1919,1939,176,5726
1,13350,島部,All islands,13325,6346,4129,1420,954,476,1.89,13325,6867,6293,3135,2158,181,819,574,110,6346
,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成27年）TOKYO STATISTICAL YEARBOOK ( 2015 )　2  人口・世帯 2  POPULATION AND HOUSEHOLDS,,,,,,,,,,,,,,,,,,,,
2-10 一般世帯の地域， 世帯人員， 世帯の家族類型別世帯数（平成27年）2-10 PRIVATE HOUSEHOLDS BY DISTRICT， NUMBER OF HOUSEHOLD MEMBERS， AND FAMILY TYPE OF HOUSEHOLD(2015),,,,,,,,,,,,,,,,,,,,
注 1) 平成27年10月1日現在の 「国勢調査」 による。一般世帯とは，住居と生計を共にしている人の集まり，1戸を構えて住んでいる単身者，間借り・下宿などの単身者及び会社などの独身寮の単身者をいう。,,,,,,,,,,,,,,,,,,,,
2) 一般世帯／総数には世帯の家族類型「不詳」を含む。,,,,,,,,,,,,,,,,,,,,
Note: 1) Data are based on the Population Census as of October 1， 2015. A private household is defined as a group of persons sharing living quarters and living expenses， a single person occupying a dwelling unit， a single person residing in a boarding house or rented room， or a single person resｉding in a company dormitory for unmarried employees. ,,,,,,,,,,,,,,,,,,,,
2) Private households／Total include those whose family type is unknown.,,,,,,,,,,,,,,,,,,,,
資料：総務省統計局 「国勢調査報告」 Source: Ministry of Internal Affairs and Communications,,,,,,,,,,,,,,,,,,,,
地域階層（0:東京都総数　1:区部・市部・郡部・島部　2:区市町村）,,,,,,,,,,,,,,,,,,,,
