地域階層,地域コード,地域,District,項番 Item number,警察署,Police station,総数 Total,凶悪犯 Felonious offenses／殺人 Homicide,凶悪犯 Felonious offenses／侵入強盗 Breaking & entering／Robbery／殺人 Homicide,凶悪犯 Felonious offenses／侵入強盗 Breaking & entering／Robbery／傷人 Bodily injury,凶悪犯 Felonious offenses／侵入強盗 Breaking & entering／Robbery／強姦 Rape),凶悪犯 Felonious offenses／侵入強盗 Breaking & entering／Robbery／普通 Others,凶悪犯 Felonious offenses／非侵入強盗 Robbery without breaking and entering／殺人 Homicide,凶悪犯 Felonious offenses／非侵入強盗 Robbery without breaking and entering／傷人 Bodily injury,凶悪犯 Felonious offenses／非侵入強盗 Robbery without breaking and entering／強姦 Rape),凶悪犯 Felonious offenses／非侵入強盗 Robbery without breaking and entering／普通 Others,凶悪犯 Felonious offenses／放火 Arson,凶悪犯 Felonious offenses／強姦 Rape),粗暴犯 Violent offenses／凶器準備集合 Unlawful assembly with dangerous weapons,粗暴犯 Violent offenses／暴行 Violence,粗暴犯 Violent offenses／傷害 Bodily injury,粗暴犯 Violent offenses／傷害致死 Bodily injury resulting in death,粗暴犯 Violent offenses／脅迫 Intimidation,粗暴犯 Violent offenses／恐喝 Extortion,窃盗犯 Larcenous offenses／侵入窃盗 Breaking & entering／theft,窃盗犯 Larcenous offenses／非侵入窃盗 Theft without breaking and entering,知能犯 Intellectual offenses／詐欺 Fraud,知能犯 Intellectual offenses／横領 Embezzlement,知能犯 Intellectual offenses／偽造 Counterfeiting,知能犯 Intellectual offenses／汚職 Corruption,知能犯 Intellectual offenses／背任 Breach of trust,風俗犯 Moral offenses／賭博 Gambling,風俗犯 Moral offenses／わいせつ Indecency,その他 Others／占有離脱物横領 Embezzlement of lost properties,その他 Others／公務執行妨害 Obstructing the execution of official duties,その他 Others／住居侵入 Trespassing,その他 Others／盗品等 Stolen properties， etc.,その他 Others／器物損壊等 Damage or destruction of structure， etc.,その他 Others／その他 Others
2,13118,荒川区,Arakawa-ku,62,荒川署,Arakawa P. Sta.,1247,-,-,-,-,1,-,1,-,1,-,1,-,61,27,-,4,1,51,843,45,1,7,-,-,-,15,68,5,4,2,106,3
2,13119,板橋区,Itabashi-ku,63,板橋署,Itabashi P. Sta.,2446,2,-,-,-,-,-,-,-,5,1,2,-,56,34,-,4,5,151,1672,97,3,4,-,-,1,23,98,5,27,2,238,16
2,13119,板橋区,Itabashi-ku,64,志村署,Shimura P. Sta.,1496,-,-,-,-,1,-,1,-,3,-,2,-,38,19,-,7,1,70,1048,76,1,5,-,-,-,13,68,4,11,-,121,7
2,13119,板橋区,Itabashi-ku,65,高島平署,Takashimadaira P. Sta.,1825,1,-,-,-,1,-,-,-,1,2,1,-,51,24,-,4,7,61,1258,93,1,5,-,-,2,11,94,7,11,2,182,6
2,13120,練馬区,Nerima-ku,66,練馬署,Nerima P. Sta.,2133,1,-,-,-,-,-,-,-,-,-,-,-,28,28,-,11,3,118,1480,83,-,2,-,-,-,28,74,7,19,-,246,5
2,13120,練馬区,Nerima-ku,67,光が丘署,Hikarigaoka P. Sta.,1686,1,-,-,-,-,-,2,-,-,1,-,-,39,16,-,5,2,45,1274,51,2,5,-,-,1,14,57,5,6,-,158,2
2,13120,練馬区,Nerima-ku,68,石神井署,Shakujii P. Sta. ,2534,3,1,-,-,-,-,3,-,4,3,3,-,49,35,-,4,3,136,1897,66,4,3,-,-,-,14,68,6,11,4,207,10
2,13121,足立区,Adachi-ku,69,千住署,Senju P. Sta.,783,2,-,-,-,-,-,1,-,-,-,5,-,48,20,-,2,4,40,487,49,1,1,-,-,-,10,27,3,3,-,76,4
2,13121,足立区,Adachi-ku,70,西新井署,Nishiarai P. Sta.,2219,5,-,-,-,-,-,3,-,2,2,-,-,52,42,-,8,3,99,1581,90,3,1,-,-,-,15,43,6,11,1,248,4
2,13121,足立区,Adachi-ku,71,竹の塚署,Takenozuka P. Sta.,1681,-,-,-,-,1,-,2,-,2,1,3,-,40,41,-,4,5,72,1188,44,2,1,-,-,-,12,51,10,9,1,187,5
2,13121,足立区,Adachi-ku,72,綾瀬署,Ayase P. Sta.,2283,1,-,-,-,1,-,9,-,2,1,3,-,57,50,-,9,4,87,1632,82,-,8,-,-,-,15,61,9,20,2,225,5
2,13122,葛飾区,Katsushika-ku,73,亀有署,Kameari P. Sta.,2435,3,-,-,-,1,-,2,-,5,2,-,-,45,44,-,12,5,90,1763,103,4,3,-,-,-,6,80,9,13,1,241,3
2,13122,葛飾区,Katsushika-ku,74,葛飾署,Katsushika P. Sta.,2112,1,-,1,-,-,-,-,-,1,-,-,-,56,35,1,4,4,79,1557,58,2,8,-,-,-,17,78,5,7,1,194,3
2,13123,江戸川区,Edogawa-ku,75,小松川署,Komatsugawa P. Sta.,2954,2,-,-,-,2,-,1,1,1,2,4,-,74,39,-,8,6,88,2169,118,5,9,-,-,-,10,89,13,8,4,297,4
2,13123,江戸川区,Edogawa-ku,76,葛西署,Kasai P. Sta.　,2902,1,-,-,-,2,-,1,-,1,-,5,-,79,48,-,16,5,59,2128,117,1,4,-,-,-,20,78,10,22,4,297,4
