地域階層,地域コード,地域,District,総数 Total／所有者数 Number of owners,総数 Total／面積 Area,個人 Individual／所有者数 Number of owners,個人 Individual／面積 Area,法人 Companies／所有者数 Number of owners,法人 Companies／面積 Area
0,13100,区部,All ku,1260357,301201,1170424,211703,89933,89498
1,13101,千代田区,Chiyoda-ku,8793,3538,5338,641,3455,2897
1,13102,中央区,Chuo-ku,12939,3299,8470,767,4469,2531
1,13103,港区,Minato-ku,18814,8035,13682,2004,5132,6031
1,13104,新宿区,Shinjuku-ku,38357,8515,33168,4959,5189,3556
1,13105,文京区,Bunkyo-ku,28545,5096,25830,3363,2715,1733
1,13106,台東区,Taito-ku,27228,4361,22895,2513,4333,1848
1,13107,墨田区,Sumida-ku,32533,6310,29387,4011,3146,2298
1,13108,江東区,Koto-ku,33674,13743,29726,4001,3948,9742
1,13109,品川区,Shinagawa-ku,45048,11476,41534,5963,3514,5514
1,13110,目黒区,Meguro-ku,38757,8274,36018,6254,2739,2020
1,13111,大田区,Ota-ku,94240,23408,87952,16011,6288,7398
1,13112,世田谷区,Setagaya-ku,134638,33354,128319,26761,6319,6593
1,13113,渋谷区,Shibuya-ku,28599,7141,24272,4001,4327,3140
1,13114,中野区,Nakano-ku,50471,9481,47524,7667,2947,1814
1,13115,杉並区,Suginami-ku,95722,20905,91573,17864,4149,3041
1,13116,豊島区,Toshima-ku,38553,7454,35324,5394,3229,2060
1,13117,北区,Kita-ku,41974,9695,39575,6085,2399,3610
1,13118,荒川区,Arakawa-ku,25722,5289,23916,3564,1806,1725
1,13119,板橋区,Itabashi-ku,66861,16385,63099,11932,3762,4453
1,13120,練馬区,Nerima-ku,122931,29285,119034,25903,3897,3382
1,13121,足立区,Adachi-ku,104200,27214,99542,21157,4658,6057
1,13122,葛飾区,Katsushika-ku,73324,16324,70154,13133,3170,3191
1,13123,江戸川区,Edogawa-ku,98434,22621,94092,17756,4342,4865
0,13200,市部,All shi,896971,429066,869141,327718,27830,101349
1,13201,八王子市,Hachioji-shi,122286,90573,118463,63559,3823,27014
1,13202,立川市,Tachikawa-shi,30776,13897,29595,10487,1181,3410
1,13203,武蔵野市,Musashino-shi,22574,6777,21628,5450,946,1327
1,13204,三鷹市,Mitaka-shi,32071,10377,31100,8776,971,1601
1,13205,青梅市,Ome-shi,36214,60567,35078,41801,1136,18766
1,13206,府中市,Fuchu-shi,44433,15106,43126,11167,1307,3939
1,13207,昭島市,Akishima-shi,20959,9111,20169,5880,790,3231
1,13208,調布市,Chofu-shi,37136,12064,35911,9915,1225,2149
1,13209,町田市,Machida-shi,100292,42034,97603,34656,2689,7378
1,13210,小金井市,Koganei-shi,23356,6672,22691,5819,665,853
1,13211,小平市,Kodaira-shi,47811,13185,46283,10454,1528,2731
1,13212,日野市,Hino-shi,46793,14516,45283,11248,1510,3267
1,13213,東村山市,Higashimurayama-shi,32684,9939,31949,8659,735,1280
1,13214,国分寺市,Kokubunji-shi,26807,8077,25961,6820,846,1258
1,13215,国立市,Kunitachi-shi,13440,4795,12886,3969,554,826
1,13218,福生市,Fussa-shi,10768,3891,10408,3284,360,607
1,13219,狛江市,Komae-shi,14706,3967,14370,3572,336,395
1,13220,東大和市,Higashiyamato-shi,18038,6053,17611,5293,427,761
1,13221,清瀬市,Kiyose-shi,13774,5923,13507,5158,267,765
1,13222,東久留米市,Higashikurume-shi,32414,8485,31742,7232,672,1252
1,13223,武蔵村山市,Musashimurayama-shi,19006,9015,18456,7312,550,1703
1,13224,多摩市,Tama-shi,39336,10178,38570,6726,766,3453
1,13225,稲城市,Inagi-shi,13824,9365,13395,5998,429,3367
1,13227,羽村市,Hamura-shi,12735,6085,12380,4194,355,1892
1,13228,あきる野市,Akiruno-shi,27370,37919,26718,31190,652,6728
1,13229,西東京市,Nishitokyo-shi,57368,10496,54258,9099,3110,1397
,,,,,,,,,
東京都統計年鑑 （平成27年）TOKYO STATISTICAL YEARBOOK ( 2015 )　1  土地・気象 1   LAND AND CLIMATE,,,,,,,,,
1-4  区市別，所有者別土地所有状況（全地目）（平成27年）1-4  LAND OWNERSHIP BY MUNICIPALITY AND OWNER ( ALL LAND CLASSIFICATION ）( 2015 ),,,,,,,,,
注1) 課税資料（平成27年1月1日)より作成。,,,,,,,,,
2) 面積は評価総地積(免税点未満を含む)。,,,,,,,,,
3) 区部は区分所有に係る土地を除く。,,,,,,,,,
4) 端数処理のため，各項の和と表示した総数は必ずしも一致しない。,,,,,,,,,
Note: 1) Material prepared from taxation data (Jan. 1， 2015).,,,,,,,,,
2) Total appraised area (including land under the tax exemption limit).,,,,,,,,,
3) Ku area excludes land coming under condominium unit ownership.,,,,,,,,,
4) Figures may not add up to the totals shown due to rounding of figures.,,,,,,,,,
資料：都都市整備局都市づくり政策部広域調整課 「東京の土地(土地関係資料集)」 Source: Bureau of Urban Development， TMG,,,,,,,,,
地域階層（0:区部・市部　1:区市町村）,,,,,,,,,
（単位　面積　千m2）(Area in 1，000 m2),,,,,,,,,
