地域階層,地域コード,項番 Item number,地域,District,登録自動車 Motor vehicles registered／総数 Total,登録自動車 Motor vehicles registered／貨物自動車 Trucks／計 Total,登録自動車 Motor vehicles registered／貨物自動車 Trucks／普通車 Ordinary,登録自動車 Motor vehicles registered／貨物自動車 Trucks／小型車 Small,登録自動車 Motor vehicles registered／貨物自動車 Trucks／被けん引車 Trailers,登録自動車 Motor vehicles registered／乗用車 Passenger cars／計 Total,登録自動車 Motor vehicles registered／乗用車 Passenger cars／普通車 Ordinary,登録自動車 Motor vehicles registered／乗用車 Passenger cars／小型車 Small,登録自動車 Motor vehicles registered／乗合自動車 Buses,登録自動車 Motor vehicles registered／特種用途車 Special use motor vehicles,登録自動車 Motor vehicles registered／大型特殊車 Heavy special type motor vehicles,1)小型二輪車（検査） Light two-wheeled motor vehicles ( Inspected ),2)課税登録台数軽自動車(四輪車) Light four-wheeled motor vehicles registered,有料駐車場 Pay parking lots／駐車場数 Quantity,有料駐車場 Pay parking lots／収容台数 Capacity,,
0,13000,,総数,Tokyo-to,3149886,388005,124924,254511,8570,2655581,1490872,1164709,15796,76737,13767,169715,705733,1550,271010,,
1,13100,,区部,All ku,1964057,281300,89496,183962,7842,1613629,975882,637747,10064,49966,9098,113538,305191,1218,198761,,
5,13101,1,千代田区,Chiyoda-ku,30826,4525,442,4079,4,25518,17175,8343,63,656,64,916,2899,166,18367,,
5,13102,2,中央区,Chuo-ku,40959,6834,936,5849,49,32826,22525,10301,79,943,277,1672,4066,119,14865,,
5,13103,3,港区,Minato-ku,75331,8537,1906,6225,406,64655,49658,14997,291,1253,595,3586,5200,173,24030,,
5,13104,4,新宿区,Shinjuku-ku,52464,6749,1166,5561,22,44134,27918,16216,181,1364,36,3664,8049,90,15956,,
5,13105,5,文京区,Bunkyo-ku,32351,3984,583,3400,1,27913,18280,9633,28,418,8,2085,4221,29,3085,,
5,13106,6,台東区,Taito-ku,34223,6918,878,6004,36,26587,15317,11270,43,628,47,1866,6170,43,4126,,
5,13107,7,墨田区,Sumida-ku,48782,9710,2357,7322,31,37438,20950,16488,157,1113,364,3048,8643,25,4653,,
5,13108,8,江東区,Koto-ku,110834,26814,11584,13381,1849,76394,45711,30683,714,5197,1715,5255,13107,111,29574,,
