年次,Year,原因,Cause,区分,Classification,総数 Total／幼児 Toddler,総数 Total／小学生 Elementary school,総数 Total／中学生 Junior high school,死亡 Killed／幼児 Toddler,死亡 Killed／小学生 Elementary school,死亡 Killed／中学生 Junior high school,負傷 Injured／幼児 Toddler,負傷 Injured／小学生 Elementary school,負傷 Injured／中学生 Junior high school,
平成23,2011,総数,Total,,,850,"2,272",821,-,1,-,850,"2,271",821,
平成24,2012,総数,Total,,,997,"2,041",711,1,6,-,996,"2,035",711,
平成25,2013,総数,Total,,,799,"1,791",631,1,2,-,798,"1,789",631,
平成26,2014,総数,Total,,,727,"1,434",526,1,4,1,726,"1,430",525,
平成27,2015,総数,Total,,,655,"1,238",428,3,3,1,652,"1,235",427,
平成27,2015,歩行者の場合,Pedestrians,,,192,452,77,2,1,-,190,451,77,
平成27,2015,歩行者の場合,Pedestrians,信号無視,Ignoring traffic light signals,4,15,3,-,-,-,4,15,3,
平成27,2015,歩行者の場合,Pedestrians,通行区分違反,Lane violation ,-,2,-,-,-,-,-,2,-,
平成27,2015,歩行者の場合,Pedestrians,横断歩道外横断,Crossing outside pedestrian crossings ,1,25,7,-,-,-,1,25,7,
平成27,2015,歩行者の場合,Pedestrians,斜め横断,Diagonal crossing,1,8,2,-,-,-,1,8,2,
平成27,2015,歩行者の場合,Pedestrians,駐停車車両の直前 ・後横断,Crossing immediately in front of or behind a parked vehicle,1,13,1,-,-,-,1,13,1,
平成27,2015,歩行者の場合,Pedestrians,走行車両の直前・後横断,Crossing immediately in front of or behind a vehicle in motion,-,3,-,-,-,-,-,3,-,
平成27,2015,歩行者の場合,Pedestrians,横断禁止場所横断,Crossing at prohibited places,-,5,1,-,-,-,-,5,1,
平成27,2015,歩行者の場合,Pedestrians,幼児のひとり歩き,Toddlers walking alone,13,-,-,1,-,-,12,-,-,
平成27,2015,歩行者の場合,Pedestrians,踏切り不注意,Lack of caution at railroad crossings,-,-,-,-,-,-,-,-,-,
平成27,2015,歩行者の場合,Pedestrians,路上遊戯,Playing on road,3,6,1,-,-,-,3,6,1,
平成27,2015,歩行者の場合,Pedestrians,飛び出し,Rushing out into the street,36,91,4,-,1,-,36,90,4,
平成27,2015,歩行者の場合,Pedestrians,その他の違反,Other violations,1,9,-,-,-,-,1,9,-,
平成27,2015,歩行者の場合,Pedestrians,調査不能,Cause undetermined,-,2,1,-,-,-,-,2,1,
平成27,2015,歩行者の場合,Pedestrians,違反なし,No violation,117,266,57,1,-,-,116,266,57,
平成27,2015,歩行者の場合,Pedestrians,第3当事者以下,Third party involvement,15,7,-,-,-,-,15,7,-,
平成27,2015,自転車乗車の場合,Riding on bicycles,,,236,568,265,-,2,-,236,566,265,
平成27,2015,自転車乗車の場合,Riding on bicycles,信号無視,Ignoring traffic light signals,-,9,5,-,-,-,-,9,5,
平成27,2015,自転車乗車の場合,Riding on bicycles,通行区分違反,Lane violation ,-,1,2,-,-,-,-,1,2,
平成27,2015,自転車乗車の場合,Riding on bicycles,横断・転回禁止,Violation of rules prohibiting crossing or making U-turns,-,-,-,-,-,-,-,-,-,
平成27,2015,自転車乗車の場合,Riding on bicycles,右・左折違反,Right or left turns violation,-,-,-,-,-,-,-,-,-,
平成27,2015,自転車乗車の場合,Riding on bicycles,交差点安全進行義務違反,Violation of duty to use caution at intersections,2,63,28,-,-,-,2,63,28,
平成27,2015,自転車乗車の場合,Riding on bicycles,徐行違反,Slow down violation,-,1,-,-,-,-,-,1,-,
平成27,2015,自転車乗車の場合,Riding on bicycles,一時不停止,Stop sign violation,1,62,22,-,-,-,1,62,22,
平成27,2015,自転車乗車の場合,Riding on bicycles,安全運転義務違反　,Violation of safe driving obligations,-,108,63,-,-,-,-,108,63,
平成27,2015,自転車乗車の場合,Riding on bicycles,その他の違反,Other violations,-,3,2,-,-,-,-,3,2,
平成27,2015,自転車乗車の場合,Riding on bicycles,調査不能,Cause undetermined,-,2,3,-,-,-,-,2,3,
平成27,2015,自転車乗車の場合,Riding on bicycles,違反なし,No violation,14,283,133,-,2,-,14,281,133,
平成27,2015,自転車乗車の場合,Riding on bicycles,第3当事者以下　,Third party involvement,219,36,7,-,-,-,219,36,7,
平成27,2015,その他,Others,,,227,215,84,1,-,1,226,215,83,
,,,,,,,,,,,,,,,
東京都統計年鑑（平成27年）TOKYO STATISTICAL YEARBOOK ( 2015 ) 20  司法・警察・消防 20  JUSTICE， POLICE， AND FIRE FIGHTING SERVICES,,,,,,,,,,,,,,,　
20-15  子供の交通事故死傷者数 （平成23～27年） 20-15 CHILDREN KILLED OR INJURED IN TRAFFIC ACCIDENTS ( 2011-2015 ),,,,,,,,,,,,,,,
資料：警視庁総務部文書課 Source: Metropolitan Police Department， TMG,,,,,,,,,,,,,,,
