年度末,End of fiscal year,地域階層,地域コード,地域,District,浄水場数 Purification plants,給水所数 Distribution stations,営業所数 Service stations,配水管 Water pipes／総延長 Total length (m),配水管 Water pipes／配水本管 Water mains (m),配水管 Water pipes／配水小管 Service pipes (m),消火栓数 Fire hydrants,制水弁数 Hydraulic control valves,空気弁数 Air relief valves,排水弁数 Drainage valves
平成23,2011,0,13000,総数,Tokyo-to,11,58,33,26347935,2365186,23982749,131510,370716,15699,10723
平成24,2012,0,13000,総数,Tokyo-to,11,58,33,26490398,2384790,24105608,131949,375880,15760,10753
平成25,2013,0,13000,総数,Tokyo-to,11,58,33,26613015,2401441,24211574,132315,380580,15823,10852
平成26,2014,0,13000,総数,Tokyo-to,11,58,33,26774392,2428895,24345497,132616,385832,15910,10886
平成27,2015,0,13000,総数,Tokyo-to,11,58,33,26915097,2453386,24461711,132833,391026,15962,11073
平成27,2015,1,13100,区部,All ku,5,23,21,16519767,1687326,14832441,90476,252274,9385,7550
平成27,2015,5,13101,千代田区,Chiyoda-ku,-,-,1,289094,46786,242308,1551,4111,317,216
平成27,2015,5,13102,中央区,Chuo-ku,-,1, - ,315359,39175,276184,1834,5834,335,389
平成27,2015,5,13103,港区,Minato-ku,-,1,1,432696,66272,366424,2590,6508,384,335
平成27,2015,5,13104,新宿区,Shinjuku-ku,-,1,1,552572,66092,486480,3677,7916,330,273
平成27,2015,5,13105,文京区,Bunkyo-ku,-,1,1,318181,40954,277227,1931,4857,260,207
平成27,2015,5,13106,台東区,Taito-ku,-,-,-,412209,33987,378222,2404,7310,234,211
平成27,2015,5,13107,墨田区,Sumida-ku,-,-,1,503695,56514,447181,2861,8282,376,315
平成27,2015,5,13108,江東区,Koto-ku,-,4,1,749949,107208,642741,3779,10393,689,576
平成27,2015,5,13109,品川区,Shinagawa-ku,-,-,1,584776,58301,526475,2864,8561,332,349
平成27,2015,5,13110,目黒区,Meguro-ku,-,1,1,450732,38159,412573,2430,7443,186,211
平成27,2015,5,13111,大田区,Ota-ku,-,2,1,1175857,116175,1059681,6234,19010,678,684
平成27,2015,5,13112,世田谷区,Setagaya-ku,2,3,1,1632395,167698,1464697,9070,23674,821,699
平成27,2015,5,13113,渋谷区,Shibuya-ku,-,-,1,397992,39241,358751,2288,6571,208,144
平成27,2015,5,13114,中野区,Nakano-ku,-,-,1,551437,49010,502427,2784,8405,303,181
平成27,2015,5,13115,杉並区,Suginami-ku,1,1,1,1082196,111787,970409,5478,14896,580,366
平成27,2015,5,13116,豊島区,Toshima-ku,-,-,1,474863,45591,429272,2503,7726,244,239
平成27,2015,5,13117,北区,Kita-ku,-,-,1,558182,51525,506657,2995,8414,302,235
平成27,2015,5,13118,荒川区,Arakawa-ku,-,1,1,327873,28813,299060,2083,5874,195,97
平成27,2015,5,13119,板橋区,Itabashi-ku,1,2,1,850858,96376,754482,4977,12683,457,319
平成27,2015,5,13120,練馬区,Nerima-ku,-,1,1,1288273,105103,1183170,7302,18569,474,340
平成27,2015,5,13121,足立区,Adachi-ku,-,1,1,1411626,124267,1287359,7356,21093,594,424
平成27,2015,5,13122,葛飾区,Katsushika-ku,1,1,1,928189,101556,826633,4796,14077,544,328
平成27,2015,5,13123,江戸川区,Edogawa-ku,-,2,1,1230765,96738,1134028,6689,20067,542,412
平成27,2015,1,,市郡部,shi and gun,3,35,12,10384508,755356,9629152,42356,138735,6548,3503
平成27,2015,5,13201,八王子市,Hachioji-shi,-,14,1,1625336,100648,1524688,6129,21803,1026,407
平成27,2015,5,13202,立川市,Tachikawa-shi,-, - ,1,407544,34580,372964,2047,5475,187,115
平成27,2015,5,13204,三鷹市,Mitaka-shi,-, - , - ,353936,18032,335904,1651,5298,79,55
平成27,2015,5,13205,青梅市,Ome-shi,-,3,1,589466,30457,559010,3557,7192,560,183
平成27,2015,5,13206,府中市,Fuchu-shi,-, - ,1,595194,52718,542476,3032,8515,207,200
平成27,2015,5,13208,調布市,Chofu-shi,-,1,1,419093,17174,401919,1862,6930,123,51
平成27,2015,5,13209,町田市,Machida-shi,-,1,1,1285506,141386,1144120,3901,15642,883,493
平成27,2015,5,13210,小金井市,Koganei-shi,-, - , - ,236180,16427,219753,1148,3161,98,106
平成27,2015,5,13211,小平市,Kodaira-shi,-, - ,1,412755,28374,384380,1498,4871,171,78
平成27,2015,5,13212,日野市,Hino-shi,-,2,1,517094,31962,485132,1912,7593,333,168
平成27,2015,5,13213,東村山市,Higashimurayama-shi,1,2, - ,303738,20599,283140,986,4030,134,110
平成27,2015,5,13214,国分寺市,Kokubunji-shi,-, - , - ,259781,15691,244090,1250,3180,76,87
平成27,2015,5,13215,国立市,Kunitachi-shi,-, - , - ,176509,9005,167504,920,2296,74,83
平成27,2015,5,13218,福生市,Fussa-shi,-, - , - ,159862,8576,151286,614,2228,89,42
