品目 1,Item 1,品目 2,Item 2,品目 3,Item 3,品目 4,Item 4,単位,Units,総数 Total／数量 Quantity,総数 Total／金額 Value,海上 By sea／数量 Quantity,海上 By sea／金額 Value,航空 By air／数量 Quantity,航空 By air／金額 Value
総額,Total,,,,,,,,,,24575096,,11366245,,13208851
食料品及び動物,Foodstuffs and animals,,,,,,,,,,1648328,,1510034,,138294
食料品及び動物,Foodstuffs and animals,肉類及び同調製品,Meat and meat preparations,,,,,1，000t,,824,441041,824,441041,-,-
食料品及び動物,Foodstuffs and animals,魚介類及び同調製品,Fish and fish preparations,,,,,1，000t,,641,572646,603,514920,38,57726
食料品及び動物,Foodstuffs and animals,果実及び野菜,Fruits and vegetables,,,,,1，000t,,1428,321754,1380,283618,47,38137
飲料及びたばこ,Beverages and tobacco,,,,,,,,,,424930,,408150,,16781
飲料及びたばこ,Beverages and tobacco,アルコール飲料,Alcoholic beverages,,,,,1，000kl,,292,135162,292,135162,-,-
飲料及びたばこ,Beverages and tobacco,たばこ,Tobacco,,,,,,,,251399,,251399,,-
食料に適さない原材料,No beverage raw material,,,,,,,,,,299449,,230293,,69156
鉱物性燃料,Mineral fuels,,,,,,,,,,14409,,12120,,2289
動植物性油脂,Animal and vegetable oils and fats,,,,,,,1，000t,,117,35582,115,32577,2,3005
化学製品,Chemical products,,,,,,,,,,3415030,,1097557,,2317473
化学製品,Chemical products,元素及び化合物,Elements and compounds,,,,,,,,622984,,217142,,405842
化学製品,Chemical products,有機化合物,Organic chemicals,,,,,,,,490603,,132060,,358543
化学製品,Chemical products,医薬品,Medical products,,,,,1，000t,,38,1902677,30,262831,8,1639846
化学製品,Chemical products,プラスチック,Plastic materials,,,,,1，000t,,863,301176,853,249796,10,51380
原料別製品,Manufactured goods by raw materials,,,,,,,,,,1839534,,1106053,,733481
原料別製品,Manufactured goods by raw materials,紙類及び同製品,Paper and paper products,,,,,1，000t,,842,139733,842,139733,-,-
原料別製品,Manufactured goods by raw materials,織物用糸及び繊維製品,Textile yarn and textile goods,,,,,,,,228765,,200517,,28248
原料別製品,Manufactured goods by raw materials,非金属鉱物製品,Non-metallic mineral products,,,,,,,,282216,,119240,,162976
原料別製品,Manufactured goods by raw materials,非鉄金属,Non-ferrous metals,,,,,1，000t,,78,547322,73,132705,5,414617
原料別製品,Manufactured goods by raw materials,金属製品,Metal goods,,,,,,,,381434,,293320,,88113
機械類及び輸送用機器,Machinery and transport equipment,,,,,,,,,,11166221,,3965805,,7200416
機械類及び輸送用機器,Machinery and transport equipment,一般機械,Machinery,,,,,,,,3670631,,1569839,,2100792
機械類及び輸送用機器,Machinery and transport equipment,一般機械,Machinery,事務用機器,Office machines,,,,,,1931561,,862999,,1068561
