年次,Year,地域階層,地域コード,地域,District,メーター個数 Number of gas meterｓ,販売量　Gas sold （1000MJ）／総数 Total,販売量　Gas sold （1000MJ）／家庭用 Residential,販売量　Gas sold （1000MJ）／商業用 Commercial,販売量　Gas sold （1000MJ）／ 工業用 Industrial,販売量　Gas sold （1000MJ）／その他 Others
平成25,2013,0,,総数,Total,6743788,249329736,87332394,53672718,85011030,23313595
平成26,2014,0,,総数,Total,6812802,241040463,89281092,51935738,77003645,22819992
平成27,2015,0,,総数,Total,6894560,240739641.1,87914550.21,51088106.63,78749694.74,22987289.51
平成27,2015,1,13100,区部,All ku,5319451,196382767,64042185,45429759,70827748,16083074
平成27,2015,2,13101,千代田区,Chiyoda-ku,53854,6537169,421457,5064841,5959,1044912
平成27,2015,2,13102,中央区,Chuo-ku,104105,4523800,968231,3121712,33575,400283
平成27,2015,2,13103,港区,Minato-ku,180136,12974221,1987911,9838216,58251,1089843
平成27,2015,2,13104,新宿区,Shinjuku-ku,251310,8310374,2440625,4476989,89470,1303289
平成27,2015,2,13105,文京区,Bunkyo-ku,138381,3450980,1639663,850335,32484,928498
平成27,2015,2,13106,台東区,Taito-ku,134058,3007757,1289411,1338110,39673,340563
平成27,2015,2,13107,墨田区,Sumida-ku,159679,3781408,1746315,1086233,610628,338232
平成27,2015,2,13108,江東区,Koto-ku,262470,6935943,3302138,2193460,687583,752762
平成27,2015,2,13109,品川区,Shinagawa-ku,238004,67685652,2692454,1853940,62453256,686002
平成27,2015,2,13110,目黒区,Meguro-ku,171253,3407072,2182939,737605,23687,462841
平成27,2015,2,13111,大田区,Ota-ku,409913,9363134,5031730,2408046,831356,1092003
平成27,2015,2,13112,世田谷区,Setagaya-ku,513925,9572874,7003268,1346128,54356,1169121
平成27,2015,2,13113,渋谷区,Shibuya-ku,175181,5433121,1791822,2992250,16504,632546
平成27,2015,2,13114,中野区,Nakano-ku,217916,3342140,2411812,567167,11794,351367
平成27,2015,2,13115,杉並区,Suginami-ku,343222,5662372,4314704,834696,22246,490725
平成27,2015,2,13116,豊島区,Toshima-ku,197472,4236582,2033735,1834481,19722,348644
平成27,2015,2,13117,北区,Kita-ku,205724,3849024,2320377,589774,464772,474102
平成27,2015,2,13118,荒川区,Arakawa-ku,116681,2061445,1369459,405918,116914,169154
平成27,2015,2,13119,板橋区,Itabashi-ku,309548,7456383,3672473,824163,1806308,1153438
平成27,2015,2,13120,練馬区,Nerima-ku,362779,6622054,5038572,747926,145914,689642
平成27,2015,2,13121,足立区,Adachi-ku,292431,5981820,3797702,906360,686995,590763
平成27,2015,2,13122,葛飾区,Katsushika-ku,204440,4948227,2729892,620680,654044,943611
平成27,2015,2,13123,江戸川区,Edogawa-ku,276969,7239214,3855494,790730,1962257,630734
平成27,2015,1,,市郡部,shi and gun,1575109,44356874,23872365,5658347,7921947,6904215
平成27,2015,2,13201,八王子市,Hachioji-shi,187579,5394289,3045739,765575,701858,881118
平成27,2015,2,13202,立川市,Tachikawa-shi,73870,2011531,1014364,574545,102023,320599
平成27,2015,2,13203,武蔵野市,Musashino-shi,84882,1855342,1127283,485534,29119,213405
平成27,2015,2,13204,三鷹市,Mitaka-shi,91525,1873135,1341992,167137,38695,325310
平成27,2015,2,13205,青梅市,Ome-shi,21614,838822,300248,58464,348763,131347
平成27,2015,2,13206,府中市,Fuchu-shi,110608,3351467,1629106,532055,592158,598148
平成27,2015,2,13207,昭島市,Akishima-shi,31150,1312211,436726,196077,501123,178285
平成27,2015,2,13208,調布市,Chofu-shi,116215,2209684,1580472,309547,73354,246311
平成27,2015,2,13209,町田市,Machida-shi,134816,3455976,2245009,557612,190451,462904
平成27,2015,2,13210,小金井市,Koganei-shi,62835,1179654,923692,107453,1161,147348
平成27,2015,2,13211,小平市,Kodaira-shi,78447,2599951,1239340,176442,772479,411690
平成27,2015,2,13212,日野市,Hino-shi,67902,2288998,1068633,95059,948121,177184
平成27,2015,2,13213,東村山市,Higashimurayama-shi,53999,1697488,879777,104664,213580,499467
平成27,2015,2,13214,国分寺市,Kokubunji-shi,59823,1165344,893188,151439,29825,90891
平成27,2015,2,13215,国立市,Kunitachi-shi,34973,768057,485508,105444,62140,114965
平成27,2015,2,13218,福生市,Fussa-shi,12844,1112065,154325,42673,19605,895462
平成27,2015,2,13219,狛江市,Komae-shi,43584,751539,603493,61051,6496,80499
平成27,2015,2,13220,東大和市,Higashiyamato-shi,29360,1612150,500558,75383,947331,88879
平成27,2015,2,13221,清瀬市,Kiyose-shi,28711,723796,437248,40045,31761,214743
平成27,2015,2,13222,東久留米市,Higashikurume-shi,45984,1605292,743525,129636,649113,83018
平成27,2015,2,13223,武蔵村山市,Musashimurayama-shi,8998,441335,120700,20727,153908,146000
平成27,2015,2,13224,多摩市,Tama-shi,63153,1750861,986929,518892,27568,217472
平成27,2015,2,13225,稲城市,Inagi-shi,29523,951925,512506,103539,242766,93115
平成27,2015,2,13227,羽村市,Hamura-shi,5316,1096968,74660,11381,979726,31202
平成27,2015,2,13228,あきる野市,Akiruno-shi,1938,142803,32401,20585,29889,59927
平成27,2015,2,13229,西東京市,Nishitokyo-shi,94130,1961098,1477361,212405,89896,181435
平成27,2015,2,13303,瑞穂町,Mizuho-machi,1091,124499,15418,22041,87039,1
平成27,2015,2,13305,日の出町,Hinode-machi,239,80594,2164,12942,51997,13490
,,,,,,,,,,,
東京都統計年鑑（平成27年）TOKYO STATISTICAL YEARBOOK ( 2015 )　6  電気・上下水道 6  ELECTRICITY， WATERWORKS， AND SEWERAGE,,,,,,,,,,,
6-3  都市ガスの地域別販売量 （平成19～21年） 6-3  CITY GAS SOLD BY DISTRICT ( End of Fiscal Years 2013-2015 ),,,,,,,,,,,
注） メーター個数は年末現在。,,,,,,,,,,,
Note： “Number of gas-meters” is as of end of year. ,,,,,,,,,,,
資料：東京瓦斯株式会社， 青梅ガス株式会社， 昭島ガス株式会社， 武陽ガス株式会社， 大東ガス株式会社　Source : Tokyo Gas Co.，Ltd.， Ome Gas Co.，Ltd.， Akishima Gas Co.，Ltd.， Buyo Gas Co.，Ltd.， Daito Gａｓ Co.，Ltd.,,,,,,,,,,,
地域階層（0:総数　1:区部・市郡部　２:区市町村）,,,,,,,,,,,
