品目 1,Item 1,品目 2,Item 2,品目 3,Item 3,品目 4,Item 4,単位, Units,総数 Total／数量 Quantity,総数 Total／金額 Value,海上 By sea／数量 Quantity,海上 By sea／金額 Value,航空 By air／数量 Quantity,航空 By air／金額 Value
総額,Total,,,,,,,,,,15560713,,6245640,,9315073
食料品及び動物,Foodstuffs and animals,,,,,,,,,,109274,,86277,,22997
食料品及び動物,Foodstuffs and animals,魚介類及び同調製品,Fish and fish preparations,,,,,1，000t,,136,31271,135,28253,1,3018
飲料及びたばこ,Beverages and tobacco,,,,,,,,,,12514,,11852,,661
食料に適さない原材料,No beverage raw material,,,,,,,,,,119091,,108980,,10111
食料に適さない原材料,No beverage raw material,パルプ及び古紙,Pulp and usedpaper,,,,,1，000t,,1894,41031,1894,41031,-,-
食料に適さない原材料,No beverage raw material,金属鉱及びくず,Metalliferous ores and metal scraps,,,,,1，000t,,549,24461,549,24461,-,-
鉱物性燃料,Mineral fuels,,,,,,,,,,4159,,3697,,462
動植物性油脂,Animal and vegetable oils and fats,,,,,,,1，000t,,6,1321,6,1092,0,229
化学製品,Chemical products,,,,,,,,,,1491835,,673645,,818191
化学製品,Chemical products,有機化合物,Organic chemicals,,,,,,,,127466,,53341,,74124
化学製品,Chemical products,プラスチック,Plastic materials,,,,,1，000t,,758,465601,739,310030,19,155571
原料別製品,Manufactured goods by raw materials,,,,,,,,,,1078897,,490856,,588041
原料別製品,Manufactured goods by raw materials,ゴム製品,Rubber goods,,,,,1，000t,,61,85900,58,66001,2,19899
原料別製品,Manufactured goods by raw materials,非金属鉱物製品,Non-metallic mineral products,,,,,,,,195214,,73486,,121728
原料別製品,Manufactured goods by raw materials,非金属鉱物製品,Non-metallic mineral products,ガラス及び同製品,Glass and glasswares,,,,,,74446,,28177,,46269
原料別製品,Manufactured goods by raw materials,鉄鋼,Iron and steel products,,,,,1，000t,,198,44121,198,44121,-,-
原料別製品,Manufactured goods by raw materials,非鉄金属,Non-ferrous metals,,,,,1，000t,,88,364208,76,112389,12,251819
原料別製品,Manufactured goods by raw materials,金属製品,Metal goods,,,,,,,,287691,,133147,,154545
機械類及び輸送用機器,Machinery and transport equipment,,,,,,,,,,7510327,,3636389,,3873938
機械類及び輸送用機器,Machinery and transport equipment,一般機械,Machinery,,,,,,,,3246932,,1789738,,1457194
機械類及び輸送用機器,Machinery and transport equipment,一般機械,Machinery,原動機,Power generating machinery,,,1，000t,,125,484963,113,240889,12,244073
機械類及び輸送用機器,Machinery and transport equipment,一般機械,Machinery,事務用機器,Office machines,,,,,,726014,,480319,,245695
機械類及び輸送用機器,Machinery and transport equipment,一般機械,Machinery,事務用機器,Office machines,（電算機類 (含周辺機器)),(Computers (including peripheral devices)),100万台,1mil.units,4,214195,2,110033,2,104162
機械類及び輸送用機器,Machinery and transport equipment,電気機器,Electric machinery,,,,,,,,3736343,,1405952,,2330391
機械類及び輸送用機器,Machinery and transport equipment,電気機器,Electric machinery,重電機器,Heavy electrical power machinery,,,,,,204800,,106186,,98614
機械類及び輸送用機器,Machinery and transport equipment,電気機器,Electric machinery,電気回路等の機器,Electrical apparatuses,,,,,,609444,,261754,,347690
機械類及び輸送用機器,Machinery and transport equipment,電気機器,Electric machinery,映像機器,Visual apparatuses,,,10，000台,10，000 units,364,219810,77,33628,287,186182
機械類及び輸送用機器,Machinery and transport equipment,電気機器,Electric machinery,音響・映像機器の部分品,Parts of audio／visual apparatuses,,,1，000t,,4,137381,2,44966,2,92416
機械類及び輸送用機器,Machinery and transport equipment,電気機器,Electric machinery,通信機,Communication instruments,,,,,,241990,,98795,,143196
機械類及び輸送用機器,Machinery and transport equipment,電気機器,Electric machinery,半導体等電子部品,Semiconductors and other electronic parts,,,,,,1002937,,277521,,725417
機械類及び輸送用機器,Machinery and transport equipment,電気機器,Electric machinery,半導体等電子部品,Semiconductors and other electronic parts,(IC）,(Integrated circuits),1，000万個,10 mil. Units,2889,633061,765,183025,2124,450036
機械類及び輸送用機器,Machinery and transport equipment,電気機器,Electric machinery,電気計測機器,Electrical measuring instruments,,,,,,437622,,187226,,250396
機械類及び輸送用機器,Machinery and transport equipment,電気機器,Electric machinery,コンデンサー,Condensers,,,1億個,100 mil. units,1018,126301,105,38410,913,87891
機械類及び輸送用機器,Machinery and transport equipment,輸送用機器,Transport equipment,,,,,,,,527052,,440698,,86354
機械類及び輸送用機器,Machinery and transport equipment,輸送用機器,Transport equipment,自動車,Motor vehicles ,,,1，000台,1，000units,27,59128,27,59128,-,-
機械類及び輸送用機器,Machinery and transport equipment,輸送用機器,Transport equipment,自動車の部分品,Parts of motor vehicles,,,1，000t,,239,369688,220,315904,20,53784
機械類及び輸送用機器,Machinery and transport equipment,輸送用機器,Transport equipment,航空機類,Aircrafts,,,,,,76584,,51932,,24652
雑製品,Miscellaneous manufactured goods,,,,,,,,,,1876749,,646707,,1230042
雑製品,Miscellaneous manufactured goods,精密機器類,Precision instruments,,,,,,,,988163,,318248,,669914
雑製品,Miscellaneous manufactured goods,精密機器類,Precision instruments,科学光学機器,Scientific and optical instruments,,,,,,884282,,288737,,595545
雑製品,Miscellaneous manufactured goods,精密機器類,Precision instruments,時計及び部分品,Watches， clocks and parts,,,,,,103643,,29512,,74132
雑製品,Miscellaneous manufactured goods,記録媒体（含記録済）,Blank／recorded media,,,,,100万個,1mil.units,214,122318,150,36525,64,85794
特殊取扱品,Special commodities,,,,,,,,,,3356546,,586146,,2770400
特殊取扱品,Special commodities,再輸出品,Re-export goods,,,,,,,,2775393,,585075,,2190318
,,,,,,,,,,,,,,,
東京都統計年鑑（平成27年）TOKYO STATISTICAL YEARBOOK ( 2015 )　12  商業・サービス・貿易 12  COMMERCE，SERVICES，AND FOREIGN TRADE,,,,,,,,,,,,,,,
12-7  主要品目別輸出入数量及び金額 (1) 輸出 (平成27年) 12-7  QUANTITY AND VALUE OF IMPORTS AND EXPORTS BY SELECTED COMMODITY (1) EXPORTS ( 2015 ),,,,,,,,,,,,,,,
この表は， 輸出入申告書， 積みもどし申告書及び船舶， 航空機の入出港届等を資料として作成されたものである。輸出は本船渡金額 (F.O.B.)，輸入は到着金額 (C.I.F.) である。 なお，「海上」 は東京税関管内の「東京港」であり，「航空」は「東京国際空港(羽田)」 と「成田国際空港」分を合計したものである。,,,,,,,,,,,,,,,
"This table has been prepared in reference to import／export declarations， reshipment declarations， notifications of the seaports／airports of entry／departure， and others. Values of exports and imports are based on F.O.B. and C.I.F. prices， respectively.""By sea"" refers to the values of imports／exports passing through the Port of Tokyo， Tokyo Customs， and ""By air"" refers to the value of trade (import／export) through the Tokyo International Airport (Haneda Airport) and Narita International Airport.  ",,,,,,,,,,,,,,,
注) 主要品目のみを掲げたので，各品目の合計と総数は一致しない。 ,,,,,,,,,,,,,,,
Note: The sums of each commodity does not add up to the total of all items because data only refer to selected commodities.,,,,,,,,,,,,,,,
資料：東京税関 「貿易年表」 Source: Tokyo Customs,,,,,,,,,,,,,,,
（単位  金額　百万円）(Value in millions of yen),,,,,,,,,,,,,,,
