年月,西暦（年）,月,総合,持家の帰属家賃を除く総合,食料,住居,持家の帰属家賃を除く住居,光熱・水道,家具・家事用品,被服及び履物,保健医療,交通・通信,教育,教養娯楽,諸雑費,
前年(度)比(％)／平成13年度平均,2001,,-1,-1.3,-1.4,0.3,-0.5,0.6,-3.6,-2.3,0.2,-1.1,1,-2.9,0,
前年(度)比(％)／平成14年度平均,2002,,-0.6,-0.7,0.1,-0.3,-0.6,-1.9,-3.6,-2.2,-1.1,-0.2,1.1,-1.9,0.2,
前年(度)比(％)／平成15年度平均,2003,,-0.2,-0.2,-0.3,0,-0.5,0.1,-2.9,-1.6,4.4,-0.2,0.4,-1.5,1.2,
前年(度)比(％)／平成16年度平均,2004,,-0.1,0,0.9,-0.3,-0.5,0.1,-3.2,0.2,-1.1,0,0.8,-1.2,0.2,
月別指数／平成17年1月,2005,1,97.6,97.2,99.6,99.7,97.7,99.2,85.7,90.7,102.5,97.7,103.6,90.4,101.6,
月別指数／平成17年2月,2005,2,97.4,96.9,99.5,99.6,97.6,99.2,85.5,88.9,102.6,97.4,103.6,90.3,101.6,
月別指数／平成17年3月,2005,3,97.7,97.3,99.5,99.6,97.6,99.2,85.3,91.8,102.5,97.8,103.6,91,101.5,
月別指数／平成17年4月,2005,4,97.9,97.5,98.9,99.6,97.6,99.3,85.5,95.2,102.6,98.3,104.2,91,101.7,
月別指数／平成17年5月,2005,5,98.2,97.8,99.2,99.6,97.6,99.4,85.5,96.5,102.6,98.7,104.3,91.6,101.6,
月別指数／平成17年6月,2005,6,97.7,97.2,97.9,99.7,97.6,99.4,85.1,96.2,102.6,98.4,104.3,91.3,101.7,
月別指数／平成17年7月,2005,7,97.6,97.1,97.8,99.7,97.5,99.4,84.8,92.5,102.4,98.8,104.3,92.2,101.6,
月別指数／平成17年8月,2005,8,97.7,97.2,97.4,99.7,97.5,99.6,84.5,90.8,102.5,99.4,104.3,93.9,101.6,
月別指数／平成17年9月,2005,9,98,97.5,97.8,99.9,97.5,99.9,84.7,96.2,102.4,99.5,104.3,92.1,101.6,
月別指数／平成17年10月,2005,10,98.1,97.6,97.9,99.9,97.5,100.8,84.9,97.2,102.4,99.5,104.3,91.3,102.2,
月別指数／平成17年11月,2005,11,97.8,97.3,97.4,99.9,97.5,101.1,84.8,97.7,102.4,99.2,104.3,90.5,102.2,
月別指数／平成17年12月,2005,12,98,97.4,97.5,100,97.5,101.3,84.5,97.5,102.3,99.2,104.3,91.1,102.5,
月別指数／平成18年1月,2006,1,98.1,97.7,99.6,100,97.5,102.9,84.3,91.6,102.3,99,104.3,89.9,102.6,
前月比(％)／平成17年1月,2005,1,-0.5,-0.6,0.5,0,0,-0.5,-0.5,-6.4,-0.1,-0.7,0,-1.4,0,
前月比(％)／平成17年2月,2005,2,-0.2,-0.3,-0.1,-0.1,-0.1,0,-0.2,-2,0.1,-0.3,0,-0.1,0,
前月比(％)／平成17年3月,2005,3,0.3,0.4,0,0,0,0,-0.2,3.3,-0.1,0.4,0,0.8,-0.1,
前月比(％)／平成17年4月,2005,4,0.2,0.2,-0.6,0,0,0.1,0.2,3.7,0.1,0.5,0.6,0,0.2,
前月比(％)／平成17年5月,2005,5,0.3,0.3,0.3,0,0,0.1,0,1.4,0,0.4,0.1,0.7,-0.1,
前月比(％)／平成17年6月,2005,6,-0.5,-0.6,-1.3,0.1,0,0,-0.5,-0.3,0,-0.3,0,-0.3,0.1,
前月比(％)／平成17年7月,2005,7,-0.1,-0.1,-0.1,0,-0.1,0,-0.4,-3.8,-0.2,0.4,0,1,-0.1,
前月比(％)／平成17年8月,2005,8,0.1,0.1,-0.4,0,0,0.2,-0.4,-1.8,0.1,0.6,0,1.8,0,
前月比(％)／平成17年9月,2005,9,0.3,0.3,0.4,0.2,0,0.3,0.2,5.9,-0.1,0.1,0,-1.9,0,
前月比(％)／平成17年10月,2005,10,0.1,0.1,0.1,0,0,0.9,0.2,1,0,0,0,-0.9,0.6,
前月比(％)／平成17年11月,2005,11,-0.3,-0.3,-0.5,0,0,0.3,-0.1,0.5,0,-0.3,0,-0.9,0,
前月比(％)／平成17年12月,2005,12,0.2,0.1,0.1,0.1,0,0.2,-0.4,-0.2,-0.1,0,0,0.7,0.3,
前月比(％)／平成18年1月,2006,1,0.1,0.3,2.2,0,0,1.6,-0.2,-6.1,0,-0.2,0,-1.3,0.1,
前年同月比(％)／平成17年1月,2005,1,-0.1,0,0.5,-0.1,-0.4,0.4,-2.9,1.1,-1,-0.2,0.8,-1.1,0,
前年同月比(％)／平成17年2月,2005,2,-0.3,-0.3,-0.1,-0.3,-0.5,0.4,-2.7,0.9,-1,-0.2,0.8,-1.1,-0.1,
前年同月比(％)／平成17年3月,2005,3,-0.2,-0.1,0.1,-0.3,-0.4,0.4,-2.8,0.9,-1,0,0.8,-1,-0.1,
前年同月比(％)／平成17年4月,2005,4,0,0.1,0.1,-0.3,-0.4,0.7,-2.4,0.7,-0.1,0.6,0.7,-1.1,0,
前年同月比(％)／平成17年5月,2005,5,0.2,0.2,0.2,-0.2,-0.4,0.8,-2.2,0.8,-0.2,0.8,0.7,-0.4,0.2,
前年同月比(％)／平成17年6月,2005,6,-0.5,-0.6,-1.5,-0.1,-0.3,0.6,-2.3,0.8,-0.2,-0.1,0.7,-0.8,0.3,
前年同月比(％)／平成17年7月,2005,7,-0.3,-0.3,-0.7,-0.1,-0.4,0.5,-2.3,0.9,-0.3,0,0.7,-0.8,0.3,
前年同月比(％)／平成17年8月,2005,8,-0.3,-0.4,-1.1,0,-0.4,0.6,-2.4,1,-0.2,0.2,0.7,-0.9,0.3,
前年同月比(％)／平成17年9月,2005,9,-0.3,-0.5,-1.2,0.3,-0.3,0.5,-2.2,0.3,-0.3,0.2,0.7,-0.9,0.2,
前年同月比(％)／平成17年10月,2005,10,-0.7,-0.9,-2.8,0.2,-0.2,1.6,-2.1,0.2,-0.3,0.2,0.7,-1.2,0.7,
前年同月比(％)／平成17年11月,2005,11,-0.8,-1,-3.4,0.2,-0.2,1.5,-2,0.2,-0.3,0.8,0.7,-1,0.8,
前年同月比(％)／平成17年12月,2005,12,-0.1,-0.4,-1.6,0.3,-0.2,1.6,-1.9,0.6,-0.3,0.8,0.7,-0.7,0.9,
前年同月比(％)／平成18年1月,2006,1,0.5,0.5,0,0.3,-0.2,3.7,-1.6,1,-0.2,1.3,0.7,-0.6,1,
,,,,,,,,,,,,,,,,
東京の物価／平成１８年２月,,,,,,,,,,,,,,,,
１０．全国消費者物価１０大費目指数,,,,,,,,,,,,,,,,
(平成１２年＝１００),,,,,,,,,,,,,,,,
