年月,西暦（年）,月,総合,持家の帰属家賃を除く総合,食料,住居,持家の帰属家賃を除く住居,光熱・水道,家具・家事用品,被服及び履物,保健医療,交通・通信,教育,教養娯楽,諸雑費
前年同月比(％)／平成18年5月,2006,5,0,-0.1,-0.1,0.4,0.2,1.7,-2.5,0.3,-1.4,-0.7,0.7,-0.6,0.7
前年同月比(％)／平成18年6月,2006,6,0.3,0.4,1.2,0.1,0.1,1.7,-2.5,0.1,-1.1,-0.4,0.7,-0.1,0.5
前年同月比(％)／平成18年7月,2006,7,0.2,0.1,0.2,0.3,0.2,2.6,-1.5,-0.4,-1,-0.4,0.7,-0.4,1.7
前年同月比(％)／平成18年8月,2006,8,0.8,0.9,2.5,0,0.1,2.6,-1.3,1.1,-1.1,-0.1,0.7,-0.7,1.4
前年同月比(％)／平成18年9月,2006,9,0.5,0.7,1.6,-0.2,0.1,2.6,-0.7,0.9,-1.1,-0.5,0.7,-0.7,1.5
前年同月比(％)／平成18年10月,2006,10,0.4,0.5,1.3,-0.1,-0.1,1.8,-1.1,2,0.1,-0.7,0.7,-0.7,1.3
前年同月比(％)／平成18年11月,2006,11,0.2,0.3,0.3,0,-0.2,1.7,-0.5,0.8,-0.2,0.2,0.7,-0.6,1.2
前年同月比(％)／平成18年12月,2006,12,0.3,0.4,0.8,0.1,0.1,1.6,-1,1.1,0.2,-0.2,0.7,-0.7,0.9
,,,,,,,,,,,,,,,
東京の物価／平成１８年１２月,,,,,,,,,,,,,,,
１．東京都区部消費者物価１０大費目指数（月別）,,,,,,,,,,,,,,,
２００５年＝１００／(平成１７年＝１００),,,,,,,,,,,,,,,
