年,西暦（年）,総合,持家の帰属家賃を除く総合,食料,住居,持家の帰属家賃を除く住居,光熱・水道,家具・家事用品,被服及び履物,保健医療,交通・通信,教育,教養娯楽,諸雑費
昭和63年平均,1988,87.7,88.5,88.5,83.1,83.5,96,113.1,86.1,82.6,94.7,73.2,87.6,87.8
平成元年平均,1989,90.1,90.7,90.9,85.7,86.2,95,113.9,90.9,83.7,95.7,75.5,90.7,89.2
平成2年平均,1990,92.8,93.6,94.9,88.3,89.2,95.6,113.9,94.4,84.4,96.6,78.8,94.4,90.6
平成3年平均,1991,95.9,96.7,99.2,91.3,92.5,96.2,114.8,100.2,85.3,97.4,81.5,97,92.4
平成4年平均,1992,97.7,98.4,99.8,94.3,96.1,96.2,116.2,102.7,87.6,99.7,84.4,99.7,93.5
平成5年平均,1993,98.9,99.2,100.8,97.5,98.4,96,115.3,100.6,87.9,99.8,87.4,101.6,95
平成6年平均,1994,99.6,99.6,101.5,99.6,99.8,97,112.3,98.2,88.2,99.3,90,102.5,96.1
平成7年平均,1995,99.3,99.3,100.1,100,101.1,98.5,110.3,97.5,88.7,100.6,92.1,101,96.7
平成8年平均,1996,99.3,99.3,99.9,99.8,101.1,97.7,107.1,98.4,89.4,101.4,94.5,100.1,97.2
平成9年平均,1997,100.6,100.8,101.5,100.4,101.2,101,105.8,99.9,94.1,101.7,95.9,101.7,99.1
平成10年平均,1998,101.4,101.7,103,100.6,101,100.2,103.9,102,101.7,100.6,97.5,101.9,100.3
平成11年平均,1999,101,101,102.1,100.8,100.6,99.1,102.4,100.6,100.9,100.4,98.9,101,100.5
平成12年平均,2000,100,100,100,100,100,100,100,100,100,100,100,100,100
平成13年平均,2001,98.9,99.1,99.5,98.4,99.3,100,96.3,98.4,100.5,98.9,100.8,97.1,100
平成14年平均,2002,97.9,98.1,98.9,97.5,98.7,97.8,92.3,96.5,99.4,98.6,102,95.1,99.9
平成15年平均,2003,97.5,97.7,98.7,96.9,98.2,97.6,89.6,95.5,102.9,98.3,101.9,93.9,101
平成16年平均,2004,97.4,97.7,99.5,96.7,98.2,96.8,87.6,95.6,102.6,98,102.2,92.8,101.3
平成17年平均,2005,96.9,97.1,98.4,96.7,97.9,95.4,85.4,95.7,102.5,97.2,102.7,92.2,101.4
,,,,,,,,,,,,,,
東京の物価／平成１８年２月,,,,,,,,,,,,,,
２．東京都区部消費者物価１０大費目指数（年平均）,,,,,,,,,,,,,,
２０００年＝１００／(平成１２年＝１００),,,,,,,,,,,,,,
