"年度","地域活動支援センター事業 利用登録者(障害者)","地域活動支援センター事業 利用登録者(総数)","地域活動支援センター事業 来館者(障害者)","地域活動支援センター事業 来館者(総数)"
"2017","227","280","5161","6683"
"2018","261","322","5807","7605"
"2019","290","355","4006","5093"
"2020","309","375","2638","3265"
"2021","343","415","4447","5183"

"令和4年度港区行政資料集　施設利用状況一覧 精神障害者支援センター","Ver202203",,,
