"年度[西暦]","区 公園数[か所]","区 面積[平方メートル]","都 公園数[か所]","都 面積[平方メートル]","国 公園数[か所]","国 面積[平方メートル]","公園数 合計[か所]","面積 合計[平方メートル]","区民１人当たり面積[平方メートル毎人]"
"2017","49","323183","8","776777","1","263716","58","1363676","5.43"
"2018","49","320187","8","776777","1","263716","58","1360680","5.33"
"2019","49","320187","8","776777","1","263716","58","1360680","5.26"
"2020","49","321569","8","776777","1","263716","58","1362062","5.2"
"2021","49","321138","8","776777","1","263716","58","1361631","5.26"

"令和3年度港区行政資料集　管理別公園数及び面積","Ver202104",,,,,,,,
