地域階層,地域コード,地域,平成17年1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月,平成18年1月
0,130000,総数,12463942,12463734,12461943,12472796,12517123,12527115,12532744,12536162,12540711,12544205,12552981,12557819,12560764
1,13100,区部,8396594,8396730,8396482,8409085,8437638,8444531,8448695,8451522,8454379,8457418,8464212,8467462,8469459
1,13200,市部,3981704,3981455,3979950,3978875,3994244,3997418,3998931,3999690,4001513,4002064,4004017,4005620,4006583
2,13300,郡部,59693,59647,59604,59461,59501,59446,59413,59402,59345,59295,59318,59309,59313
2,13350,島部,26597,26582,26527,26052,26369,26371,26353,26348,26377,26356,26371,26376,26362
1,13100,区部,8396594,8396730,8396482,8409085,8437638,8444531,8448695,8451522,8454379,8457418,8464212,8467462,8469459
4,13101,千代田区,39997,40075,40178,40339,40587,40701,40718,40727,40846,40880,41175,41259,41234
4,13102,中央区,88850,89159,89375,90251,90899,91312,91677,92099,92642,93021,93544,94107,94710
4,13103,港区,174435,174663,174975,175991,177121,177501,177841,178500,179024,179689,180379,181259,181983
4,13104,新宿区,300268,300356,300402,300879,302544,302439,302939,303361,303287,303752,304216,304102,303936
4,13105,文京区,184304,184341,184517,184706,185931,185941,185982,186118,186268,186480,186844,187065,187336
4,13106,台東区,164714,164618,164751,165285,165814,165823,165990,166123,166140,166411,166743,166803,166763
4,13107,墨田区,225199,225226,225162,225626,226135,226384,226566,226618,226582,226708,226885,226932,226978
4,13108,江東区,410158,410920,411920,414653,417485,418510,419519,420052,420644,420937,421209,421911,423288
4,13109,品川区,338517,338692,338841,339714,340648,340933,341022,341227,341339,341313,341861,341977,342052
4,13110,目黒区,255687,255592,255541,255501,256409,256716,256877,256790,257054,257144,257269,257315,257157
4,13111,大田区,666061,666220,666250,667219,669479,670065,670333,670744,671098,671025,671407,671729,671753
4,13112,世田谷区,835437,835176,834987,835141,838503,839475,839882,840094,840712,841115,841480,841574,841578
4,13113,渋谷区,201763,201702,201670,201544,202157,202785,202869,202885,202577,202805,202986,203106,203347
4,13114,中野区,312204,312106,311869,311581,312697,312647,312475,312441,312420,312170,312232,312057,311884
4,13115,杉並区,530632,530369,529879,530679,532612,532897,532940,532749,532882,532787,532874,532922,533240
4,13116,豊島区,249678,249639,249207,249589,251006,251136,251040,250763,250691,250601,250727,250722,250674
4,13117,北区,327064,327021,326998,327224,328193,328286,328335,328386,328374,328249,328290,328087,327804
4,13118,荒川区,186658,186537,186606,188271,188878,189008,189115,189335,189196,189155,189344,189356,188973
4,13119,板橋区,524254,523956,523642,523836,525325,525312,525275,525052,524965,524859,525224,525313,525666
4,13120,練馬区,681498,681189,680836,680504,682256,682688,682697,682612,682679,682796,683251,683396,683370
4,13121,足立区,624718,624606,624419,624238,625218,625328,625304,625177,625129,625030,624913,624985,624810
4,13122,葛飾区,428402,428464,428420,429743,430401,430647,430810,430779,430773,431207,431620,431551,431223
4,13123,江戸川区,646096,646103,646037,646571,647340,647997,648489,648890,649057,649284,649739,649934,649700
1,13200,市部,3981704,3981455,3979950,3978875,3994244,3997418,3998931,3999690,4001513,4002064,4004017,4005620,4006583
4,13201,八王子市,554392,554244,553759,552767,555577,555990,556226,556338,556670,556696,557014,557302,557261
4,13202,立川市,170919,170918,170773,170706,171393,171516,171502,171559,171663,171684,171769,171843,171808
4,13203,武蔵野市,136487,136457,136448,136839,137412,137549,137484,137549,137711,137640,137811,137907,138080
4,13204,三鷹市,177366,177487,177665,177621,178268,178409,178505,178512,178520,178365,178476,178533,178424
4,13205,青梅市,142353,142328,142350,142385,142302,142330,142342,142342,142369,142349,142435,142430,142326
4,13206,府中市,240489,240225,240369,241434,244030,244327,244542,244645,244881,244751,244155,244292,244514
4,13207,昭島市,109647,109729,109718,109682,109948,110061,110157,110135,110106,110118,110214,110188,110729
4,13208,調布市,215103,215202,215144,215146,216112,216290,216255,216227,216282,216217,216369,216430,216403
4,13209,町田市,406470,406504,406341,406281,407509,407881,408044,408121,408378,408630,408820,408955,409206
