地域階層,地域コード,地域,平成13年中／増減,平成13年中／転入,平成13年中／転出,平成14年中／増減,平成14年中／転入,平成14年中／転出,平成15年中／増減,平成15年中／転入,平成15年中／転出,平成16年中／増減,平成16年中／転入,平成16年中／転出,平成17年中／増減,平成17年中／転入,平成17年中／転出
0,13000,総数,68457,449888,381431,72050,442925,370875,64859,441013,376154,71558,433270,361712,78847,436245,357398
1,13100,区部,49045,321652,272607,50612,315730,265118,43428,313845,270417,49069,309427,260358,59496,317707,258211
1,13200,市部,19681,126823,107142,21376,125668,104292,21613,125806,104193,22699,122567,99868,19605,117114,97509
2,13300,郡部,-148,605,753,31,646,615,-70,614,684,-107,575,682,-107,546,653
2,13350,島部,-121,808,929,31,881,850,-112,748,860,-103,701,804,-147,878,1025
1,13100,区部,49045,321652,272607,50612,315730,265118,43428,313845,270417,49069,309427,260358,59496,317707,258211
4,13101,千代田区,564,1878,1314,598,1956,1358,870,2333,1463,813,2351,1538,853,2527,1674
4,13102,中央区,1587,4636,3049,1780,4782,3002,1788,5060,3272,2557,5999,3442,3203,6801,3598
4,13103,港区,2007,7866,5859,1551,7373,5822,2137,8265,6128,2456,8584,6128,3272,9575,6303
4,13104,新宿区,2949,14065,11116,3240,13943,10703,3305,14008,10703,3337,14060,10723,3030,13792,10762
4,13105,文京区,2363,8537,6174,1975,7943,5968,1965,8037,6072,1927,8041,6114,2652,8454,5802
4,13106,台東区,1349,5371,4022,1524,5488,3964,955,5047,4092,1484,5343,3859,1511,5561,4050
4,13107,墨田区,1134,6175,5041,1202,6314,5112,1566,6303,4737,2141,6778,4637,2058,6924,4866
4,13108,江東区,2862,13092,10230,3057,13004,9947,3632,13773,10141,2829,12651,9822,5651,15977,10326
4,13109,品川区,1449,13018,11569,2166,13311,11145,2251,13532,11281,2890,13786,10896,2973,13897,10924
4,13110,目黒区,2072,11308,9236,2387,11561,9174,1052,10166,9114,1493,10337,8844,2263,10937,8674
4,13111,大田区,2581,25709,23128,2058,25429,23371,2303,26001,23698,2629,25389,22760,3649,26538,22889
4,13112,世田谷区,5402,36960,31558,5550,36344,30794,4643,35890,31247,4742,35027,30285,5371,34638,29267
4,13113,渋谷区,2122,9319,7197,2123,9238,7115,2142,9331,7189,2248,9208,6960,2152,8909,6757
4,13114,中野区,3954,14839,10885,2817,13649,10832,2368,13440,11072,2475,13081,10606,2685,13037,10352
4,13115,杉並区,4737,23135,18398,4180,21917,17737,3738,21629,17891,3790,21230,17440,4298,21271,16973
4,13116,豊島区,1984,11607,9623,2514,11666,9152,1460,10925,9465,1911,10752,8841,2408,11204,8796
4,13117,北区,379,10959,10580,655,10594,9939,700,10959,10259,1025,10907,9882,1374,11026,9652
4,13118,荒川区,906,4933,4027,1383,5315,3932,707,4846,4139,801,4716,3915,1559,5379,3820
4,13119,板橋区,2282,19894,17612,2066,19281,17215,822,18772,17950,153,17277,17124,1229,17565,16336
4,13120,練馬区,3292,25177,21885,2636,24374,21738,2782,24499,21717,3150,23879,20729,2244,22847,20603
4,13121,足立区,-419,16302,16721,854,16409,15555,311,16183,15872,697,15934,15237,138,15484,15346
4,13122,葛飾区,763,12447,11684,795,11871,11076,91,11806,11715,441,11129,10688,1712,12338,10626
4,13123,江戸川区,2726,24425,21699,3501,23968,20467,1840,23040,21200,3080,22968,19888,3211,23026,19815
1,13200,市部,19681,126823,107142,21376,125668,104292,21613,125806,104193,22699,122567,99868,19605,117114,97509
4,13201,八王子市,2999,16406,13407,2713,15898,13185,3186,16351,13165,3738,16422,12684,2985,15778,12793
4,13202,立川市,619,4784,4165,653,4661,4008,754,4787,4033,623,4633,4010,836,4320,3484
4,13203,武蔵野市,941,5381,4440,755,5145,4390,762,5239,4477,1134,5106,3972,1260,5204,3944
4,13204,三鷹市,1283,6478,5195,1141,6349,5208,1017,6266,5249,974,5922,4948,1045,5669,4624
4,13205,青梅市,337,2325,1988,112,2250,2138,-116,2053,2169,121,2270,2149,42,2069,2027
