地域階層,地域コード,地域,平成17年1月中,2月中,3月中,4月中,5月中,6月中,7月中,8月中,9月中,10月中,11月中,12月中
0,13000,総数,-208,-1791,10853,44327,9992,5629,3418,4549,3494,8776,4838,2945
1,13100,区部,136,-248,12603,28553,6893,4164,2827,2857,3039,6794,3250,1997
1,13200,市部,-249,-1505,-1075,15369,3174,1513,759,1823,551,1953,1603,963
2,13300,郡部,-46,-43,-143,40,-55,-33,-11,-57,-50,23,-9,4
2,13350,島部,-15,-55,-475,317,2,-18,-5,29,-21,15,5,-14
1,13100,区部,136,-248,12603,28553,6893,4164,2827,2857,3039,6794,3250,1997
4,13101,千代田区,78,103,161,248,114,17,9,119,34,295,84,-25
4,13102,中央区,309,216,876,648,413,365,422,543,379,523,563,603
4,13103,港区,228,312,1016,1130,380,340,659,524,665,690,880,724
4,13104,新宿区,88,46,477,1665,-105,500,422,-74,465,464,-114,-166
4,13105,文京区,37,176,189,1225,10,41,136,150,212,364,221,271
4,13106,台東区,-96,133,534,529,9,167,133,17,271,332,60,-40
4,13107,墨田区,27,-64,464,509,249,182,52,-36,126,177,47,46
4,13108,江東区,762,1000,2733,2832,1025,1009,533,592,293,272,702,1377
4,13109,品川区,175,149,873,934,285,89,205,112,-26,548,116,75
4,13110,目黒区,-95,-51,-40,908,307,161,-87,264,90,125,46,-158
4,13111,大田区,159,30,969,2260,586,268,411,354,-73,382,322,24
4,13112,世田谷区,-261,-189,154,3362,972,407,212,618,403,365,94,4
4,13113,渋谷区,-61,-32,-126,613,628,84,16,-308,228,181,120,241
4,13114,中野区,-98,-237,-288,1116,-50,-172,-34,-21,-250,62,-175,-173
4,13115,杉並区,-263,-490,800,1933,285,43,-191,133,-95,87,48,318
4,13116,豊島区,-39,-432,382,1417,130,-96,-277,-72,-90,126,-5,-48
4,13117,北区,-43,-23,226,969,93,49,51,-12,-125,41,-203,-283
4,13118,荒川区,-121,69,1665,607,130,107,220,-139,-41,189,12,-383
4,13119,板橋区,-298,-314,194,1489,-13,-37,-223,-87,-106,365,89,353
4,13120,練馬区,-309,-353,-332,1752,432,9,-85,67,117,455,145,-26
4,13121,足立区,-112,-187,-181,980,110,-24,-127,-48,-99,-117,72,-175
4,13122,葛飾区,62,-44,1323,658,246,163,-31,-6,434,413,-69,-328
4,13123,江戸川区,7,-66,534,769,657,492,401,167,227,455,195,-234
1,13200,市部,-249,-1505,-1075,15369,3174,1513,759,1823,551,1953,1603,963
4,13201,八王子市,-148,-485,-992,2810,413,236,112,332,26,318,288,-41
4,13202,立川市,-1,-145,-67,687,123,-14,57,104,21,85,74,-35
