規模,和暦年,西暦年,年平均・月・前年同月比,調査産業計,調査産業計／前年比・前年同月比（％）,建設業,製造業,電気・ガス・熱供給・水道業,情報通信業,運輸業，郵便業,卸売業，小売業,金融業，保険業,不動産業，物品賃貸業,学術研究，専門・技術サービス業,宿泊業，飲食サービス業,生活関連サービス業，娯楽業,教育，学習支援業,医療，福祉,複合サービス事業,サービス業（他に分類されないもの）
５人以上,平成23,2011,年平均,96.9,-0.8,92,101.5,132.1,108,105.2,82,82.9,85.9,110.9,83.6,114.8,102.2,92.8,114.7,102.3
５人以上,平成24,2012,年平均,99.1,2.3,106.9,104.5,107.7,105.3,95.7,86.2,87,69.8,125.2,95.4,99.7,89.2,101.1,103.9,107.8
５人以上,平成25,2013,年平均,99,-0.1,99,109.4,99.7,104,86.7,94.5,93.4,73.9,125.1,89.1,97.2,95.5,108.3,109.9,103.5
５人以上,平成26,2014,年平均,99.6,0.6,96.6,106.5,91.2,104.9,82.6,95.5,97.4,96.2,120.1,85.7,126.7,98.5,109.5,90.5,104.1
５人以上,平成27,2015,年平均,100,0.4,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
５人以上,平成28,2016,年平均,95.1,-4.9,93.6,94.6,110.1,97,95.2,95.2,95.7,96.2,101.6,99.4,71.7,105,98.8,95.6,88.7
５人以上,平成28,2016,10月,96,-2.6,103.5,97.2,108.4,95.2,99.4,99,95.7,95.6,92.8,95.5,68,105.5,97.2,78.9,89.8
５人以上,平成28,2016,11月,96.8,-3.4,101.9,93.1,104.6,93.1,96.8,97.9,93,102.7,102.7,101.2,71.5,125.5,98.9,86.7,95.4
５人以上,平成28,2016,12月,94.3,-5.8,100.2,93.1,93.3,88.4,103.4,97.9,91.4,96.3,96,108.4,71.5,97.9,97.2,114.6,88.1
５人以上,平成29,2017,1月,92.5,-1,107,88.6,103.8,88.9,102,94.1,89.2,96.5,94.7,97.1,72.4,90,100,84.8,83.9
