規模,和暦年,西暦年,年平均・月・前年同月比,調査産業計,調査産業計／前年比・前年同月比（％）,建設業,製造業,電気・ガス・熱供給・水道業,情報通信業,運輸業，郵便業,卸売業，小売業,金融業，保険業,不動産業，物品賃貸業,学術研究，専門・技術サービス業,宿泊業，飲食サービス業,生活関連サービス業，娯楽業,教育，学習支援業,医療，福祉,複合サービス事業,サービス業（他に分類されないもの）
５人以上,平成23,2011,年平均,96.9,-0.8,92,101.5,132.1,108,105.2,82,82.9,85.9,110.9,83.6,114.8,102.2,92.8,114.7,102.3
５人以上,平成24,2012,年平均,99.1,2.3,106.9,104.5,107.7,105.3,95.7,86.2,87,69.8,125.2,95.4,99.7,89.2,101.1,103.9,107.8
５人以上,平成25,2013,年平均,99,-0.1,99,109.4,99.7,104,86.7,94.5,93.4,73.9,125.1,89.1,97.2,95.5,108.3,109.9,103.5
５人以上,平成26,2014,年平均,99.6,0.6,96.6,106.5,91.2,104.9,82.6,95.5,97.4,96.2,120.1,85.7,126.7,98.5,109.5,90.5,104.1
５人以上,平成27,2015,年平均,100,0.4,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
５人以上,平成28,2016,年平均,95.1,-4.9,93.6,94.6,110.1,97,95.2,95.2,95.7,96.2,101.6,99.4,71.7,105,98.8,95.6,88.7
５人以上,平成28,2016,1月,93.4,-4.3,88.5,89.8,111.6,99.3,94.8,91.9,91.9,91.4,94,102.7,64.6,95.4,104.3,107,93
５人以上,平成28,2016,2月,97.6,-4.1,101.4,102.1,121.6,103.6,94.8,93.1,92.4,95.6,108.6,95.5,70.3,115.5,106.2,131.2,87.3
５人以上,平成28,2016,3月,102.6,-3.1,102.4,102.9,134.2,110.4,96.3,96.6,102.8,106.3,111.9,98.3,76.1,113,107.9,92.9,98.7
５人以上,平成28,2016,4月,101,-3.2,92.2,101.2,121.6,101.5,97.8,101.4,104.4,103.4,109.9,101.2,73.8,120.5,107.9,113.4,92.1
