"年月[西暦]","調査項目","設問","話題","選択肢","回答数[人]","構成比[%]"
"202003","環境問題への関心","Q3. あなたは、環境に関するＡ～Ｄの話題をどのくらい知っていますか。","ＳＤＧｓ（持続可能な開発目標）","内容を詳しく知っている","35","8.1"
"202003","環境問題への関心","Q3. あなたは、環境に関するＡ～Ｄの話題をどのくらい知っていますか。","ＳＤＧｓ（持続可能な開発目標）","内容を多少知っている","91","21.2"
"202003","環境問題への関心","Q3. あなたは、環境に関するＡ～Ｄの話題をどのくらい知っていますか。","ＳＤＧｓ（持続可能な開発目標）","言葉は聞いたことがある","108","25.1"
"202003","環境問題への関心","Q3. あなたは、環境に関するＡ～Ｄの話題をどのくらい知っていますか。","ＳＤＧｓ（持続可能な開発目標）","聞いたこともない","188","43.7"
"202003","環境問題への関心","Q3. あなたは、環境に関するＡ～Ｄの話題をどのくらい知っていますか。","ＳＤＧｓ（持続可能な開発目標）","無回答","8","1.9"
"202003","環境問題への関心","Q3. あなたは、環境に関するＡ～Ｄの話題をどのくらい知っていますか。","３Ｒ","内容を詳しく知っている","126","29.3"
"202003","環境問題への関心","Q3. あなたは、環境に関するＡ～Ｄの話題をどのくらい知っていますか。","３Ｒ","内容を多少知っている","145","33.7"
"202003","環境問題への関心","Q3. あなたは、環境に関するＡ～Ｄの話題をどのくらい知っていますか。","３Ｒ","言葉は聞いたことがある","85","19.8"
"202003","環境問題への関心","Q3. あなたは、環境に関するＡ～Ｄの話題をどのくらい知っていますか。","３Ｒ","聞いたこともない","66","15.3"
"202003","環境問題への関心","Q3. あなたは、環境に関するＡ～Ｄの話題をどのくらい知っていますか。","３Ｒ","無回答","8","1.9"
"202003","環境問題への関心","Q3. あなたは、環境に関するＡ～Ｄの話題をどのくらい知っていますか。","食品ロス（食品廃棄物）","内容を詳しく知っている","205","47.7"
"202003","環境問題への関心","Q3. あなたは、環境に関するＡ～Ｄの話題をどのくらい知っていますか。","食品ロス（食品廃棄物）","内容を多少知っている","194","45.1"
"202003","環境問題への関心","Q3. あなたは、環境に関するＡ～Ｄの話題をどのくらい知っていますか。","食品ロス（食品廃棄物）","言葉は聞いたことがある","22","5.1"
"202003","環境問題への関心","Q3. あなたは、環境に関するＡ～Ｄの話題をどのくらい知っていますか。","食品ロス（食品廃棄物）","聞いたこともない","4","0.9"
"202003","環境問題への関心","Q3. あなたは、環境に関するＡ～Ｄの話題をどのくらい知っていますか。","食品ロス（食品廃棄物）","無回答","5","1.2"
"202003","環境問題への関心","Q3. あなたは、環境に関するＡ～Ｄの話題をどのくらい知っていますか。","海洋プラスチックごみ","内容を詳しく知っている","186","43.3"
"202003","環境問題への関心","Q3. あなたは、環境に関するＡ～Ｄの話題をどのくらい知っていますか。","海洋プラスチックごみ","内容を多少知っている","200","46.5"
"202003","環境問題への関心","Q3. あなたは、環境に関するＡ～Ｄの話題をどのくらい知っていますか。","海洋プラスチックごみ","言葉は聞いたことがある","34","7.9"
"202003","環境問題への関心","Q3. あなたは、環境に関するＡ～Ｄの話題をどのくらい知っていますか。","海洋プラスチックごみ","聞いたこともない","5","1.2"
"202003","環境問題への関心","Q3. あなたは、環境に関するＡ～Ｄの話題をどのくらい知っていますか。","海洋プラスチックごみ","無回答","5","1.2"

"港区の環境に関する区民アンケート（郵送）調査結果・単純集計表・環境問題への関心Q3","Ver202003",,,,,
