"年月[西暦]","調査項目","設問","調査回答者の属性種別","調査回答者の属性","調査数[人]","選択肢A","選択肢B","選択肢C","選択肢D","選択肢E","選択肢F","選択肢G","選択肢H"
"202203","防犯カメラの設置","Q31. 公園等（公園・児童遊園）に防犯カメラは必要だと思いますか。（○は１つ）","全体",,"599","335","72","33","96","18","24","7","14"
"202203","防犯カメラの設置","Q31. 公園等（公園・児童遊園）に防犯カメラは必要だと思いますか。（○は１つ）","性・年代別","男性（計）","238","130","37","12","33","8","10","7","1"
"202203","防犯カメラの設置","Q31. 公園等（公園・児童遊園）に防犯カメラは必要だと思いますか。（○は１つ）","性・年代別","男性 18～29歳","13","6","1","2","3","0","1","0","0"
"202203","防犯カメラの設置","Q31. 公園等（公園・児童遊園）に防犯カメラは必要だと思いますか。（○は１つ）","性・年代別","男性 30～39歳","39","19","8","1","4","3","2","2","0"
"202203","防犯カメラの設置","Q31. 公園等（公園・児童遊園）に防犯カメラは必要だと思いますか。（○は１つ）","性・年代別","男性 40～49歳","51","29","7","2","8","1","2","1","1"
"202203","防犯カメラの設置","Q31. 公園等（公園・児童遊園）に防犯カメラは必要だと思いますか。（○は１つ）","性・年代別","男性 50～59歳","49","29","7","1","9","1","2","0","0"
"202203","防犯カメラの設置","Q31. 公園等（公園・児童遊園）に防犯カメラは必要だと思いますか。（○は１つ）","性・年代別","男性 60～69歳","43","24","6","2","6","1","2","2","0"
"202203","防犯カメラの設置","Q31. 公園等（公園・児童遊園）に防犯カメラは必要だと思いますか。（○は１つ）","性・年代別","男性 70歳以上","42","23","8","4","3","2","1","1","0"
"202203","防犯カメラの設置","Q31. 公園等（公園・児童遊園）に防犯カメラは必要だと思いますか。（○は１つ）","性・年代別","男性 無回答","1","0","0","0","0","0","0","1","0"
"202203","防犯カメラの設置","Q31. 公園等（公園・児童遊園）に防犯カメラは必要だと思いますか。（○は１つ）","性・年代別","女性（計）","347","203","35","21","62","10","14","0","2"
"202203","防犯カメラの設置","Q31. 公園等（公園・児童遊園）に防犯カメラは必要だと思いますか。（○は１つ）","性・年代別","女性 18～29歳","29","16","2","3","4","2","2","0","0"
"202203","防犯カメラの設置","Q31. 公園等（公園・児童遊園）に防犯カメラは必要だと思いますか。（○は１つ）","性・年代別","女性 30～39歳","55","30","7","5","9","1","3","0","0"
"202203","防犯カメラの設置","Q31. 公園等（公園・児童遊園）に防犯カメラは必要だと思いますか。（○は１つ）","性・年代別","女性 40～49歳","86","55","12","3","13","1","2","0","0"
"202203","防犯カメラの設置","Q31. 公園等（公園・児童遊園）に防犯カメラは必要だと思いますか。（○は１つ）","性・年代別","女性 50～59歳","69","44","5","2","13","2","2","0","1"
"202203","防犯カメラの設置","Q31. 公園等（公園・児童遊園）に防犯カメラは必要だと思いますか。（○は１つ）","性・年代別","女性 60～69歳","59","36","4","3","13","1","1","0","1"
"202203","防犯カメラの設置","Q31. 公園等（公園・児童遊園）に防犯カメラは必要だと思いますか。（○は１つ）","性・年代別","女性 70歳以上","49","22","5","5","10","3","4","0","0"
"202203","防犯カメラの設置","Q31. 公園等（公園・児童遊園）に防犯カメラは必要だと思いますか。（○は１つ）","性・年代別","女性 無回答","0","0","0","0","0","0","0","0","0"
"202203","防犯カメラの設置","Q31. 公園等（公園・児童遊園）に防犯カメラは必要だと思いますか。（○は１つ）","性・年代別","無回答","14","2","0","0","1","0","0","0","11"
"202203","防犯カメラの設置","Q31. 公園等（公園・児童遊園）に防犯カメラは必要だと思いますか。（○は１つ）","職業別","自営業主・家族従業","90","52","11","3","11","3","8","2","0"
"202203","防犯カメラの設置","Q31. 公園等（公園・児童遊園）に防犯カメラは必要だと思いますか。（○は１つ）","職業別","会社員・団体職員・公務員","261","154","27","16","47","6","7","3","1"
"202203","防犯カメラの設置","Q31. 公園等（公園・児童遊園）に防犯カメラは必要だと思いますか。（○は１つ）","職業別","アルバイト・パートタイマー","36","19","7","0","8","0","2","0","0"
"202203","防犯カメラの設置","Q31. 公園等（公園・児童遊園）に防犯カメラは必要だと思いますか。（○は１つ）","職業別","家事専業","60","35","8","2","10","2","2","0","1"
"202203","防犯カメラの設置","Q31. 公園等（公園・児童遊園）に防犯カメラは必要だと思いますか。（○は１つ）","職業別","学生","13","8","0","2","0","1","2","0","0"
"202203","防犯カメラの設置","Q31. 公園等（公園・児童遊園）に防犯カメラは必要だと思いますか。（○は１つ）","職業別","無職","92","47","14","8","12","6","3","1","1"
"202203","防犯カメラの設置","Q31. 公園等（公園・児童遊園）に防犯カメラは必要だと思いますか。（○は１つ）","職業別","その他","31","19","4","2","5","0","0","1","0"
"202203","防犯カメラの設置","Q31. 公園等（公園・児童遊園）に防犯カメラは必要だと思いますか。（○は１つ）","職業別","無回答","16","1","1","0","3","0","0","0","11"
