"年度","本会議 定例会[回]","本会議 定例会[日]","本会議 臨時会[回]","本会議 臨時会[日]","常任委員会 総務[回]","常任委員会 保健福祉[回]","常任委員会 建設[回]","常任委員会 区民文教[回]","特別委員会[回]","特別委員会 委員会数","議会運営委員会[回]","審議等項目 議案[件]","審議等項目 発案[件]","審議等項目 請願[件]","審議等項目 区長報告[件]","審議等項目 その他[件]"
"2015","4","19","2","3","26","32","25","26","48","8","28","115","25","46","11","23"
"2016","4","17","0","0","25","22","23","23","46","6","24","133","15","7","9","12"
"2017","4","15","1","1","27","28","25","30","49","6","21","91","7","7","6","15"
"2018","4","16","1","1","26","32","24","26","55","6","21","111","6","5","7","13"
"2019","4","17","1","1","24","25","24","23","62","8","21","126","15","25","15","21"

"令和2年度港区行政資料集　区議会活動状況","Ver202003",,,,,,,,,,,,,,,
