"年月日[西暦]","学校名","種別","生徒数(1年男)[人]","生徒数(1年女)[人]","生徒数(2年男)[人]","生徒数(2年女)[人]","生徒数(3年男)[人]","生徒数(3年女)[人]","学級数(全学年)[組]","生徒数(全学年男)[人]","生徒数(全学年女)[人]"
"20240407","御成門学園　御成門中学校","特別支援学級",,,,,,,"1",,
"20240407","高松中学校","特別支援学級","0","0","1","0","3","0","1","4","0"
"20240407","港南中学校","特別支援学級","4","1","5","0","2","0",,"11","1"
"20240407","六本木中学校","日本語学級",,,,,,,"2","0","0"
"20240407","六本木中学校","特別支援学級","7","1","1","3","2","3","0","10","7"
"20240407","赤坂学園　赤坂中学校","特別支援学級","3","0","3","0","4","1","2","10","1"
"20240407","青山中学校","特別支援学級","3","0","1","1","5","1",,"9","2"
"20240407","お台場学園　港陽中学校","特別支援学級","0","0","3","2","0","1","1","3","3"

"港区立中学校  生徒数・学級数(特別支援学級)","Ver202404",,,,,,,,,,
