"年度[西暦]","款","当初予算 金額[千円]","当初予算 構成比[%]","最終補正後 金額[千円]","最終補正後 構成比[%]"
"2022","特別区税","86250766","54.1","96336229","54.3"
"2022","地方譲与税","454001","0.3","454001","0.3"
"2022","利子割交付金","205000","0.1","270000","0.2"
"2022","配当割交付金","1100000","0.7","1300000","0.7"
"2022","株式等譲渡所得割交付金","1200000","0.8","1200000","0.7"
"2022","地方消費税交付金","12800000","8.0","13320000","7.5"
"2022","交通安全対策特別交付金","40000","0.0","40000","0.0"
"2022","環境性能割交付金","92000","0.1","100000","0.1"
"2022","地方特例交付金","75000","0.0","59836","0.0"
"2022","特別区交付金","1500001","0.9","1500001","0.8"
"2022","分担金及び負担金","1266617","0.8","1312643","0.7"
"2022","使用料及び手数料","10108470","6.3","10060461","5.7"
"2022","国庫支出金","17977779","11.3","22452820","12.7"
"2022","都支出金","10121419","6.4","12788993","7.2"
"2022","財産収入","617327","0.4","617327","0.3"
"2022","寄附金","816360","0.5","985207","0.6"
"2022","繰入金","9823463","6.2","5833108","3.3"
"2022","繰越金","2000000","1.3","5854849","3.3"
"2022","諸収入","2851797","1.8","2954641","1.7"
"2022","特別区債","0","0.0","0","0"
"2022","歳入合計","159300000","100.0","177440116","100.0"
"2023","特別区税","91312419","55.9",,
"2023","地方譲与税","451001","0.3",,
"2023","利子割交付金","412000","0.3",,
"2023","配当割交付金","1500000","0.9",,
"2023","株式等譲渡所得割交付金","1797000","1.1",,
"2023","地方消費税交付金","14580000","8.9",,
"2023","交通安全対策特別交付金","37000","0.0",,
"2023","環境性能割交付金","116000","0.1",,
"2023","地方特例交付金","54000","0.0",,
"2023","特別区交付金","1500001","0.9",,
"2023","分担金及び負担金","1305179","0.8",,
"2023","使用料及び手数料","10671663","6.5",,
"2023","国庫支出金","17193308","10.5",,
"2023","都支出金","11180651","6.8",,
"2023","財産収入","759081","0.5",,
"2023","寄附金","514018","0.3",,
"2023","繰入金","3444903","2.1",,
"2023","繰越金","2000000","1.2",,
"2023","諸収入","4441776","2.7",,
"2023","特別区債","0","0",,
"2023","歳入合計","163270000","100.0",,

"令和5年度港区行政資料集　 一般会計歳入予算（款別）","Ver202303",,,,
