にこにこ実施施設一覧（3年度）,,,,,
名称,住所,電話,実施曜日,団体利用実施曜日,
栄町にこにこ,練馬区栄町40-7(栄町児童館学童クラブ内),03-3994-3287,月・水・木,火・金,
開進第四小にこにこ,練馬区羽沢2-33-1(同小ねりっこ学童クラブ内),03-3994-3008,火・水・木・金,なし,
豊玉南小にこにこ,練馬区豊玉南2-14-1(同小学童クラブ内),03-3993-0044,火・水・木・金,なし,
豊玉にこにこ,練馬区豊玉南3-32-11(豊玉学童クラブ内),03-3991-2580,月・火・木・金,なし,
豊玉第二小にこにこ,練馬区豊玉上2-16-1(同小学童クラブ内),03-3994-6764,火・水・木・金,なし,
豊玉小にこにこ,練馬区豊玉中4-2-20(同小ねりっこ学童クラブ内),03-3993-6200,火・水・木・金,なし,
中村小にこにこ,練馬区中村2-8-1(同小学童クラブ内),03-3577-0530,火・水・木・金,なし,
中村にこにこ,練馬区中村2-25-3(中村児童館学童クラブ内),03-3998-4890,火・水・木・金,火・金,
中村西小にこにこ,練馬区中村北4-17-1(同小ねりっこ学童クラブ内),03-3990-2977,火・水・木・金,なし,
桜台地区区民館にこにこ ,練馬区桜台3-39-17(同館学童クラブ内),03-3993-5462,火・木,なし,
開進第二小にこにこ,練馬区桜台5-10-5(同小ねりっこ学童クラブ内),03-3994-6814,月・火・木・金,なし,
厚生文化会館にこにこ,練馬区練馬4-2-3(同館学童クラブ内),03-3991-3080,火・木・金,金,
貫井地区区民館にこにこ,練馬区貫井1-9-1(同館学童クラブ内),03-3926-7218,火・木,なし,
向山小にこにこ,練馬区向山2-14-11(同小ねりっこ学童クラブ内),03-3926-0958 ,火・水・木・金,なし,
氷川台地区区民館にこにこ,練馬区氷川台2-16-14(同館学童クラブ内),03-3932-2065,火・木,なし,
北町にこにこ,練馬区北町1-19-17(北町児童館学童クラブ内),03-3931-5481,火・水・木,月,
北町西小にこにこ,練馬区北町7-3-8(同小ねりっこ学童クラブ内),03-3931-5148,火・水・木・金,なし,
平和台にこにこ,練馬区平和台2-18-14(平和台児童館学童クラブ内),03-3550-8058,月・水・金,木,
開進第一小にこにこ,練馬区早宮2-1-31(同小ねりっこ学童クラブ内),03-3931-5482,月・火・木・金,なし,
早宮さくらにこにこ,練馬区早宮3-13-31(早宮さくら学童クラブ内),03-3993-3153,火・水・木,なし,
早宮小にこにこ,練馬区早宮4-10-17(同小学童クラブ内),03-5999-9531,火・木,なし,
練馬東小にこにこ,練馬区春日町1-30-11(同小ねりっこ学童クラブ内),03-3970-0820,月・火・水・金,なし,
北町はるのひにこにこ,練馬区北町6-35-7(北町はるのひ児童館学童クラブ内),03-3933-5100,水・木・金,火,
春日小にこにこ,練馬区春日町5-12-1(同小ねりっこ学童クラブ内),03-3926-7414,月・水・木・金,なし,
練馬小にこにこ,練馬区春日町6-11-36(同小ねりっこ学童クラブ内),03-3970-8654,火・水・木・金,なし,
高松小にこにこ,練馬区高松3-16-1(同小ねりっこ学童クラブ内),03-3998-1020,月・火・木・金,なし,
高松地区区民館にこにこ,練馬区高松3-24-27(同館学童クラブ内),03-3999-7911,火・木,なし,
田柄第二小にこにこ,練馬区田柄1-5-27(同小ねりっこ学童クラブ内),03-5997-0023,火・水・木・金,なし,
田柄小にこにこ,練馬区田柄2-19-34(同小ねりっこ学童クラブ内),03-3975-5436,火・水・木・金,なし,
