地域階層,地域コード,項番 Item number,地域,District,マーク Mark,計 Total／数 Number,計 Total／面積 Area,都市公園 Urban parks／都立公園 Tokyo metropolitan parks／数 Number,都市公園 Urban parks／都立公園 Tokyo metropolitan parks／面積 Area,都市公園 Urban parks／区市町村立公園 Municipal parks／数 Number,都市公園 Urban parks／区市町村立公園 Municipal parks／面積 Area,都市公園 Urban parks／国営公園 National government parks／数 Number,都市公園 Urban parks／国営公園 National government parks／面積 Area,都市公園以外の都区市町村立公園 Parks other than urban parks／自然ふれあい公園 Nature parks／数 Number,都市公園以外の都区市町村立公園 Parks other than urban parks／自然ふれあい公園 Nature parks／面積 Area,都市公園以外の都区市町村立公園 Parks other than urban parks／海上公園 Marine Parks／数 Number,都市公園以外の都区市町村立公園 Parks other than urban parks／海上公園 Marine Parks／面積 Area,都市公園以外の都区市町村立公園 Parks other than urban parks／区市町村立公園 Municipal parks／数 Number,都市公園以外の都区市町村立公園 Parks other than urban parks／区市町村立公園 Municipal parks／面積 Area,その他 Others／国民公園等 National parks／数 Number,その他 Others／国民公園等 National parks／面積 Area,その他 Others／公団・公社の設置する公園 Public housing parks／数 Number,その他 Others／公団・公社の設置する公園 Public housing parks／面積 Area
0,13000,,総数,Tokyo-to,,11748,78021211,82,20227187,8073,36690642,2,1761000,6,4130054,38,7904261,3289,2758197,12,3542563,246,1007308
1,13100,,区部,All ku,,6094,40836292,48,10178023,4229,17517984,1,67000,-,-,38,7904261,1619,1247737,11,3533464,148,387823
2,13101,1,千代田区,Chiyoda-ku,,52,1702946,1,161637,22,104909,-,-,-,-,-,-,24,6695,5,1429705,-,-
2,13102,2,中央区,Chuo-ku,,93,609428,1,250216,56,319419,-,-,-,-,1,24513,33,11856,-,-,2,3424
2,13103,3,港区,Minato-ku,,119,1409516,4,235658,47,266339,-,-,-,-,3,541119,59,97598,1,263716,5,5086
2,13104,4,新宿区,Shinjuku-ku,,182,1145871,1,186472,176,359561,-,-,-,-,-,-,1,3983,2,593011,2,2844
2,13105,5,文京区,Bunkyo-ku,,115,552968,2,158657,45,203217,-,-,-,-,-,-,67,29506,1,161588,-,-
2,13106,6,台東区,Taito-ku,,76,773892,2,556742,50,193240,-,-,-,-,-,-,24,23910,-,-,-,-
2,13107,7,墨田区,Sumida-ku,,146,781988,3,133593,141,639635,-,-,-,-,-,-,-,-,-,-,2,8760
2,13108,8,江東区,Koto-ku,,308,4312118,6,1139437,167,1001364,1,67000,-,-,18,1987486,91,32385,-,-,25,84445
2,13109,9,品川区,Shinagawa-ku,,278,1366454,2,217554,148,518086,-,-,-,-,6,508515,118,120908,-,-,4,1391
2,13110,10,目黒区,Meguro-ku,,130,488307,-,114276,80,348441,-,-,-,-,-,-,49,24900,-,-,1,690
2,13111,11,大田区,Ota-ku,,557,2785199,-,-,502,1992311,-,-,-,-,9,725155,38,59284,-,-,8,8448
2,13112,12,世田谷区,Setagaya-ku,,561,2882821,4,920916,419,1607792,-,-,-,-,-,-,125,132298,1,183991,12,37823
2,13113,13,渋谷区,Shibuya-ku,,130,1639085,2,568910,126,168635,-,-,-,-,-,-,-,-,1,901452,1,88
2,13114,14,中野区,Nakano-ku,,199,453161,-,-,164,420042,-,-,-,-,-,-,29,26436,-,-,6,6683
2,13115,15,杉並区,Suginami-ku,,329,1178452,3,521319,274,624425,-,-,-,-,-,-,50,25396,-,-,2,7311
2,13116,16,豊島区,Toshima-ku,,155,209127,-,-,88,181953,-,-,-,-,-,-,67,27174,-,-,-,-
2,13117,17,北区,Kita-ku,,189,1078078,1,71647,84,896372,-,-,-,-,-,-,96,61301,-,-,8,48758
2,13118,18,荒川区,Arakawa-ku,,113,437160,2,191211,35,145982,-,-,-,-,-,-,74,96568,-,-,2,3398
2,13119,19,板橋区,Itabashi-ku,,358,1953346,2,470816,345,1421791,-,-,-,-,-,-,-,-,-,-,11,60739
2,13120,20,練馬区,Nerima-ku,,687,2112668,4,1059971,456,944319,-,-,-,-,-,-,219,90850,-,-,8,17528
2,13121,21,足立区,Adachi-ku,,516,3248351,3,911199,342,2217102,-,-,-,-,-,-,153,92223,-,-,18,27828
2,13122,22,葛飾区,Katsushika-ku,,326,1982560,1,928253,146,878484,-,-,-,-,-,-,168,156895,-,-,11,18927
2,13123,23,江戸川区,Edogawa-ku,,475,7698038,4,1344780,316,2064564,-,-,-,-,1,4117473,134,127569,-,-,20,43652
0,99999,24,その他,Others,※１,-,34760,-,34760,-,-,-,-,-,-,-,-,-,-,-,-,-,-
0,99999,,その他,Others,※２,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,13200,,市部,All shi,,5531,31462072,32,8849026,3754,18809655,1,1694000,1,108397,-,-,1644,1372410,1,9099,98,619485
2,13201,1,八王子市,Hachioji-shi,,883,7018979,5,1229836,796,5636997,-,-,-,-,-,-,66,71853,-,-,16,80293
2,13202,2,立川市,Tachikawa-shi,,256,1753606,-,32775,96,559456,1,1078000,-,-,-,-,151,54497,-,-,8,28878
2,13203,3,武蔵野市,Musashino-shi,,181,666802,1,409053,112,195607,-,-,-,-,-,-,66,35186,-,-,2,26956
2,13204,4,三鷹市,Mitaka-shi,,179,685977,1,472970,38,125680,-,-,-,-,-,-,139,85502,-,-,1,1825
2,13205,5,青梅市,Ome-shi,,163,885399,-,-,101,600883,-,-,-,-,-,-,59,264641,1,9099,2,10776
2,13206,6,府中市,Fuchu-shi,,352,1843953,3,489027,273,1298677,-,-,-,-,-,-,76,56250,-,-,-,-
2,13207,7,昭島市,Akishima-shi,,91,1145045,-,13124,40,475591,-,616000,-,-,-,-,49,32758,-,-,2,7572
2,13208,8,調布市,Chofu-shi,,227,1318243,3,945329,199,288748,-,-,-,-,-,-,22,54499,-,-,3,29666
2,13209,9,町田市,Machida-shi,,758,4327674,3,984271,710,3197733,-,-,-,-,-,-,34,55344,-,-,11,90326
2,13210,10,小金井市,Koganei-shi,,145,848055,1,727529,11,67784,-,-,-,-,-,-,129,41917,-,-,4,10825
2,13211,11,小平市,Kodaira-shi,,310,519670,2,161062,307,349048,-,-,-,-,-,-,-,-,-,-,1,9559
2,13212,12,日野市,Hino-shi,,229,1424492,1,601373,198,699443,-,-,-,-,-,-,24,30681,-,-,6,92995
2,13213,13,東村山市,Higashimurayama-shi,,154,850624,3,653624,17,118903,-,-,-,-,-,-,130,66308,-,-,4,11789
2,13214,14,国分寺市,Kokubunji-shi,,161,308732,2,135732,13,83443,-,-,-,-,-,-,144,87277,-,-,2,2280
