年度,Fiscal year,貸切利用回数 Group use (number of times)／陸上競技場 Athletic field,貸切利用回数 Group use (number of times)／体育館 Gymnasium,貸切利用回数 Group use (number of times)／屋内球技場 Indoor Ball Sports field,貸切利用回数 Group use (number of times)／第1球技場 No.1 ball sports ground,貸切利用回数 Group use (number of times)／第2球技場 No.2 ball sports ground,貸切利用回数 Group use (number of times)／補助競技場 Supported sports ground,貸切利用回数 Group use (number of times)／硬式野球場 Baseball field 1),貸切利用回数 Group use (number of times)／弓道場 Japanese archery range,貸切利用回数 Group use (number of times)／軟式野球場 Rubber baseball field (時間 hours),貸切利用回数 Group use (number of times)／テニスコート Tennis courts (時間 hours),一般公開利用者数 Individual users／弓道場 Japanese archery range,一般公開利用者数 Individual users／トレーニングルーム Training room ,一般公開利用者数 Individual users／水泳場 Swimming pool,一般公開利用者数 Individual users／東京オリンピックメモリアルギャラリー Tokyo Olympic memorial gallery ,スポーツ教室 Sports programs／回数 Times held,スポーツ教室 Sports programs／人数 Participants
平成24,2012,339,986,1848,971,1944,1958,1183,302,1317,3859,2559,160279,-,14983,305,25617
平成25,2013,311,965,1640,803,1965,1991,837,339,1302,7827,2279,166201,-,64263,285,50570
平成26,2014,311,994,218,120,1988,1995,1161,152,1292,10001,752,177472,-,66076,249,44512
平成27,2015,327,1000,-,-,1972,1963,1193,-,1433,10190,-,191293,-,69553,235,55967
平成28,2016,281,1005,-,-,1948,1957,1277,-,1397,10601,1944,197617,-,66571,248,82648
,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成28年）TOKYO STATISTICAL YEARBOOK ( 2016 )　17  教育・文化・スポーツ 17  EDUCATION， CULTURE， AND SPORTS ,,,,,,,,,,,,,,,,,
17-17  東京都立体育施設の利用状況 (2) 駒沢オリンピック公園総合運動場 (平成24～28年度) 17-17  USE OF TOKYO METROPOLITAN SPORTS FACILITIES (2) METROPOLITAN KOMAZAWA OLYMPIC PARK GENERAL SPORTS GROUND ( Fiscal Years 2012-2016 ) ,,,,,,,,,,,,,,,,,
注 1) 軟式野球場及びテニスコートは1回が2時間である。,,,,,,,,,,,,,,,,,
2) 平成23年度より水泳場は営業を休止している。,,,,,,,,,,,,,,,,,
3) 東京オリンピックメモリアルギャラリーは平成24年10月から平成25年7月まで改修工事に伴い休館。,,,,,,,,,,,,,,,,,
4) 屋内球技場，第一球技場は平成26年6月から改修工事に伴い休館。,,,,,,,,,,,,,,,,,
5) 弓道場は平成27年3月から平成28年6月まで改修工事に伴い休館。,,,,,,,,,,,,,,,,,
Note: 1) The use of the Rubber baseball field and Tennis courts is limited to 2 hours at a time.,,,,,,,,,,,,,,,,,
2) The swimming pool has been closed since fiscal 2011.,,,,,,,,,,,,,,,,,
3) Tokyo Olympic Memorial Gallery was Closed from October 2012 to July 2013 due to renovations.,,,,,,,,,,,,,,,,,
4) Indoor Ball Sports Field and No.1 Ball Sports Ground have been closed since June 2014 due to renovations.,,,,,,,,,,,,,,,,,
5) Japanese Archery Range has been closed from March 2015 to June 2016 due to renovations.,,,,,,,,,,,,,,,,,
資料：都オリンピック・パラリンピック準備局スポーツ推進部調整課 Source: Bureau of Tokyo 2020 Olympic and Paralympic Games Preparation， TMG,,,,,,,,,,,,,,,,,
