男女区分 ,Male female classification,区分 ,Classification,マーク Mark,小学校 Elementary school／第1学年 1st grade,小学校 Elementary school／第2学年 2nd grade,小学校 Elementary school／第3学年 3rd grade,小学校 Elementary school／第4学年 4th grade,小学校 Elementary school／第5学年 5th grade,小学校 Elementary school／第6学年 6th grade,中学校 Junior high school／第1学年 1st grade,中学校 Junior high school／第2学年 2nd grade,中学校 Junior high school／第3学年 3rd grade,高等学校(全日制) Senior high school ( Full-time )／第1学年 1st grade,高等学校(全日制) Senior high school ( Full-time )／第2学年 2nd grade,高等学校(全日制) Senior high school ( Full-time )／第3学年 3rd grade,高等学校(定時制) Senior high school ( part-time )／第1学年 1st grade,高等学校(定時制) Senior high school ( part-time )／第2学年 2nd grade,高等学校(定時制) Senior high school ( part-time )／第3学年 3rd grade,高等学校(定時制) Senior high school ( part-time )／第4学年 4th grade
男 ,Male,握力 (kg) ,Grip strength (kg),,9.1,10.8,12.6,14.5,16.6,19.3,23.3,28.6,33.6,37,39.5,41.1,36.7,38.7,40.3,41.5
男 ,Male,上体起こし (回) ,Sit-ups (times),,11.1,13.9,16.1,18.3,20,22,24.3,27.3,29.5,29.3,30.7,31.3,24.4,24.7,24.5,24.5
男 ,Male,長座体前屈 (cm),Sit and reach (cm),,25.6,27.2,29.2,31.2,33.4,35.7,37.9,41.6,45.1,45,47.2,48.6,42.1,43.2,43.7,41.7
男 ,Male,反復横とび (点) ,Side step (points)　　,,26.7,30.7,34.5,38.5,42.2,45.3,49.2,52.3,54.9,55.3,56.6,57.5,48.5,49.3,50.3,48.1
男 ,Male,持久走 (秒) ,1500m run (seconds),,…,…,…,…,…,…,425.2,384.8,373.2,384.8,376,375.5,441.1,437.5,424.8,449.9
男 ,Male,20ｍシャトルラン (回) ,20m shuttle run (times),,17.1,26.8,35.4,44.1,51.6,59.1,69.4,83.8,91.7,83.5,91.1,93,59,62.7,63.4,57.3
男 ,Male,50ｍ走 (秒) ,50m run (seconds),,11.5,10.6,10,9.6,9.2,8.8,8.5,7.9,7.6,7.5,7.3,7.3,7.7,7.7,7.6,7.7
男 ,Male,立ち幅とび (cm) ,Standing long jump (cm),,111.7,122.8,133,142.2,151.4,161.8,177.4,194,208.4,216.3,221.9,226.4,205.9,211.2,212.6,210.4
男 ,Male,ハンドボール投げ (m),Handball throw (m)  ,1),7.7,11.2,14.8,18.4,21.8,25.4,17.5,20.2,22.8,23.5,24.7,25.7,21.5,22.4,22.9,22.9
女,Female,握力 (kg) ,Grip strength (kg),,8.4,10.2,11.9,13.8,16.2,19.1,21.4,23.5,24.7,25.1,26,26.3,23.8,24.7,25.1,25.5
女,Female,上体起こし (回) ,Sit-ups (times),,10.7,13.4,15.6,17.7,19.1,20.4,21.4,23.6,24.5,23.4,23.9,23.8,18.2,17.9,17.3,17.1
女,Female,長座体前屈 (cm),Sit and reach (cm),,28.3,30.4,33,35.3,38.1,40.8,42.3,44.5,46.3,45.6,46.6,47.3,42.4,42.5,43.1,42.5
女,Female,反復横とび (点) ,Side step (points)　　,,25.7,29.5,32.8,36.8,40.4,42.9,45.6,46.8,47.5,47.6,48.1,48.1,41.5,41.5,41.4,39.6
女,Female,持久走 (秒) ,1000m run (seconds),,…,…,…,…,…,…,303.9,287.8,290.9,305.4,305,308,346.1,354.4,357.2,367.6
女,Female,20ｍシャトルラン (回) ,20m shuttle run (times),,14.1,20.6,26.4,33.3,40.2,45.9,51,57.5,57.1,50.5,53.4,52.9,30.5,32,33.9,26.9
女,Female,50ｍ走 (秒) ,50m run (seconds),,11.8,10.9,10.3,9.9,9.5,9.1,9.1,8.8,8.7,8.9,8.9,8.9,9.5,9.5,9.6,9.9
女,Female,立ち幅とび (cm) ,Standing long jump (cm),,104.2,115.2,125.6,135.5,145.1,153.7,162.8,167.2,170,170.4,170.8,171.4,152.7,151.3,151.8,146.4
女,Female,ハンドボール投げ (m),Handball throw (m)  ,1),5.3,7.1,8.9,11,13.1,14.8,11,12.3,13.2,13.2,13.7,13.9,11.3,11.5,11.7,11.6
,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成28年）TOKYO STATISTICAL YEARBOOK ( 2016 )　17  教育・文化・スポーツ 17  EDUCATION， CULTURE， AND SPORTS ,,,,,,,,,,,,,,,,,,,,
17-3  児童・生徒の体力テスト調査結果 (平成28年) 17-3  RESULTS OF PHYSICAL FITNESS TESTS ( 2016 ),,,,,,,,,,,,,,,,,,,,
注 1) 小学校はソフトボール投げ　　  ,,,,,,,,,,,,,,,,,,,,
Note: 1) Softball throw for elementary school students.   ,,,,,,,,,,,,,,,,,,,,
資料：都教育庁指導部指導企画課 「東京都児童・生徒体力・運動能力，生活・運動習慣等調査報告書」 Source: Office of Education， TMG,,,,,,,,,,,,,,,,,,,,
