年度,Fiscal year,開館日数 Number of open days,観覧人員 Visitors／総数 Total,観覧人員 Visitors／収蔵映像展 exhibition of own collection,観覧人員 Visitors／自主企画展 Special exhibition,観覧人員 Visitors／共催展等 Exhibition under co-sponsorship,収蔵品数(年度末) Number of collection items (end of fiscal year)／総数 Total,収蔵品数(年度末) Number of collection items (end of fiscal year)／写真作品 Photo works,収蔵品数(年度末) Number of collection items (end of fiscal year)／写真作品 Photo works／海外作品 Overseas works,収蔵品数(年度末) Number of collection items (end of fiscal year)／映像作品資料 Video materials,収蔵品数(年度末) Number of collection items (end of fiscal year)／図書資料 Library books,収蔵品数(年度末) Number of collection items (end of fiscal year)／写真資料 Photo materials
平成24,2012,298,407382,114509,158032,134841,115240,24292,5480,2318,85627,3003
平成25,2013,297,404256,115729,124715,163812,121111,25081,5519,2329,90583,3118
平成26,2014,152,238844,55073,83170,100601,127228,25882,5565,2359,95640,3347
平成27,2015,-,38497,-,38497,-,132194,27304,5633,2367,98801,3722
平成28,2016,164,270066,53047,141799,75220,135581,27907,5634,2376,101573,3725
,,,,,,,,,,,,
東京都統計年鑑（平成28年）TOKYO STATISTICAL YEARBOOK ( 2016 )　17  教育・文化・スポーツ 17  EDUCATION， CULTURE， AND SPORTS ,,,,,,,,,,,,
17-12  東京都立美術館及び博物館 (3) 東京都写真美術館 (平成24～28年度) 17-12 TOKYO METROPOLITAN MUSEUMS (3) TOKYO PHOTOGRAPHIC ART MUSEUM ( Fiscal Years 2012-2016 ),,,,,,,,,,,,
注 1) 平成26年9月24日から平成28年9月2日まで，改修工事に伴い全面休館したが，平成27年度も恵比寿映像祭は恵比寿ガーデンプレイス等で開催した。,,,,,,,,,,,,
Note: 1) The museum was closed from Sept. 24， 2014 to Sept. 2， 2016 due to renovations， but the Yebis International Festival for Art & Alternative Vision was held at the Yebis Garden Place and other locations in FY2015.,,,,,,,,,,,,
資料： 公益財団法人東京都歴史文化財団 Source: Tokyo Metropolitan Foundation for History and Culture,,,,,,,,,,,,
