年度,Fiscal year,設置階層,設置区分,Classification,学校区分,School classification,学校数 Number of schools／総数 Total,学校数 Number of schools／総数 Total／うち分校  Branch schools,学校数 Number of schools／総数 Total／うち小中一貫教育校 Combined elementary ／ junior high schools,学校数 Number of schools／総数 Total／うち中高一貫教育校 Combined junior high ／ senior high schools,幼児，児童，生徒，学生数 Number of children and students／総数 Total,幼児，児童，生徒，学生数 Number of children and students／男 Male,幼児，児童，生徒，学生数 Number of children and students／女 Female,教員数 Number of  Teachers／総数 Total,教員数 Number of Teachers／本務者 Full-time,教員数 Number of Teachers／兼務者 Part-time
平成26,2014,0,総数 ,Total,,,4467,1,…,187,2325709,1201082,1124627,…,149030,…
平成27,2015,0,総数 ,Total,,,4468,1,…,265,2328232,1200645,1127587,…,150736,…
平成28,2016,0,総数 ,Total,,,4447,1,22,269,2336967,1201449,1135518,…,152065,…
平成28,2016,0,総数 ,Total,幼稚園,Kindergartens,1004,-,-,-,161275,81703,79572,12773,10845,1928
平成28,2016,0,総数 ,Total,幼保連携型認定こども園,Accredited Kodomo-en (Daycare-kindergarten),21,-,-,-,4333,2169,2164,669,570,99
平成28,2016,0,総数 ,Total,小学校,Elementary schools,1339,-,8,-,594053,303818,290235,38418,33414,5004
平成28,2016,0,総数 ,Total,中学校,Junior high schools,808,1,8,132,306820,155675,151145,28474,19387,9087
平成28,2016,0,総数 ,Total,義務教育学校,Compulsory education schools,6,-,6,-,5439,2848,2591,397,330,67
平成28,2016,0,総数 ,Total,高等学校,Senior high schools,429,-,-,129,318366,156244,162122,30088,19259,10829
平成28,2016,0,総数 ,Total,中等教育学校,Secondary education schools,8,-,-,8,7042,3333,3709,691,538,153
平成28,2016,0,総数 ,Total,大学,Colleges and universities,154,-,-,-,728209,396787,331422,120124,51115,69009
平成28,2016,0,総数 ,Total,短期大学,Junior colleges,38,-,-,-,14241,1211,13030,3550,843,2707
平成28,2016,0,総数 ,Total,高等専門学校,Colleges of technology,3,-,-,-,3468,3020,448,…,260,…
平成28,2016,0,総数 ,Total,特別支援学校,Special needs schools,71,-,-,-,13062,8513,4549,6576,5999,577
平成28,2016,0,総数 ,Total,高等学校通信制,Senior high school correspondence course,12,-,-,-,11014,6258,4756,1000,265,735
平成28,2016,0,総数 ,Total,専修学校,Specialized training schools,402,-,-,-,145607,67958,77649,24300,7413,16887
平成28,2016,0,総数 ,Total,各種学校,Miscellaneous schools,152,-,-,-,24038,11912,12126,3228,1827,1401
平成28,2016,1,国立 ,National,総数,Total,42,-,-,2,86687,56265,30422,…,9227,…
平成28,2016,1,国立 ,National,幼稚園,Kindergartens,2,-,-,-,367,179,188,33,19,14
平成28,2016,1,国立 ,National,幼保連携型認定こども園,Accredited Kodomo-en (Daycare-kindergarten),-,-,-,-,-,-,-,-,-,-
平成28,2016,1,国立 ,National,小学校,Elementary schools,6,-,-,-,3755,1880,1875,224,178,46
平成28,2016,1,国立 ,National,中学校,Junior high schools,6,-,-,-,2767,1493,1274,299,139,160
平成28,2016,1,国立 ,National,義務教育学校,Compulsory education schools,-,-,-,-,-,-,-,-,-,-
平成28,2016,1,国立 ,National,高等学校,Senior high schools,6,-,-,-,3279,1860,1419,402,205,197
平成28,2016,1,国立 ,National,中等教育学校,Secondary education schools,2,-,-,2,1435,629,806,150,104,46
平成28,2016,1,国立 ,National,大学,Colleges and universities,14,-,-,-,73571,49085,24486,…,8266,…
平成28,2016,1,国立 ,National,短期大学,Junior colleges,-,-,-,-,-,-,-,-,-,-
平成28,2016,1,国立 ,National,高等専門学校,Colleges of technology,1,-,-,-,1029,865,164,…,74,…
平成28,2016,1,国立 ,National,特別支援学校,Special needs schools,4,-,-,-,447,269,178,294,235,59
平成28,2016,1,国立 ,National,高等学校通信制,Senior high school correspondence course,-,-,-,-,-,-,-,-,-,-
平成28,2016,1,国立 ,National,専修学校,Specialized training schools,1,-,-,-,37,5,32,82,7,75
平成28,2016,1,国立 ,National,各種学校,Miscellaneous schools,-,-,-,-,-,-,-,-,-,-
平成28,2016,1,公立 ,Public,総数,Total,2350,1,22,32,984277,510030,474247,…,64806,…
平成28,2016,1,公立 ,Public,幼稚園,Kindergartens,175,-,-,-,12993,6799,6194,1114,857,257
