年度,Fiscal year,貸切使用回数 Group use (number of times)／メインプール Main pool(回 times),貸切使用回数 Group use (number of times)／サブプール Sub pool(回 times),貸切使用回数 Group use (number of times)／ダイビングプール Diving pool(回 times),貸切使用回数 Group use (number of times)／会議室 Conference room(回 times),一般公開利用者数 Number of individual users／プール(メイン・サブ・ダイビング)  Pools (Main-Sub-Diving) (人 persons),スポーツ教室等 Sports programs， etc.／回数 Times held(回 times),スポーツ教室等 Sports programs， etc.／人数 Participants(人 persons)
平成26,2014,15455,8213,893,2949,38965,363,12575
平成27,2015,16607,9035,1046,3700,40282,424,14092
平成28,2016,16616,9441,1207,3523,40458,375,15532
,,,,,,,,
東京都統計年鑑（平成28年）TOKYO STATISTICAL YEARBOOK ( 2016 )　17  教育・文化・スポーツ 17  EDUCATION， CULTURE， AND SPORTS,,,,,,,,
17-17  東京都立体育施設の利用状況 (4) 東京辰巳国際水泳場 (平成26～28年度) 17-17  USE OF TOKYO METROPOLITAN SPORTS FACILITIES (4) TOKYO TATSUMI INTERNATIONAL SWIMMING CENTER  ( Fiscal Years 2014-2016 ),,,,,,,,
資料：都オリンピック・パラリンピック準備局スポーツ推進部調整課 Source: Bureau of Olympic and Paralympic Games Tokyo 2020 Preparation， TMG,,,,,,,,
