年度,Fiscal year,開館日数 Number of open days,備付品数 (年度末) Number of works (End of fiscal year)／総数 Total,備付品数 (年度末) Number of works (End of fiscal year)／絵画 Paintings,備付品数 (年度末) Number of works (End of fiscal year)／版画 Prints,備付品数 (年度末) Number of works (End of fiscal year)／彫刻 Sculptures,備付品数 (年度末) Number of works (End of fiscal year)／工芸 Crafts,備付品数 (年度末) Number of works (End of fiscal year)／その他 Others,観覧人員 Visitors
平成26,2014,258,5672,428,3888,101,815,440,475587
平成27,2015,271,6076,495,3976,103,818,684,627014
平成28,2016,302,6091,497,3987,103,819,685,1318899
,,,,,,,,,
東京都統計年鑑（平成28年）TOKYO STATISTICAL YEARBOOK ( 2016 )　17  教育・文化・スポーツ 17  EDUCATION， CULTURE， AND SPORTS ,,,,,,,,,
17-11  国立博物館及び美術館 (2) 国立西洋美術館 (平成26～28年度) 17-11  NATIONAL MUSEUM (2) THE NATIONAL MUSEUM OF WESTERN ART ( Fiscal Years 2014-2016 ),,,,,,,,,
資料：国立西洋美術館 Source: The National Museum of Western Art　　,,,,,,,,,
