年度,Fiscal year,開園日数 Number of open days,入園人員 Number of  visitors／総数 Total,入園人員 Number of  visitors／有料 Paid／総数 Total,入園人員 Number of  visitors／有料 Paid／普通 General／大人 Adults,入園人員Number of  visitors／有料 Paid／普通 General／中学生 Junior high school students,入園人員 Number of  visitors／有料 Paid／団体 Group／大人 Adults,入園人員 Number of  visitors／有料 Paid／団体 Group／中学生 Junior high school students,入園人員 Number of  visitors／無料 Free,入園人員 Number of  visitors／1日平均 Daily average
平成26,2014,319,1472108,716431,594088,10250,110716,1377,755677,4615
平成27,2015,317,1461162,707460,617291,10792,78863,514,753702,4609
平成28,2016,294,1372337,643760,558059,9892,75081,728,728577,4668
,,,,,,,,,,
東京都統計年鑑（平成28年）TOKYO STATISTICAL YEARBOOK ( 2016 )　17  教育・文化・スポーツ 17  EDUCATION， CULTURE， AND SPORTS ,,,,,,,,,,
17-18  東京都立動物園等の状況 (4) 葛西臨海水族園 (平成26～平成28年度) 17-18  STATUS OF TOKYO METROPOLITAN ZOOLOGICAL GARDENS， ETC. (4) TOKYO SEA LIFE PARK ( Fiscal Years 2014-2016 ),,,,,,,,,,
資料：公益財団法人東京動物園協会葛西臨海水族園 Source: Tokyo Zoological Park Society Tokyo Sea Life Park,,,,,,,,,,
