年度,Fiscal year,卒業後の状況,Status after graduation,総数 Total／計 Total,総数 Total／男 Male,総数 Total／女 Female,総数 Total／国立 National,総数 Total／公立 Public,総数 Total／私立 Private
平成26,2014,総数,Total,104787,53007,51780,927,78236,25624
平成27,2015,総数,Total,104164,52746,51418,934,78168,25062
平成28,2016,総数,Total,104543,52841,51702,911,78808,24824
平成28,2016,(A)高等学校等進学者,(A)Enrollment in senior high schools and others,103289,52104,51185,909,77728,24652
平成28,2016,(A)高等学校等進学者／高等学校本科 全日制,(A)Enrollment in senior high schools and others／Senior high schools， regular course， full-time,96696,48144,48552,901,71338,24457
平成28,2016,(A)高等学校等進学者／高等学校本科 定時制,(A)Enrollment in senior high schools and others／Senior high schools， regular course， part-time,3049,1731,1318,7,3014,28
平成28,2016,(A)高等学校等進学者／高等学校本科 通信制,(A)Enrollment in senior high schools and others／Senior high schools， regular course， correspondence course,1975,1083,892,1,1827,147
平成28,2016,(A)高等学校等進学者／中等教育学校後期課程本科 全日制,(A)Enrollment in senior high schools and others／Secondary education schools， second semester course， regular course， full-time,1,1,-,-,1,-
平成28,2016,(A)高等学校等進学者／中等教育学校後期課程本科 定時制,(A)Enrollment in senior high schools and others／Secondary education schools， second semester course， regular course， part-time,-,-,-,-,-,-
平成28,2016,(A)高等学校等進学者／高等学校別科,(A)Enrollment in senior high schools and others／Senior high schools， special course,-,-,-,-,-,-
平成28,2016,(A)高等学校等進学者／中等教育学校後期課程別科,(A)Enrollment in senior high schools and others／Secondary education schools， upper secondary course， special course,-,-,-,-,-,-
平成28,2016,(A)高等学校等進学者／高等専門学校,(A)Enrollment in senior high schools and others／Colleges of technology,472,397,75,-,460,12
平成28,2016,(A)高等学校等進学者／特別支援学校高等部本科,(A)Enrollment in senior high schools and others／Special needs education schools， upper secondary course， regular course,1095,747,348,-,1087,8
平成28,2016,(A)高等学校等進学者／特別支援学校高等部別科,(A)Enrollment in senior high schools and others／Special needs education schools， upper secondary course， special course,1,1,-,-,1,-
平成28,2016,(B)専修学校(高等課程)進学者,(B) Enrollment in specialized training schools (upper secondary course),341,195,146,-,312,29
平成28,2016,(C)専修学校(一般課程)等入学者,(C)Enrollment in Specialized training schools (general course) and others,118,52,66,-,114,4
平成28,2016,(D)公共職業能力開発施設等入学者,(D)Enrollment in public vocational training facilities and others,21,18,3,-,21,-
平成28,2016,(E)就職者,(E)Employed,186,145,41,-,185,1
平成28,2016,(F)上記以外の者,(F)Persons other than the above,579,320,259,2,443,134
平成28,2016,(G)不詳・死亡,(G)Unknown or deceased,9,7,2,-,5,4
平成28,2016,(再掲)上記(A，B，C，D)のうち就職している者,(Relisted)(A， B， C， D) above and employed,16,14,2,-,16,-
平成28,2016,(再掲)上記(A)のうち就職している者,(Relisted)(A) above and employed,16,14,2,-,16,-
平成28,2016,(再掲)上記(B)のうち就職している者,(Relisted)(B) above and employed,-,-,-,-,-,-
平成28,2016,(再掲)上記(C)のうち就職している者,(Relisted)(C) above and employed,-,-,-,-,-,-
平成28,2016,(再掲)上記(D)のうち就職している者,(Relisted)(D) above and employed,-,-,-,-,-,-
平成28,2016,(再掲)上記(A)のうち他県への進学者,(Relisted)(A) above and enrolled in schools in other prefectures,4414,2933,1481,44,3884,486
,,,,,,,,,
東京都統計年鑑（平成28年）TOKYO STATISTICAL YEARBOOK ( 2016 )　17  教育・文化・スポーツ 17  EDUCATION， CULTURE， AND SPORTS ,,,,,,,,,
17-6  中学校卒業後の状況  (平成26～28年度) 17-6  STATUS OF GRADUATES OF JUNIOR HIGH SCHOOLS  ( Fiscal Years 2014-2016 ),,,,,,,,,
「学校基本調査」 (5月1日現在) による。 　,,,,,,,,,
Data are based on the School Basic Survey (as of May 1).,,,,,,,,,
資料：都総務局統計部人口統計課 「学校基本統計（学校基本調査報告書）」 Source: Bureau of General Affairs， TMG  　　,,,,,,,,,
