地域階層,地域コード,項番 Item number,地域,District,施設数 Number of facilities,学級・事業数 Classes and Programs／総数 Total,学級・事業数 Classes and programs／学級・講座(対象別学級数) Classes and courses (by  target)／計 Total,学級・事業数 Classes and programs／学級・講座(対象別学級数) Classes and courses (by  target)／高齢者 Seniors,学級・事業数 Classes and programs／学級・講座(対象別学級数) Classes and courses (by  target)／女性 Women,学級・事業数 Classes and programs／学級・講座(対象別学級数) Classes and courses (by target)／家庭教育 Home education,学級・事業数 Classes and programs／学級・講座(対象別学級数) Classes and courses (by target)／青年 Youth,学級・事業数 Classes and programs／学級・講座(対象別学級数) Classes and courses (by target)／少年 Children,学級・事業数 Classes and programs／学級・講座(対象別学級数) Classes and courses (by target)／成人・一般 Adults and general public,学級・事業数 Classes and programs／分野別事業数 Programs by category／リーダー講習・研修会 Leadership training and workshops,学級・事業数 Classes and programs／分野別事業数 Programs by category／行事・大会 Events and Meets,学級・事業数 Classes and programs／分野別事業数 Programs by category／文化財保護普及事業 Cultural property protection and promotion,学級・事業数 Classes and programs／分野別事業数 Programs by category／障害者対象事業 Programs for the disabled,学級・事業数 Classes and programs／分野別事業数 Programs by category／青少年対策事業 Youth programs,学級・事業数 Classes and programs／分野別事業数 Programs by category／視聴覚事業 Audio-visual programs,学級・事業数 Classes and programs／分野別事業数 Programs by category／図書館事業 Library programs,学級・事業数 Classes and programs／分野別事業数 Programs by category／博物館事業 Museum programs,学級・事業数 Classes and programs／分野別事業数 Programs by category／人権学習促進事業 Human rights study／promotion,学級・事業数 Classes and programs／分野別事業数 Programs by category／新生活運動 New community practices,学級・事業数 Classes and programs／分野別事業数 Programs by category／その他の事業 Others programs
0,13000,,総数,Tokyo-to,835,10453,6667,500,484,1765,230,606,3082,199,595,265,93,68,111,1440,781,33,6,195
1,13100,,区部,All ku,417,5226,3285,296,349,1228,84,260,1068,124,234,135,53,36,38,889,315,27,6,84
2,13101,1,千代田区,Chiyoda-ku,9,51,19,-,-,3,-,2,14,12,12,5,2,-,-,-,-,-,-,1
2,13102,2,中央区,Chuo-ku,9,170,155,12,-,68,-,-,75,3,3,1,1,2,-,2,1,-,-,2
2,13103,3,港区,Minato-ku,11,95,80,-,8,20,1,1,50,-,7,4,-,-,-,-,2,-,-,2
2,13104,4,新宿区,Shinjuku-ku,22,152,111,1,-,93,-,8,9,2,10,6,18,-,-,-,-,-,-,5
2,13105,5,文京区,Bunkyo-ku,20,171,142,1,-,-,-,14,127,-,4,2,-,-,13,5,-,-,-,5
2,13106,6,台東区,Taito-ku,20,218,148,5,5,54,7,7,70,13,8,9,1,6,1,28,-,1,-,3
2,13107,7,墨田区,Sumida-ku,9,77,33,-,-,25,-,1,7,2,3,6,1,2,-,10,9,5,-,6
2,13108,8,江東区,Koto-ku,16,366,335,200,8,5,14,91,17,9,3,8,1,-,-,3,-,2,-,5
2,13109,9,品川区,Shinagawa-ku,18,890,842,65,238,493,-,12,34,4,7,5,3,2,-,12,8,1,-,6
2,13110,10,目黒区,Meguro-ku,19,67,34,1,1,8,3,8,13,3,6,1,3,2,-,4,8,-,-,6
2,13111,11,大田区,Ota-ku,20,152,84,-,11,39,-,-,34,10,15,4,-,18,-,2,7,2,6,4
2,13112,12,世田谷区,Setagaya-ku,27,296,187,5,-,102,1,10,69,21,68,8,3,-,-,3,4,1,-,1
