年度末,End of fiscal year,分類,Classification,総数／Total,中央／Central,多摩／Tama
平成26,2014,総数,Total,2440257,1925640,514617
平成27,2015,総数,Total,2488283,1977893,510390
平成28,2016,総数,Total,2536959,2019601,517358
平成28,2016,総記,General works,82683,73136,9547
平成28,2016,哲学,Philosophy,90128,81784,8344
平成28,2016,歴史,History,225224,209074,16150
平成28,2016,社会科学,Social science,424005,390918,33087
平成28,2016,自然科学,Natural science,146234,134043,12191
平成28,2016,工学,Technology,167853,152570,15283
平成28,2016,産業,Industry,111068,104538,6530
平成28,2016,芸術,The arts,157824,137302,20522
平成28,2016,語学,Language,37712,32527,5185
平成28,2016,文学,Literature,283070,138158,144912
平成28,2016,児童,Children's books,195403,-,195403
平成28,2016,その他,Others,615755,565551,50204
,,,,,,
東京都統計年鑑（平成28年）TOKYO STATISTICAL YEARBOOK ( 2016 )　17  教育・文化・スポーツ 17  EDUCATION， CULTURE， AND SPORTS ,,,,,,
17-9  国公立図書館 (2) 都立図書館蔵書数 (平成26～28年度末) 17-9  NATIONAL AND PUBLIC LIBRARIES (2) NUMBER OF BOOKS STOCKED AT METROPOLITAN LIBRARIES ( End of Fiscal Years 2014-2016 ),,,,,,
資料：都立中央図書館 Source: Tokyo Metropolitan Central Library,,,,,,
（単位　冊）(In volumes),,,,,,
